uniprot_id,protein,gene,description,gene_symbol,OP_S06_Pre,OP_S11_Pre,OP_S12_Pre,OP_S17_Pre,O_S05_Pre,O_S06_Pre,O_S07_Pre,O_S10_Pre,O_S16_Pre,O_S17_Pre,O_S24_Pre,O_S28_Pre,O_S29_Pre,O_S32_Pre,O_S35_Pre,OP_S06_Post,OP_S11_Post,OP_S12_Post,OP_S17_Post,O_S05_Post,O_S06_Post,O_S07_Post,O_S10_Post,O_S16_Post,O_S17_Post,O_S24_Post,O_S28_Post,O_S29_Post,O_S32_Post,O_S35_Post,YP_S14_Pre,YP_S45_Pre,YP_S56_Pre,Y_S01_Pre,Y_S07_Pre,Y_S10_Pre,Y_S11_Pre,Y_S16_Pre,Y_S28_Pre,Y_S30_Pre,Y_S31_Pre,Y_S32_Pre,Y_S34_Pre,Y_S35_Pre,Y_S36_Pre,Y_S40_Pre,YP_S14_Post,YP_S45_Post,YP_S56_Post,Y_S01_Post,Y_S07_Post,Y_S10_Post,Y_S11_Post,Y_S16_Post,Y_S28_Post,Y_S30_Post,Y_S31_Post,Y_S32_Post,Y_S34_Post,Y_S35_Post,Y_S36_Post,Y_S40_Post,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,pi_score,sig_pi
P21817,RYR1_HUMAN,RYR1,Ryanodine receptor 1,,23.98603484,24.5656412,24.28016611,24.09713085,24.42303699,24.13021148,24.92429249,24.7362133,24.45166036,24.52397854,23.68785947,24.7987795,24.3110327,24.03665488,23.84257096,24.09475186,24.07528855,24.25340834,24.00167406,24.28182026,24.2831599,24.38240039,24.17056457,24.21906957,24.09333208,24.23952379,24.45638186,24.52877459,24.53952329,24.28760941,24.42998632,24.97962946,24.59021808,24.62253722,24.26660925,24.2960203,24.02262057,24.4624089,24.45739601,24.46149487,24.08063451,24.50539109,24.18149483,24.69718555,24.69786052,24.64846265,24.33686056,24.6901047,24.86932667,24.2356242,24.2626545,24.40895702,24.51496822,24.26409734,24.76750377,24.41095608,24.54939545,24.51020158,24.4785864,24.35955606,24.34204744,24.57753321,0.083613898,-0.214205825,0.381433621,24.38194951,0.561208825,-5.917458623,0.576676395,0.801360431,0.955015911,0
P21912,SDHB_HUMAN,SDHB,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",,25.38594432,25.39657646,25.32901418,25.73034585,24.80108022,25.69243312,24.95270024,25.17148214,25.36664837,25.30339189,25.58395189,24.89733684,25.31995493,25.20611682,25.56534697,25.1216164,25.42574887,25.33858683,25.50228618,25.20770037,25.15041824,25.35398484,25.00362157,25.46754762,25.47473383,25.39821238,24.98890854,25.06998872,25.16880781,25.01964432,25.01433396,24.54043507,25.39747506,24.84760935,25.05824216,25.64777061,25.72255471,25.29384664,25.08434884,24.87774333,25.28518267,25.08671531,25.34189514,24.93826825,24.40605008,25.10405717,25.48521331,24.75901033,25.20610142,25.09143091,25.17328777,25.46817611,24.9057716,25.36989936,25.05598931,25.2649985,25.04928063,25.4304252,25.03459301,24.79355132,24.89879049,24.80991674,-0.277948111,-0.590133585,0.034237364,25.19092089,-1.779715203,-4.583537669,0.080019342,0.325463286,0.495615769,0
P21964,COMT_HUMAN,COMT,Catechol O-methyltransferase,,20.0037222,20.561895,20.40301177,20.74058673,21.02960487,20.68740001,20.65991892,20.51532405,20.52260863,20.53357695,20.51147208,20.86461526,20.38175259,20.63018235,20.22988857,20.68210427,20.58379771,20.54009066,20.67362976,20.80425303,20.88348868,20.47649354,20.4638428,20.79835033,19.87431107,20.52008447,20.71944094,20.82585092,20.36369849,21.10332202,20.58378746,20.28452487,20.65022573,20.56390475,20.92713702,20.94891279,20.27489456,19.91329847,20.74457934,21.17869754,20.81604071,20.37570036,20.17676929,21.18439721,20.90496575,21.2545982,20.92196465,20.55201652,20.87934609,20.97433697,20.43557735,20.45337482,20.86929695,20.23365854,20.73174753,20.97108961,20.32634491,20.5606997,20.84233044,21.02992768,20.67745855,20.7437106,0.191344709,-0.157932267,0.540621685,20.63828441,1.095080325,-5.497185161,0.277713866,0.581461837,0.782591881,0
P21980,TGM2_HUMAN,TGM2,Protein-glutamine gamma-glutamyltransferase 2,,18.39759098,17.59056737,17.8933005,18.29165667,18.22701643,19.1700821,17.37198171,18.05169635,18.61883031,18.47503964,18.25424427,17.66812598,18.71969859,18.11661473,19.05172763,17.92107413,19.18982545,17.84730452,19.42183153,18.54063121,19.30109618,19.30373568,18.85063593,18.39048501,18.6028007,18.54540936,18.70050512,17.8442634,18.39618868,18.79667584,NA,NA,17.43146659,NA,NA,18.34740036,17.41002792,17.27848118,17.4230359,17.93615807,18.71293514,17.43757669,NA,17.36419348,17.24589894,NA,15.99047409,NA,NA,NA,17.82657598,17.20295989,17.92478011,17.52526089,NA,17.07783866,NA,NA,17.83011908,17.43774347,17.88494235,NA,-0.235216736,-0.891334381,0.42090091,18.098745,-0.720409288,-5.770522516,0.474692293,0.740160192,0.839241071,0
P22033,MUTA_HUMAN,MMUT,"Methylmalonyl-CoA mutase, mitochondrial",,17.33224146,18.00833355,18.97677935,18.69560563,17.2369172,17.97101537,17.01614368,18.07488657,18.49180845,18.38866413,18.44811842,17.29383077,18.04294269,17.7913265,18.50693334,18.18540607,18.53901562,18.56224372,18.62339079,17.97510128,18.0224005,17.78439536,18.34815179,17.93292972,18.34073149,18.52042013,17.37695728,17.12723741,17.98136895,17.74148752,17.09511805,NA,17.6304479,NA,17.96059476,17.48960248,17.6102167,18.17165616,16.63539152,17.79958029,17.61975362,17.90954709,NA,18.2971239,17.61497879,18.71778023,18.63119965,NA,17.95664205,18.09101574,17.6504713,17.03610857,18.07104701,17.72979903,NA,17.9899081,17.94454149,17.58017113,17.90391144,17.60104146,17.7056433,17.745303,-0.223070515,-0.781723321,0.335582291,17.92149789,-0.799570515,-5.743296525,0.427276286,0.709332296,0.827221893,0
P22059,OSBP1_HUMAN,OSBP,Oxysterol-binding protein 1,,18.66255711,18.68905752,18.63425545,18.74934998,18.74602501,18.62530906,18.87968543,19.05242589,18.68544695,18.58922394,18.42168703,18.77376632,18.60921841,18.74715749,18.77776255,18.94330211,18.71391307,18.83123074,18.59310795,18.80077037,18.55434717,18.76753407,18.45221036,18.54241708,18.57923555,18.83944702,18.81403114,19.15204913,18.82847715,18.52415404,18.79706116,18.54702784,18.6897474,NA,NA,18.90034575,18.64576527,18.97650596,18.55758285,18.47809187,18.90729036,18.25739131,18.47991621,18.78454092,18.54400961,18.82418063,18.44000788,18.82516646,18.26428598,18.42214044,NA,18.1101437,18.77206302,18.51468498,18.73335759,18.41780471,18.52483855,18.553887,18.71924165,18.78561176,18.55605133,18.61075748,-0.021871239,-0.267699909,0.22395743,18.66472296,-0.17802421,-6.040972007,0.859313273,0.943638407,0.996689337,0
P22061,PIMT_HUMAN,PCMT1,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,,24.24733194,23.7043004,24.03338711,23.25105581,24.50011597,23.50818044,24.04223237,24.41634121,23.99649251,24.23213467,24.04113257,24.22844493,23.99354579,23.79604773,23.96058222,24.21119,23.70456503,24.01385678,23.42107028,23.92722852,23.66478501,24.00484807,23.90679557,23.92997354,24.12218174,24.11356771,23.76396195,24.29509742,24.03988987,24.14313241,23.89449863,24.14766149,23.6358505,24.0791325,23.42447359,23.6161565,23.58687113,23.80442115,24.09246411,23.92149458,24.06453568,23.91465126,24.00742706,24.03280048,24.20393904,24.19349294,23.65930164,23.90647226,23.66460044,23.74518762,23.60484206,23.50400454,24.00734823,23.65564195,23.97606832,23.97045546,24.02856364,23.80578819,24.09500134,24.0878517,24.0632789,24.27604766,-0.128958581,-0.4140852,0.156168038,23.93360958,-0.904090608,-5.677897174,0.369444081,0.66160836,0.8794916,0
P22102,PUR2_HUMAN,GART,Trifunctional purine biosynthetic protein adenosine-3,,19.49693463,19.84902496,19.52351528,19.58594592,19.44714447,19.23180256,19.18666866,19.16360179,19.34759502,19.51392385,19.8267136,19.33780371,19.28590961,19.62929438,19.36520061,19.42571798,19.75140048,19.42330543,19.42057149,19.51884065,19.92749104,19.35516821,19.62188694,19.15065228,19.75538256,19.59243037,19.40014454,19.43909762,19.20365681,19.47020573,19.22573726,19.35076609,19.41320149,19.76695806,NA,NA,19.38922032,19.69015699,19.81399257,19.11294015,19.22850654,19.5639691,19.30513094,19.31903797,19.4847483,19.48132618,19.49168115,19.77730902,19.61935828,19.83247733,NA,19.6792255,19.10165584,19.76687998,19.39137069,19.56601787,20.06323037,19.99344011,19.71850373,19.87207833,19.48760568,19.56900679,0.030910904,-0.240157912,0.30197972,19.51394176,0.228176205,-6.031178397,0.820297545,0.929162963,0.993895624,0
P22234,PUR6_HUMAN,PAICS,Multifunctional protein ADE2,,19.36178937,19.33433943,19.31486422,19.2042028,19.30531792,19.08762937,19.9310237,19.40748087,19.20863597,19.19952923,19.57986602,19.08461406,19.3046319,19.05871339,19.53231319,19.24705386,19.07281713,19.16152844,19.71789816,19.5344487,19.31140142,19.61669772,19.6060244,19.1747161,19.01181707,19.31723102,19.54433393,19.32239015,19.17493397,19.20492811,19.15523705,19.43033783,19.44598642,19.29642898,19.3015478,19.63409298,19.26930268,19.48976337,19.4517529,19.39006649,19.32380291,19.73269954,19.74259274,19.49483349,19.79664741,19.12788632,19.683286,19.34336322,19.63675955,19.55981179,20.03222126,19.5478143,18.99010173,19.57743373,19.39811059,19.72384059,19.79052392,19.90411459,19.39804512,19.43565789,19.55618725,19.27279016,0.121907336,-0.147094045,0.390908716,19.41719697,0.905888627,-5.676352031,0.368499029,0.66160836,0.885412014,0
P22307,NLTP_HUMAN,SCP2,Non-specific lipid-transfer protein,,18.3214544,17.83634563,17.89106506,17.1238753,17.63763722,16.62815998,NA,18.39415757,17.99087387,17.69426836,18.01504483,NA,17.72996644,17.72130626,18.24287825,18.35166939,17.99251745,18.34068908,17.24962776,17.59895945,17.66799542,18.42899906,18.43053478,18.11350154,18.31068668,17.79382941,NA,NA,18.09532056,17.94282318,17.77627146,17.95384849,17.64766429,17.2859865,NA,18.13924629,18.56032438,17.8529558,18.31714607,17.8568052,17.50223625,17.42655948,17.87211328,17.94700031,17.55008124,18.37280316,18.33931305,NA,17.3385743,NA,18.06636642,19.14524402,NA,17.56753329,17.94951095,17.88818793,17.68219779,17.53312582,17.83941343,18.02857925,18.11157364,18.4299013,0.304023509,-0.177644155,0.785691172,17.91712501,1.265431035,-5.255108027,0.211144773,0.510888449,0.623241757,0
P22314,UBA1_HUMAN,UBA1,Ubiquitin-like modifier-activating enzyme 1,,24.0024361,23.71936396,23.86598634,23.59324197,23.86789988,23.72184691,24.21585943,23.83601757,23.84943402,23.9735659,24.07720705,23.83680839,23.73772725,23.60066085,23.60453789,23.90253428,23.69993987,23.7540625,23.67393519,23.8162374,23.87410933,23.75281185,23.68678961,23.67662288,23.72903728,23.68675701,23.67303924,24.09891686,23.93225024,23.91304485,23.59432289,23.9823324,23.70085934,23.75362967,23.52397297,23.78410901,23.24575544,23.54956937,23.65552383,23.76513205,23.95005125,23.85668503,23.91174904,23.92733076,23.90852879,23.63792344,23.85075202,23.83897044,24.26216571,23.5896836,23.60741155,23.7756759,23.6759431,23.56341483,23.94356668,23.94322907,24.11647469,23.98580491,23.83346419,23.80650313,23.84000853,23.74786897,-0.141456036,-0.360342088,0.077430016,23.79840475,-1.291822579,-5.276495546,0.201209507,0.50075978,0.797070759,0
P22352,GPX3_HUMAN,GPX3,Glutathione peroxidase 3,,19.95166791,20.39882918,18.69794858,19.70369418,20.04588424,19.65640107,19.84175887,19.73818321,20.06470414,20.12489967,19.56285761,19.94652744,20.1059808,19.60106418,19.64782853,19.87042138,19.41652611,19.17687773,19.10026133,19.02304892,18.25035334,19.58239899,19.85141504,19.30285081,19.30666977,19.48854971,19.59224449,20.13432459,19.77860183,19.04273956,19.77218279,20.39036201,19.40300942,19.18345422,19.87151018,20.64560663,18.67215177,19.34524749,18.47899041,19.51269049,18.8485225,19.52531928,19.27524046,19.61986196,19.23826195,19.20656108,19.12388661,19.16505205,19.7885665,18.40973683,18.48934961,19.80780953,19.21492049,18.78243081,19.46009867,19.05393636,18.82785614,19.56033905,19.08559874,18.72163566,18.58991949,19.50431177,-0.780467587,-1.310391607,-0.250543566,19.42870862,-2.944019905,-2.177104683,0.004553899,0.081755192,0.014874561,-1
P22392,NDKB_HUMAN,NME2,Nucleoside diphosphate kinase B,,24.65957762,24.51314028,24.57753793,24.93822571,24.26645193,24.9835529,24.09137654,24.50867519,24.40462076,24.71884506,25.0400669,24.36999422,24.21924211,24.72367448,24.66347352,24.57219625,24.88296407,24.58828505,25.22708635,24.92257879,25.32602629,24.53116486,24.6989807,24.79486955,24.95060024,24.66170625,24.31001387,24.55124211,24.62537652,24.9946519,24.66127945,24.3942625,24.36069442,24.16270687,24.77676515,24.56598512,25.06250121,24.88060045,24.72712573,24.42126742,24.78903559,24.79846243,24.3422709,24.33721191,24.62328975,24.06390397,24.84476801,24.58543995,24.77391025,24.73106096,25.38606451,25.14033784,25.23183652,24.81010911,24.35794893,24.69686136,24.85199912,25.00080471,25.08150901,24.75565823,25.00034992,24.37327182,0.179182346,-0.130619631,0.488984322,24.69202405,1.15614022,-5.432408256,0.252055827,0.556469805,0.78119379,0
P22570,ADRO_HUMAN,FDXR,"NADPH:adrenodoxin oxidoreductase, mitochondrial",,18.50288745,17.91864933,18.66564942,NA,17.2770929,17.47923202,NA,NA,NA,NA,17.94179627,18.49457748,NA,17.98104237,18.36493193,18.19004197,17.72672886,18.55544601,NA,17.72765616,17.60413882,18.6905674,17.85752365,NA,18.01487606,18.00288802,18.34029711,18.25472874,NA,NA,NA,NA,NA,NA,NA,NA,17.77205719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.37396725,NA,NA,17.63427946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.302790493,-1.209069382,0.603488397,18.01613286,-0.691059755,-5.211670378,0.49642903,0.74944582,0.808925345,0
P22626,ROA2_HUMAN,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,,20.9831233,20.79324424,20.90158536,20.67560389,21.54701212,21.02848469,20.27811857,21.22801211,20.49790605,21.01031704,20.65295938,21.22311682,20.77769481,20.41567139,20.30495628,20.49881889,21.46634584,20.88966418,20.41365469,20.54962885,21.23913906,21.01359639,20.53540985,20.5568762,20.97693297,20.15326148,21.302603,20.9149495,21.21751475,20.66030298,20.67409977,21.21058948,20.57855812,21.66683644,20.63728117,21.00742451,20.12246426,20.62146803,20.82355952,20.61426797,20.9383845,20.37954772,20.5243639,20.81535687,20.89004735,20.78228199,20.56639572,20.75680313,20.5962786,21.30600525,19.75082691,19.83138445,20.9638424,20.28209866,20.4017018,20.65680412,20.59369272,20.12350398,20.85177276,20.3259916,20.50133172,20.42933028,-0.048552676,-0.476978893,0.379873541,20.72469033,-0.226535676,-6.043977704,0.821529428,0.929162963,0.990500557,0
P22695,QCR2_HUMAN,UQCRC2,"Cytochrome b-c1 complex subunit 2, mitochondrial",,26.68256452,27.45504334,27.01486596,27.58926124,27.33864882,27.83363816,26.89978969,27.23032591,27.55603829,27.22113598,26.96154106,26.96510442,27.57437511,27.4813008,27.8019072,26.9904667,27.54656109,27.21821065,27.51472345,27.72298149,27.32721893,27.62005254,27.26732363,27.47748703,27.69115329,27.42453806,27.24482184,27.11302757,27.12514405,27.28112574,27.30708403,27.07665776,27.38478228,27.12705667,27.59767095,27.40953747,27.58151968,27.32688303,27.07293053,27.12134641,27.27303595,27.22953787,27.27676373,27.17430985,26.9926065,27.16975643,26.93863019,27.23769483,26.8363299,27.50916942,27.1410351,27.25611054,27.43278815,27.43571307,27.03006518,26.77901494,26.78518777,26.99026843,27.08855119,27.16183724,27.17399437,27.02949739,0.014509449,-0.280984743,0.310003641,27.2599636,0.098152517,-6.064033799,0.922127563,0.969024189,0.998824386,0
P22830,HEMH_HUMAN,FECH,"Ferrochelatase, mitochondrial",,21.55939182,21.95991611,21.82406804,21.88640773,22.11921412,22.11863454,21.5580631,22.01046735,21.99920543,22.06286628,21.45338293,21.93769036,22.44003038,21.49518871,22.49109259,21.73133362,22.09780401,21.98239672,21.92869136,22.02925331,22.20509717,22.09730059,21.7997336,22.08601413,22.1441939,22.28101995,21.71658667,21.64466671,21.88684218,21.77216921,21.92350417,21.27156145,21.66973839,21.79469717,20.7352834,22.39749904,21.81314985,21.57072193,21.79424017,21.3759046,22.30321519,21.58055026,21.26065439,21.66332902,21.71334363,21.86370402,21.78223251,21.55843907,22.00085013,21.7788038,21.24850734,22.06735322,21.90681969,21.53865,21.71229637,21.4954695,21.96872013,21.35796065,21.64570357,21.54085147,21.83119169,21.96813271,-0.224515513,-0.562751318,0.113720292,21.81373873,-1.326863514,-5.233572776,0.189416037,0.483027381,0.688285864,0
P23109,AMPD1_HUMAN,AMPD1,AMP deaminase 1,,24.9347651,23.95334921,22.91568683,23.69744516,24.95913253,23.66636876,24.35276866,25.58295592,25.54452257,25.34905701,24.31083345,25.60136863,25.01770586,24.19119131,25.06383486,24.71305895,23.68495763,23.73258107,23.68521533,24.766497,23.74622785,23.93822822,25.17209776,25.22449068,25.01953521,25.08134367,25.19104237,24.84571515,25.59640982,25.18494301,24.02807176,25.83829438,25.04058777,24.0485514,24.82813238,23.93063243,24.522092,25.26473633,25.48581459,25.57481799,23.40635092,24.94648131,24.12324506,24.33648053,24.10803892,NA,23.83044285,25.35404108,24.80106588,24.30487744,24.67768465,23.60817671,24.88950342,25.1790844,25.32127224,25.2208105,24.21647706,24.93120005,24.46973869,24.25873832,24.01272926,NA,0.052179984,-0.66053846,0.764898428,24.62135833,0.146444474,-6.052238237,0.884061036,0.955436429,0.993590533,0
P23142,FBLN1_HUMAN,FBLN1,Fibulin-1,,17.61025444,18.07427131,17.77228085,16.58740845,18.27240091,17.46296176,17.83530555,18.10614674,18.45044454,18.89820423,17.42122095,18.69828477,17.68903943,18.37774073,17.39263708,18.09149615,17.57550675,17.57798833,17.14654636,17.5011157,18.32086737,17.34100615,17.72605839,17.95122777,17.9547817,17.31598934,18.29075332,18.76240745,17.27156381,17.73289743,NA,17.37574745,17.90329414,18.61870424,NA,NA,NA,NA,NA,18.40972351,17.65987731,17.57511281,NA,18.09512766,17.32405528,18.23714425,17.9774178,17.64848284,18.6368601,NA,NA,NA,17.47478787,NA,17.64008381,17.92823438,NA,17.47587278,NA,NA,18.2234165,18.49338694,-0.16342847,-0.761880005,0.435023064,17.87304453,-0.549060195,-5.860386661,0.585506732,0.809601696,0.916237564,0
P23246,SFPQ_HUMAN,SFPQ,"Splicing factor, proline- and glutamine-rich",,NA,17.72172282,16.53668496,16.56953511,16.29567212,17.78418027,16.5057868,17.66368335,17.11745115,16.91890174,16.73775103,17.34678883,17.65807043,17.48622641,16.3588095,16.425307,18.04042807,16.44052512,16.58155516,17.66513915,17.99273664,17.39558851,16.56745207,17.87815987,17.3077892,16.61134935,16.03655076,17.39970568,17.71332984,17.39150236,NA,16.77398671,17.2471104,17.50120957,17.02489645,16.838099,17.20547151,16.75484941,17.06381967,17.24421243,16.94070386,17.28445159,NA,17.3427683,17.0179442,17.16203953,16.74630616,17.50952774,16.8532435,17.42108965,16.98896195,16.98525621,NA,16.72621719,NA,16.75098395,17.27173282,NA,16.83705532,16.87344711,16.38812363,17.35946485,0.185022488,-0.373718847,0.743763824,17.07609564,0.663342922,-5.824939718,0.509830045,0.75669512,0.882809756,0
P23284,PPIB_HUMAN,PPIB,Peptidyl-prolyl cis-trans isomerase B,,19.81506183,20.10259192,19.83276001,18.8866557,19.37331902,19.83758353,19.25283524,19.6984622,19.68431971,19.59186895,19.6710681,20.05549845,19.67835828,20.25107905,19.38462574,20.10777623,20.35565962,19.98218328,19.77032703,19.34670891,21.01172178,19.61539302,19.66515087,19.92570726,19.57714743,19.69604216,20.29169791,19.99432775,20.15171534,20.12780347,19.38102267,NA,19.5866644,19.87372689,19.18766131,19.71579128,19.17808168,18.81640871,19.51583172,19.1510429,19.4148272,19.71831748,20.19016523,19.83216376,19.42289064,18.95302786,19.74946286,18.92073072,20.01222784,19.23035389,19.0591875,20.89144039,19.32231668,19.62918496,19.42861706,19.59834203,19.10340837,19.0013834,19.27205116,19.99168755,19.95648148,20.23034494,0.07580842,-0.405737201,0.557354042,19.67328351,0.314789974,-6.015396211,0.753994484,0.899903928,0.978821442,0
P23297,S10A1_HUMAN,S100A1,Protein S100-A1,,26.60446532,25.55504385,26.22834052,25.99125406,25.68282534,25.66912589,26.48969052,24.92497106,25.23312401,25.9328805,26.99520195,25.62912838,25.3043154,26.21023922,26.04627668,26.69889303,25.97993311,25.97995428,25.68098409,25.0758641,26.44381648,26.19125819,24.88830067,24.73219161,25.57711062,26.52400329,25.41710627,26.56064052,25.71373493,26.40419826,25.88069243,24.54891608,24.3422459,25.64428353,27.08154562,26.22986275,25.52675964,26.56038846,26.5635042,26.52298523,25.43641628,25.45679183,26.82865191,25.94313137,26.46802102,27.11142398,26.01056912,25.04493313,25.97766835,25.94028514,26.39874948,26.2666542,25.84517925,26.34889363,26.66038924,26.74806121,25.75911723,25.65221721,26.35358359,26.08678826,26.40035261,27.18197434,0.067382866,-0.595887071,0.730652802,25.98686949,0.203076018,-6.0488256,0.83974007,0.937229682,0.988299702,0
P23327,SRCH_HUMAN,HRC,Sarcoplasmic reticulum histidine-rich calcium-binding protein,,23.30750095,23.21449121,23.50556875,22.99872305,23.10676895,23.22180946,23.66841653,23.16072928,23.33979918,23.291846,23.25268043,23.2269201,23.23528025,23.46829513,23.34377389,23.11866747,23.13634063,23.23595314,23.03737811,23.49730638,23.49562717,23.10400361,23.24241493,23.43612066,23.1570981,23.31713838,23.03874914,23.78051925,23.37845552,23.90298008,23.72610841,23.79506389,23.59936354,23.4054125,23.27761992,23.23080177,23.59996087,23.02337143,23.91193592,24.03305548,23.66040705,23.99856421,23.51394099,23.14028546,23.6037782,23.97725851,24.20826412,23.8482961,24.16503062,24.13256369,23.88087559,23.55783969,23.77373644,23.30099364,23.81838865,24.1469018,24.07252517,24.31070045,24.05660978,23.5853234,23.77562824,23.69646202,0.339794426,0.042084423,0.637504429,23.53303908,2.281509597,-3.66768398,0.025961139,0.188100433,0.289198505,0
P23368,MAOM_HUMAN,ME2,"NAD-dependent malic enzyme, mitochondrial",,20.1880764,19.64973487,20.49396415,20.38291893,20.5904298,20.08746478,19.41069885,19.93742232,19.92553992,19.8345989,20.95700304,NA,19.94195271,20.27468058,20.26910186,20.37534239,20.35939693,20.74010177,20.50406564,20.60133003,20.5304315,19.89701284,20.61976199,20.27501189,20.56811956,20.92675287,19.63823644,19.32921282,19.7741303,20.43152385,20.49643357,19.73686463,20.9521181,19.79325197,21.01764541,20.45401125,20.58309109,19.88626784,20.56462077,20.17159637,20.44021687,19.50770315,20.46553582,19.66059114,19.93263572,20.70195533,21.08063452,20.30091066,20.8096968,20.71536538,20.84612999,21.10949488,20.09552189,20.45920991,20.13847196,20.83146033,21.00840094,20.78056184,20.31280143,21.03635584,20.31643916,20.64970204,0.326630286,-0.152518547,0.805779118,20.35032319,1.363097433,-5.168469488,0.1778581,0.470800853,0.568920183,0
P23381,SYWC_HUMAN,WARS1,"Tryptophan--tRNA ligase, cytoplasmic",,23.06096659,22.64693559,22.79706132,22.46021308,22.22230708,22.4103289,22.3695443,22.36314602,22.69979786,22.68413471,22.69309356,22.05912296,22.55205321,22.28729739,22.44432712,22.69967704,22.688485,22.43564064,22.50508553,22.42153556,22.50007843,22.37117465,22.0497163,22.62292597,22.71144256,22.35973054,21.98660482,22.07822765,22.41709598,22.29300262,22.15215891,22.03587204,22.26292755,21.93922193,22.34710353,23.12410384,23.02067042,22.5671866,22.83773303,22.12888749,22.53274448,22.71132216,22.4207028,22.42380023,22.28526426,22.03886559,22.25282131,22.05661158,22.65598425,22.29954676,22.69650158,23.04371376,22.57376151,22.5136656,22.69459162,22.6120151,22.43370452,22.71089917,22.18115328,22.54597163,22.2706411,22.0906549,-0.197230435,-0.50293671,0.108475841,22.45728315,-1.289641662,-5.27913117,0.201961273,0.50075978,0.729420098,0
P23396,RS3_HUMAN,RPS3,40S ribosomal protein S3,,24.33289853,24.83841028,24.07002493,24.44415976,24.36564202,24.48416134,24.62754885,24.26892575,24.66726702,24.74718534,23.4339386,24.43606188,24.67510824,24.24476305,24.39797693,24.4161731,24.36566931,24.55220657,24.56784806,24.35973209,24.98422127,24.19057383,24.74823719,24.5025176,24.32012908,24.71138602,24.74958968,24.40310229,24.65739499,24.84962118,24.63338044,24.97868399,25.04505682,24.6920645,24.57781708,24.41453279,24.03505186,24.85535784,25.03819131,25.207427,23.76263003,24.85232002,24.85486147,24.63539826,25.03244818,24.56582873,24.64113299,24.83000627,25.16679063,24.70639463,24.90813045,25.34592233,23.9574994,24.66729249,24.89238758,24.6390692,25.1336235,24.5750832,25.02117899,25.20405197,24.60854827,25.28689091,0.452832796,0.056297229,0.849368362,24.63189561,2.282733447,-3.665214065,0.025884498,0.188100433,0.191149141,0
P23434,GCSH_HUMAN,GCSH,"Glycine cleavage system H protein, mitochondrial",,20.98463705,20.664328,21.29928011,20.93087757,19.86454476,20.93052955,20.13918978,NA,20.67711057,20.06710848,21.18253398,20.49778654,20.76640094,20.95287883,21.10425661,21.05003896,20.0260748,20.46939776,NA,20.87667164,20.67442143,21.11822751,20.28210643,20.9511365,20.52557426,20.70957881,20.471943,20.7575628,20.03440122,20.3454692,20.00883949,NA,20.3771559,NA,20.29363805,20.2098276,20.40195843,21.0676197,NA,20.26113564,NA,20.72141793,21.90262646,NA,NA,NA,20.49760053,NA,20.38124195,20.41429485,20.26225789,20.04809374,NA,20.57254064,21.0067734,20.67150716,NA,21.3854249,NA,NA,20.16480565,20.25806274,-0.255730261,-0.804946007,0.293485485,20.60960187,-0.936182181,-5.568509454,0.35386088,0.651384187,0.766695353,0
P23526,SAHH_HUMAN,AHCY,Adenosylhomocysteinase,,23.83304071,23.36898649,23.91007766,23.30048515,23.69146096,23.30287292,23.89209659,23.28678515,23.32352849,23.87832132,23.85514055,23.58748041,23.30960279,23.27898354,23.49974825,23.89261227,23.39103808,23.6000857,23.42754044,23.26711588,23.59552073,23.36327497,23.2558841,23.32556806,23.55041975,23.66429838,23.6077493,23.41927327,23.25045354,23.48408054,23.40784874,23.76045417,23.39953534,23.66784535,23.22684077,23.80097853,23.21892155,23.66091263,23.58103448,23.63406437,23.19210044,23.66458309,23.53314781,23.45247002,23.77008748,23.3525633,23.46793499,23.38567908,23.78893324,23.42880852,23.61519904,23.86998148,23.08456438,23.4379107,23.66225359,23.69912071,23.94478958,23.68746426,23.98443121,23.81706507,23.82424246,23.75479175,-0.115942042,-0.379074052,0.147189968,23.55145297,-0.880778569,-5.697660072,0.381836479,0.673582803,0.894379866,0
P23528,COF1_HUMAN,CFL1,Cofilin-1,,26.56979215,26.38464976,26.09059701,25.86603976,26.6846708,26.10969272,26.60038983,26.3635447,26.45823645,26.45733222,26.25522777,26.56940763,26.19282616,26.31934631,26.16610452,26.76107857,26.25130405,26.33395564,25.77225994,26.61268773,26.58634161,26.28283703,26.3805598,26.31530894,26.3096349,26.41214761,26.25826798,26.76326336,26.34409754,26.55883435,26.25802069,26.13882199,26.06395084,26.49509854,25.88890576,25.11555254,25.32543599,26.15875881,26.32319978,26.53513614,26.40903248,26.41143352,26.15025285,26.28710209,26.57651717,26.2997346,26.24616685,26.48995702,26.02648599,26.25237129,25.05314353,25.22860509,26.20729135,26.23257313,26.29997621,26.68614094,26.68014545,26.34216513,26.38677283,26.65580798,26.63261653,26.56344152,-0.129899488,-0.514842825,0.255043848,26.28146857,-0.674543732,-5.850475702,0.502471209,0.751574686,0.914480597,0
