gene,logFC_Aging,logFC_Training_Old,pi_score_Aging,pi_score_Training_Old,pi_score_Reversal,significance,quadrant,imputed
ALDH9A1,0.21560000000000001,-0.1663,0.550699,0.676738,0.285318,NS,Reversed (Aging Up / Training Down),FALSE
TSNAX,-0.148,-0.2332,0.875588,0.630155,0.97694,NS,Exacerbated Down,TRUE
NUDT3,0.2687,-0.1123,0.357389,0.861476,0.293332,NS,Reversed (Aging Up / Training Down),TRUE
HSPA14,-0.1861,0.1949,0.814013,0.672175,0.493141,NS,Reversed (Aging Down / Training Up),TRUE
RPA3,-0.3663,0.0145,0.270623,0.998708,0.465506,NS,Reversed (Aging Down / Training Up),TRUE
PGLS,0.3194,-0.0613,0.376066,0.971217,0.432479,NS,Reversed (Aging Up / Training Down),TRUE
COX5B,-0.2497,0.1304,0.547901,0.855285,0.419339,NS,Reversed (Aging Down / Training Up),FALSE
LSS,0.3459,-0.0341,0.192868,0.990016,0.333958,NS,Reversed (Aging Up / Training Down),TRUE
SH3GLB2,-0.3589,0.0211,0.323466,0.996579,0.429864,NS,Reversed (Aging Down / Training Up),TRUE
TALDO1,0.2261,-0.1538,0.337984,0.598312,0.134378,NS,Reversed (Aging Up / Training Down),FALSE
CBX3,0.3234,0.0562,0.500483,0.97707,0.746436,NS,Exacerbated Up,TRUE
MAT2B,0.3436,-0.0359,0.136877,0.985892,0.242307,NS,Reversed (Aging Up / Training Down),TRUE
RPL7,-0.1648,0.2144,0.869043,0.731513,0.589295,NS,Reversed (Aging Down / Training Up),FALSE
FAH,0.366,-0.0127,0.098226,0.998613,0.284189,NS,Reversed (Aging Up / Training Down),FALSE
SFXN1,0.313,0.0657,0.227128,0.955422,0.647008,NS,Exacerbated Up,TRUE
FAM185A,-0.0546,-0.3236,0.993101,0.485238,0.856432,NS,Exacerbated Down,TRUE
SLC25A20,0.3126,0.0647,0.40235,0.971528,0.758676,NS,Exacerbated Up,FALSE
RDX,0.2759,-0.101,0.15456,0.827625,0.130188,NS,Reversed (Aging Up / Training Down),FALSE
ECI2,0.3622,-0.0146,0.167128,0.998407,0.370091,NS,Reversed (Aging Up / Training Down),FALSE
GAPDH,-0.1877,0.1882,0.621594,0.55204,0.257826,NS,Reversed (Aging Down / Training Up),FALSE
ARPC5L,0.1625,0.2134,0.925878,0.686856,0.994556,NS,Exacerbated Up,TRUE
CLIC5,-0.2035,-0.1707,0.600254,0.663534,0.994932,NS,Exacerbated Down,FALSE
OSTC,-0.3554,0.0187,0.435388,0.997792,0.541616,NS,Reversed (Aging Down / Training Up),TRUE
NDUFAF4,-0.1875,0.1854,0.843907,0.790729,0.60641,NS,Reversed (Aging Down / Training Up),TRUE
SLC16A3,-0.2361,0.1364,0.759261,0.90568,0.640713,NS,Reversed (Aging Down / Training Up),TRUE
RAB5C,0.2638,0.1083,0.494972,0.901239,0.895907,NS,Exacerbated Up,FALSE
YARS1,-0.268,0.1035,0.497429,0.912034,0.439554,NS,Reversed (Aging Down / Training Up),TRUE
RPS27,-0.3348,0.0353,0.134617,0.987599,0.276625,NS,Reversed (Aging Down / Training Up),FALSE
COQ10B,-0.23,-0.14,0.712523,0.875994,0.976262,NS,Exacerbated Down,TRUE
CALM1,-0.2104,0.1591,0.534505,0.67685,0.275043,NS,Reversed (Aging Down / Training Up),FALSE
EMC1,-0.2499,0.1195,0.658491,0.904718,0.555533,NS,Reversed (Aging Down / Training Up),TRUE
ATP5IF1,0.2919,0.0773,0.418483,0.95388,0.801533,NS,Exacerbated Up,FALSE
ATP2B1,0.2527,-0.1159,0.84993,0.905332,0.723573,NS,Reversed (Aging Up / Training Down),TRUE
METAP2,0.237,-0.1316,0.22685,0.625163,0.090045,NS,Reversed (Aging Up / Training Down),TRUE
PEBP1,0.1883,-0.1801,0.551471,0.514857,0.199703,NS,Reversed (Aging Up / Training Down),FALSE
THNSL1,0.3532,-0.015,0.730587,0.998719,0.740526,NS,Reversed (Aging Up / Training Down),TRUE
NHLRC2,0.346,-0.0221,0.218503,0.99611,0.38509,NS,Reversed (Aging Up / Training Down),TRUE
AKAP12,0.095,0.2728,0.952954,0.435044,0.884465,NS,Exacerbated Up,TRUE
SEC24C,0.3582,-0.0094,0.086466,0.999167,0.262274,NS,Reversed (Aging Up / Training Down),TRUE
JPH2,-0.2762,-0.0914,0.320044,0.90765,0.799959,NS,Exacerbated Down,FALSE
TMEM109,-0.1828,-0.1844,0.730481,0.67394,0.99999,NS,Exacerbated Down,FALSE
PELO,-0.2248,0.1423,0.727395,0.854995,0.549649,NS,Reversed (Aging Down / Training Up),TRUE
MPP1,-0.2762,0.0907,0.663214,0.954061,0.615697,NS,Reversed (Aging Down / Training Up),TRUE
TOM1L2,0.2091,-0.1574,0.483676,0.616359,0.205861,NS,Reversed (Aging Up / Training Down),TRUE
RSU1,0.2865,-0.08,0.298161,0.931724,0.318964,NS,Reversed (Aging Up / Training Down),TRUE
AAMP,-0.1257,0.24,0.934419,0.645533,0.621871,NS,Reversed (Aging Down / Training Up),TRUE
DCAF6,0.2375,-0.1281,0.379376,0.770155,0.237789,NS,Reversed (Aging Up / Training Down),FALSE
NAGK,0.2305,0.1346,0.390936,0.725149,0.937741,NS,Exacerbated Up,TRUE
DNAJA1,0.291,0.0738,0.614611,0.960487,0.845646,NS,Exacerbated Up,TRUE
LUC7L2,0.3174,-0.0469,0.167031,0.974535,0.259352,NS,Reversed (Aging Up / Training Down),TRUE
MYCBP,-0.2741,0.09,0.465462,0.920916,0.408205,NS,Reversed (Aging Down / Training Up),TRUE
PURA,-0.2411,-0.1229,0.579029,0.871163,0.942607,NS,Exacerbated Down,TRUE
S100A9,-0.0198,0.3434,0.999086,0.630061,0.784966,NS,Reversed (Aging Down / Training Up),TRUE
PHKG1,-0.2024,0.1604,0.462335,0.584478,0.186641,NS,Reversed (Aging Down / Training Up),FALSE
CSNK2B,-0.2444,0.118,0.408588,0.826257,0.293505,NS,Reversed (Aging Down / Training Up),TRUE
CLASP2,0.2229,-0.1391,0.73659,0.852228,0.553597,NS,Reversed (Aging Up / Training Down),TRUE
IMPA2,-0.2008,-0.1611,0.684643,0.760112,0.993858,NS,Exacerbated Down,FALSE
CAMK2B,-0.1439,0.2178,0.825654,0.526785,0.396714,NS,Reversed (Aging Down / Training Up),FALSE
PSMD3,-0.3231,-0.0383,0.122293,0.98364,0.465451,NS,Exacerbated Down,FALSE
PPP1R7,0.1577,-0.2036,0.754476,0.521642,0.331203,NS,Reversed (Aging Up / Training Down),FALSE
EPB41,0.0963,0.2647,0.970293,0.653867,0.935085,NS,Exacerbated Up,TRUE
ATP6V1G1,0.1375,-0.2234,0.781051,0.295304,0.221525,NS,Reversed (Aging Up / Training Down),TRUE
COQ8A,0.2806,-0.0799,0.253886,0.922824,0.27604,NS,Reversed (Aging Up / Training Down),FALSE
RACK1,-0.175,0.1853,0.692965,0.592973,0.328594,NS,Reversed (Aging Down / Training Up),FALSE
CUL1,0.2969,-0.0633,0.259387,0.957423,0.321987,NS,Reversed (Aging Up / Training Down),TRUE
PGRMC2,0.2222,-0.1375,0.667761,0.853085,0.507918,NS,Reversed (Aging Up / Training Down),FALSE
LETM1,0.2952,0.0645,0.363328,0.965682,0.747105,NS,Exacerbated Up,FALSE
GSTP1,0.1598,-0.1995,0.706885,0.474183,0.268827,NS,Reversed (Aging Up / Training Down),FALSE
NDUFAB1,-0.2713,-0.0874,0.537179,0.947179,0.872842,NS,Exacerbated Down,FALSE
AP1G1,0.19,0.1685,0.875648,0.79624,0.99892,NS,Exacerbated Up,TRUE
DDX3X,-0.2972,0.0612,0.421014,0.973228,0.493308,NS,Reversed (Aging Down / Training Up),FALSE
CSE1L,0.2487,-0.1096,0.269756,0.808574,0.193896,NS,Reversed (Aging Up / Training Down),FALSE
TSG101,-0.1605,-0.1975,0.758875,0.518569,0.993278,NS,Exacerbated Down,TRUE
HBS1L,-0.1919,0.1658,0.628673,0.656466,0.320989,NS,Reversed (Aging Down / Training Up),TRUE
TIMM9,0.1865,0.1712,0.727789,0.703316,0.999081,NS,Exacerbated Up,TRUE
RIDA,0.1949,-0.1625,0.4532,0.534712,0.160942,NS,Reversed (Aging Up / Training Down),FALSE
PFDN2,0.2302,-0.127,0.452211,0.795526,0.300754,NS,Reversed (Aging Up / Training Down),TRUE
PXN,0.3564,-3e-4,0.398129,0.999999,0.524522,NS,Reversed (Aging Up / Training Down),TRUE
TPPP3,0.2852,0.071,0.711517,0.9782,0.893465,NS,Exacerbated Up,TRUE
MACROD1,-0.2567,-0.0995,0.348483,0.878749,0.844927,NS,Exacerbated Down,FALSE
LYPLAL1,-0.3178,-0.0383,0.738239,0.991316,0.823985,NS,Exacerbated Down,TRUE
TNS1,0.291,-0.065,0.454881,0.969952,0.508263,NS,Reversed (Aging Up / Training Down),TRUE
PLS3,0.1764,0.1795,0.819404,0.722402,0.999971,NS,Exacerbated Up,TRUE
MPC1,0.1314,-0.2244,0.874528,0.55636,0.472413,NS,Reversed (Aging Up / Training Down),TRUE
LGALS1,0.3541,0.0015,0.369291,0.999989,0.596757,NS,Exacerbated Up,FALSE
G3BP2,-0.255,-0.0987,0.756338,0.951566,0.941993,NS,Exacerbated Down,TRUE
ARPC5,0.2238,0.1295,0.788222,0.903571,0.977753,NS,Exacerbated Up,TRUE
PTMA,0.3122,0.041,0.558461,0.989955,0.763984,NS,Exacerbated Up,TRUE
KIF5B,0.1399,0.2132,0.792654,0.445522,0.970142,NS,Exacerbated Up,FALSE
ACTR3,0.2541,0.0986,0.335925,0.874972,0.841254,NS,Exacerbated Up,FALSE
IFITM1,0.2353,-0.1162,0.664315,0.889304,0.528342,NS,Reversed (Aging Up / Training Down),TRUE
ERO1A,-0.1773,0.1742,0.653171,0.579262,0.290535,NS,Reversed (Aging Down / Training Up),TRUE
KRT10,-0.2146,0.1368,0.867055,0.93872,0.783138,NS,Reversed (Aging Down / Training Up),FALSE
STAT5B,0.1836,-0.1678,0.595576,0.589807,0.26126,NS,Reversed (Aging Up / Training Down),TRUE
PTPN11,0.3182,0.0332,0.268542,0.990435,0.57909,NS,Exacerbated Up,TRUE
MAPK1,-0.1485,0.2027,0.700678,0.381449,0.214794,NS,Reversed (Aging Down / Training Up),FALSE
NAA10,-0.1783,0.1727,0.811997,0.691586,0.497985,NS,Reversed (Aging Down / Training Up),TRUE
CMPK1,-0.2816,-0.0687,0.578683,0.973043,0.853878,NS,Exacerbated Down,TRUE
ARL3,0.2622,0.0877,0.56562,0.923909,0.861299,NS,Exacerbated Up,TRUE
THAP4,0.2541,0.0954,0.532411,0.921259,0.888665,NS,Exacerbated Up,TRUE
GYS1,-0.245,0.1034,0.4509,0.884859,0.379059,NS,Reversed (Aging Down / Training Up),FALSE
CLUH,0.3288,0.0192,0.682991,0.998369,0.78689,NS,Exacerbated Up,TRUE
MRPL40,0.3054,0.0424,0.512161,0.988698,0.757505,NS,Exacerbated Up,TRUE
RPL10A,-0.2486,0.0991,0.703945,0.948845,0.658634,NS,Reversed (Aging Down / Training Up),FALSE
LYRM7,0.1365,-0.2111,0.877559,0.634312,0.527009,NS,Reversed (Aging Up / Training Down),TRUE
PADI2,0.2395,0.1081,0.441126,0.86386,0.900549,NS,Exacerbated Up,FALSE
LDHD,0.2357,-0.1118,0.813448,0.944455,0.735235,NS,Reversed (Aging Up / Training Down),TRUE
BPNT1,0.333,-0.0144,0.24715,0.998504,0.454502,NS,Reversed (Aging Up / Training Down),TRUE
TKT,0.207,0.1403,0.773863,0.856563,0.986294,NS,Exacerbated Up,TRUE
TMEM70,-0.1173,0.2298,0.941878,0.722725,0.684046,NS,Reversed (Aging Down / Training Up),TRUE
PTRHD1,-0.2912,0.0556,0.353982,0.973837,0.445393,NS,Reversed (Aging Down / Training Up),TRUE
NIT1,0.2636,-0.0831,0.531464,0.948126,0.525627,NS,Reversed (Aging Up / Training Down),TRUE
SPR,0.2416,-0.1046,0.602061,0.915039,0.525863,NS,Reversed (Aging Up / Training Down),TRUE
PEX11B,0.0919,-0.2542,0.971054,0.630559,0.701282,NS,Reversed (Aging Up / Training Down),TRUE
ORM1,0.3436,-0.0016,0.570061,0.999992,0.733495,NS,Reversed (Aging Up / Training Down),FALSE
PGK1,-0.2881,0.0569,0.200608,0.960666,0.283467,NS,Reversed (Aging Down / Training Up),FALSE
EIF3H,-0.2219,-0.123,0.768319,0.901419,0.972006,NS,Exacerbated Down,TRUE
NACA,-0.2676,0.0764,0.173049,0.905681,0.193528,NS,Reversed (Aging Down / Training Up),FALSE
MRPL21,0.0461,-0.2976,0.994427,0.629725,0.771921,NS,Reversed (Aging Up / Training Down),TRUE
KPNA6,-0.1951,0.1485,0.6472,0.717757,0.3764,NS,Reversed (Aging Down / Training Up),TRUE
VARS1,0.1887,0.1543,0.657006,0.727948,0.994455,NS,Exacerbated Up,FALSE
EHBP1L1,-0.2378,0.1051,0.482528,0.874049,0.38234,NS,Reversed (Aging Down / Training Up),TRUE
ETHE1,-0.2691,-0.0735,0.647073,0.951588,0.858254,NS,Exacerbated Down,TRUE
CNIH4,-0.1908,-0.1516,0.812826,0.860126,0.995927,NS,Exacerbated Down,TRUE
ATIC,-0.2622,0.0799,0.232226,0.906416,0.241137,NS,Reversed (Aging Down / Training Up),FALSE
MCU,0.2558,-0.0861,0.590147,0.949628,0.572068,NS,Reversed (Aging Up / Training Down),TRUE
RPA1,0.2295,-0.1123,0.586886,0.868744,0.446226,NS,Reversed (Aging Up / Training Down),TRUE
HRC,-0.3057,0.0355,0.148115,0.985634,0.28586,NS,Reversed (Aging Down / Training Up),FALSE
MDH1,0.2148,-0.1261,0.403545,0.741007,0.23409,NS,Reversed (Aging Up / Training Down),FALSE
SUGT1,0.3117,0.0288,0.271413,0.992069,0.555087,NS,Exacerbated Up,TRUE
PSMD6,-0.2776,-0.0627,0.404858,0.966657,0.774029,NS,Exacerbated Down,FALSE
ARIH2,-0.2602,0.0795,0.627663,0.948885,0.562407,NS,Reversed (Aging Down / Training Up),TRUE
SGTA,0.2726,-0.0667,0.23104,0.942049,0.28144,NS,Reversed (Aging Up / Training Down),FALSE
DSTN,0.1413,0.1973,0.903475,0.764094,0.991595,NS,Exacerbated Up,TRUE
PSMC6,-0.2756,0.0628,0.137082,0.936654,0.191319,NS,Reversed (Aging Down / Training Up),FALSE
ALDH1A1,0.0887,-0.2491,0.950624,0.50595,0.547508,NS,Reversed (Aging Up / Training Down),FALSE
CSTB,0.3026,0.0351,0.343213,0.990666,0.663455,NS,Exacerbated Up,FALSE
SORBS1,-0.0375,-0.3001,0.996478,0.581649,0.85825,NS,Exacerbated Down,TRUE
UBA2,0.2683,0.069,0.512256,0.95991,0.818688,NS,Exacerbated Up,TRUE
ARIH1,-0.052,-0.2853,0.985371,0.388006,0.781658,NS,Exacerbated Down,TRUE
SLC25A24,-0.1079,0.2292,0.880566,0.366699,0.34905,NS,Reversed (Aging Down / Training Up),TRUE
PPP1CC,-0.1135,-0.2235,0.967415,0.679583,0.975063,NS,Exacerbated Down,TRUE
CHCHD7,0.3178,-0.0183,0.442604,0.998142,0.608651,NS,Reversed (Aging Up / Training Down),TRUE
FH,0.2127,0.1233,0.32709,0.70157,0.929924,NS,Exacerbated Up,FALSE
MMUT,0.2842,0.0518,0.554682,0.983905,0.813109,NS,Exacerbated Up,TRUE
SLC35A4,-0.2108,0.1252,0.700295,0.877112,0.550872,NS,Reversed (Aging Down / Training Up),TRUE
MLEC,-0.3283,-0.0077,0.134182,0.999448,0.388905,NS,Exacerbated Down,FALSE
ESYT2,-0.2339,0.1019,0.635297,0.895742,0.496623,NS,Reversed (Aging Down / Training Up),TRUE
DDX39B,-0.2946,-0.0408,0.408416,0.987975,0.717558,NS,Exacerbated Down,TRUE
UBL4A,-0.2093,-0.1259,0.762271,0.871968,0.976749,NS,Exacerbated Down,TRUE
ME1,-0.1585,-0.1766,0.726291,0.597178,0.998351,NS,Exacerbated Down,FALSE
RPSA,-0.1245,0.2104,0.842554,0.468446,0.374844,NS,Reversed (Aging Down / Training Up),FALSE
HLA-B,0.2322,0.1026,0.805008,0.946372,0.960209,NS,Exacerbated Up,TRUE
SNX5,0.1494,-0.1852,0.956319,0.845043,0.814554,NS,Reversed (Aging Up / Training Down),TRUE
IGHG3,0.2813,0.0529,0.76391,0.991404,0.907351,NS,Exacerbated Up,FALSE
HSPB3,-0.2027,0.1311,0.751387,0.881545,0.607472,NS,Reversed (Aging Down / Training Up),FALSE
TNPO1,-0.2028,0.1309,0.571293,0.768085,0.352512,NS,Reversed (Aging Down / Training Up),TRUE
HSPA2,0.2687,-0.0647,0.698649,0.981859,0.723043,NS,Reversed (Aging Up / Training Down),FALSE
DPP7,0.3198,-0.0135,0.664764,0.999068,0.720446,NS,Reversed (Aging Up / Training Down),TRUE
ACADVL,0.2445,-0.0883,0.349459,0.896949,0.318621,NS,Reversed (Aging Up / Training Down),FALSE
ABHD10,0.17,-0.1628,0.797584,0.755403,0.525699,NS,Reversed (Aging Up / Training Down),TRUE
ELOB,-0.2742,0.0583,0.240075,0.958216,0.314179,NS,Reversed (Aging Down / Training Up),FALSE
RGS12,-0.1112,-0.221,0.942451,0.710877,0.966529,NS,Exacerbated Down,TRUE
AKR1C1,-0.243,0.089,0.654773,0.949265,0.62136,NS,Reversed (Aging Down / Training Up),TRUE
TF,0.3073,0.0235,0.465059,0.996915,0.71464,NS,Exacerbated Up,FALSE
MOGS,-0.226,-0.1048,0.845317,0.942007,0.968415,NS,Exacerbated Down,TRUE
TXNDC17,-0.1851,0.1452,0.569224,0.681078,0.298503,NS,Reversed (Aging Down / Training Up),FALSE
SMTNL1,-0.1808,-0.1493,0.849817,0.880729,0.99761,NS,Exacerbated Down,FALSE
PPP5C,0.309,-0.0206,0.111714,0.994864,0.267447,NS,Reversed (Aging Up / Training Down),TRUE
RPS26,-0.244,0.0856,0.616376,0.949135,0.591015,NS,Reversed (Aging Down / Training Up),FALSE
QKI,-0.0861,0.2432,0.971241,0.68019,0.701735,NS,Reversed (Aging Down / Training Up),TRUE
TRMT10C,0.3097,0.019,0.277498,0.99674,0.541306,NS,Exacerbated Up,TRUE
ERLIN2,-0.2416,-0.0869,0.570825,0.939303,0.89792400000000006,NS,Exacerbated Down,FALSE
ME2,-0.1492,0.1793,0.846571,0.730926,0.565222,NS,Reversed (Aging Down / Training Up),TRUE
YWHAH,0.2447,0.0836,0.255657,0.887082,0.780203,NS,Exacerbated Up,FALSE
GSTM3,-0.273,0.0549,0.552274,0.981343,0.614559,NS,Reversed (Aging Down / Training Up),FALSE
COPB2,-0.1833,0.1446,0.782396,0.783957,0.539364,NS,Reversed (Aging Down / Training Up),TRUE
UBE2D1,0.0212,-0.3066,0.996771,0.182782,0.444912,NS,Reversed (Aging Up / Training Down),FALSE
COBL,-0.1947,0.1326,0.868305,0.900795,0.734818,NS,Reversed (Aging Down / Training Up),TRUE
VPS36,-0.028,-0.2988,0.996354,0.265235,0.702152,NS,Exacerbated Down,TRUE
RUVBL2,0.2476,0.0791,0.592567,0.951619,0.884197,NS,Exacerbated Up,TRUE
GLUD1,0.165,0.161,0.738733,0.70372,0.99993,NS,Exacerbated Up,FALSE
DCTN4,0.2432,0.0828,0.602984,0.944554,0.893239,NS,Exacerbated Up,TRUE
EIF2A,-0.3125,0.0122,0.386506,0.998991,0.56,NS,Reversed (Aging Down / Training Up),TRUE
SRSF11,-0.3203,0.0039,0.576765,0.99989,0.646477,NS,Reversed (Aging Down / Training Up),TRUE
FDXR,0.3158,0.0082,0.762726,0.999611,0.802889,NS,Exacerbated Up,TRUE
ITGA7,0.1387,-0.1849,0.817043,0.60758,0.44128,NS,Reversed (Aging Up / Training Down),TRUE
OPA1,0.2241,0.0994,0.502879,0.887557,0.911668,NS,Exacerbated Up,FALSE
CLINT1,-0.3137,-0.0095,0.477322,0.999487,0.674254,NS,Exacerbated Down,TRUE
SQOR,-0.2227,0.1004,0.832617,0.946836,0.744115,NS,Reversed (Aging Down / Training Up),TRUE
DYNC1H1,-0.2032,0.1197,0.484282,0.783538,0.312182,NS,Reversed (Aging Down / Training Up),FALSE
EEF1A1,-0.2678,0.055,0.448897,0.97542,0.520477,NS,Reversed (Aging Down / Training Up),FALSE
TMEM245,0.2485,-0.0742,0.569573,0.945474,0.516876,NS,Reversed (Aging Up / Training Down),TRUE
MMAB,-0.0368,-0.2853,0.993099,0.313442,0.738338,NS,Exacerbated Down,TRUE
MTAP,0.156,-0.1659,0.863538,0.803288,0.639012,NS,Reversed (Aging Up / Training Down),TRUE
PUF60,-0.2194,-0.1024,0.682861,0.872919,0.935414,NS,Exacerbated Down,TRUE
TIMM44,0.2909,0.0308,0.290186,0.991488,0.618856,NS,Exacerbated Up,FALSE
KHSRP,0.2113,-0.109,0.639887,0.882353,0.511012,NS,Reversed (Aging Up / Training Down),TRUE
HNRNPDL,-0.2676,-0.0526,0.491272,0.979627,0.798952,NS,Exacerbated Down,FALSE
ENOPH1,-0.1873,-0.1324,0.663128,0.799607,0.985286,NS,Exacerbated Down,TRUE
EIF3K,-0.2189,0.1,0.598063,0.906403,0.513059,NS,Reversed (Aging Down / Training Up),FALSE
COL6A1,-0.1988,0.1198,0.891315,0.955547,0.828702,NS,Reversed (Aging Down / Training Up),TRUE
PHYKPL,0.1475,-0.1704,0.898053,0.798017,0.688672,NS,Reversed (Aging Up / Training Down),TRUE
NUCKS1,0.1999,-0.1175,0.557257,0.820533,0.392052,NS,Reversed (Aging Up / Training Down),FALSE
LRRC40,0.2968,-0.0198,0.775357,0.997456,0.773364,NS,Reversed (Aging Up / Training Down),TRUE
GGCT,-0.1361,-0.1801,0.810965,0.601081,0.990137,NS,Exacerbated Down,FALSE
SSU72,-0.3006,0.0156,0.441536,0.998094,0.554876,NS,Reversed (Aging Down / Training Up),TRUE
ATAD1,-0.2064,0.1096,0.611478,0.875306,0.486272,NS,Reversed (Aging Down / Training Up),FALSE
UTRN,-0.2804,-0.0355,0.441244,0.990833,0.730238,NS,Exacerbated Down,TRUE
VPS4B,0.2068,0.109,0.771101,0.907974,0.967555,NS,Exacerbated Up,TRUE
GCN1,-0.1966,0.1192,0.777327,0.853458,0.584162,NS,Reversed (Aging Down / Training Up),TRUE
CDC37,0.3027,-0.0109,0.080814,0.998496,0.256145,NS,Reversed (Aging Up / Training Down),TRUE
ERAP1,-0.1732,0.1404,0.818215,0.860948,0.64639,NS,Reversed (Aging Down / Training Up),TRUE
CDH13,0.1484,-0.165,0.813242,0.721677,0.519844,NS,Reversed (Aging Up / Training Down),FALSE
MGST3,-0.1609,-0.1511,0.789739,0.779695,0.999631,NS,Exacerbated Down,FALSE
IDH3A,0.0868,0.2249,0.92639,0.396569,0.884159,NS,Exacerbated Up,FALSE
UNC45B,-0.1033,0.2082,0.896732,0.484811,0.447271,NS,Reversed (Aging Down / Training Up),FALSE
AKR1C2,-0.111,0.2003,0.953787,0.811667,0.772909,NS,Reversed (Aging Down / Training Up),TRUE
TTR,0.2965,0.0147,0.526378,0.998892,0.737336,NS,Exacerbated Up,FALSE
PPID,0.1017,-0.2094,0.972138,0.811027,0.809722,NS,Reversed (Aging Up / Training Down),TRUE
SHMT2,0.0154,0.2956,0.999025,0.410075,0.730852,NS,Exacerbated Up,TRUE
GDI1,0.1763,-0.1341,0.499772,0.646668,0.236206,NS,Reversed (Aging Up / Training Down),FALSE
FN3KRP,0.2636,0.0462,0.811846,0.992414,0.911288,NS,Exacerbated Up,TRUE
CD36,0.2165,0.0933,0.751274,0.950174,0.954891,NS,Exacerbated Up,FALSE
AP2M1,-0.2289,0.0808,0.564272,0.938966,0.528699,NS,Reversed (Aging Down / Training Up),TRUE
TUBA8,-0.2224,0.0873,0.395873,0.88968,0.343801,NS,Reversed (Aging Down / Training Up),FALSE
EIF3L,-0.1914,0.1183,0.726062,0.879268,0.581135,NS,Reversed (Aging Down / Training Up),TRUE
ACO2,0.2882,-0.0214,0.156712,0.99461,0.331598,NS,Reversed (Aging Up / Training Down),FALSE
ESYT1,-0.1767,-0.1329,0.814025,0.878884,0.994065,NS,Exacerbated Down,FALSE
PANK4,0.1779,-0.1316,0.717228,0.819954,0.514813,NS,Reversed (Aging Up / Training Down),FALSE
ALDH7A1,0.2491,-0.0603,0.644007,0.97825,0.6711,NS,Reversed (Aging Up / Training Down),TRUE
PSMC4,-0.2441,0.0652,0.26516,0.936068,0.300725,NS,Reversed (Aging Down / Training Up),FALSE
RPS4X,-0.1239,0.1854,0.854023,0.599955,0.474279,NS,Reversed (Aging Down / Training Up),FALSE
TMEM198,-0.1666,-0.1426,0.866503,0.885688,0.998561,NS,Exacerbated Down,FALSE
COQ9,0.1704,-0.1386,0.67165,0.743143,0.413278,NS,Reversed (Aging Up / Training Down),FALSE
S100A8,-0.0176,0.2914,0.999355,0.758456,0.860699,NS,Reversed (Aging Down / Training Up),TRUE
ACAA1,0.2253,-0.0836,0.569514,0.935477,0.5323,NS,Reversed (Aging Up / Training Down),FALSE
ADSS2,-0.2026,0.106,0.737629,0.917325,0.635318,NS,Reversed (Aging Down / Training Up),TRUE
ITIH4,0.2118,0.0968,0.804997,0.949045,0.9651,NS,Exacerbated Up,TRUE
SERPINB6,-0.2088,0.0992,0.551831,0.885192,0.452145,NS,Reversed (Aging Down / Training Up),FALSE
NIPSNAP1,-0.0832,-0.2246,0.980827,0.819484,0.964985,NS,Exacerbated Down,FALSE
DHX15,0.2095,-0.0977,0.655592,0.900588,0.533414,NS,Reversed (Aging Up / Training Down),TRUE
EIF5,-0.2831,0.024,0.319124,0.995013,0.491554,NS,Reversed (Aging Down / Training Up),FALSE
MRPL4,-0.1249,0.1817,0.966328,0.820201,0.823308,NS,Reversed (Aging Down / Training Up),TRUE
SPTB,-0.2207,-0.0854,0.670472,0.947195,0.930177,NS,Exacerbated Down,FALSE
LAMB2,-0.217,-0.089,0.861506,0.973829,0.971567,NS,Exacerbated Down,TRUE
COL4A2,-0.2616,-0.0435,0.819036,0.994763,0.924358,NS,Exacerbated Down,TRUE
DNAJB4,-0.2646,0.0405,0.785246,0.994611,0.823756,NS,Reversed (Aging Down / Training Up),TRUE
UBAC1,0.2084,0.0963,0.551743,0.891764,0.92777,NS,Exacerbated Up,FALSE
HNRNPU,-0.0798,-0.2248,0.95219,0.508877,0.899713,NS,Exacerbated Down,FALSE
COQ3,0.2345,-0.0698,0.485115,0.95077,0.494407,NS,Reversed (Aging Up / Training Down),FALSE
EIF3I,-0.1827,0.121,0.660621,0.81995,0.465234,NS,Reversed (Aging Down / Training Up),TRUE
TNMD,0.1344,-0.1692,0.89684,0.799433,0.675909,NS,Reversed (Aging Up / Training Down),TRUE
MYL2,-0.0845,0.219,0.982087,0.845849,0.847485,NS,Reversed (Aging Down / Training Up),FALSE
GHITM,-0.2209,0.0826,0.613955,0.941987,0.576585,NS,Reversed (Aging Down / Training Up),FALSE
RAB12,0.1735,-0.1298,0.759512,0.834155,0.561259,NS,Reversed (Aging Up / Training Down),TRUE
TOLLIP,-0.2365,-0.0662,0.461004,0.954427,0.830756,NS,Exacerbated Down,FALSE
RAD23B,0.2682,-0.0344,0.174757,0.983833,0.308893,NS,Reversed (Aging Up / Training Down),FALSE
EHD4,0.1769,0.1256,0.875643,0.870344,0.992739,NS,Exacerbated Up,TRUE
SCP2,-0.075,0.2269,0.964854,0.582122,0.628076,NS,Reversed (Aging Down / Training Up),TRUE
PPP2R5A,-0.2975,0.0044,0.576609,0.999903,0.72617,NS,Reversed (Aging Down / Training Up),TRUE
MAPK12,0.1399,-0.1614,0.852631,0.757337,0.588808,NS,Reversed (Aging Up / Training Down),TRUE
ADI1,-0.2371,0.0642,0.810763,0.982853,0.799683,NS,Reversed (Aging Down / Training Up),TRUE
