gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
NUTF2,-0.1087,0.7306,0.832812,0.732755,NS
SCCPDH,0.1042,0.7566,0.833948,0.720979,NS
IGHG2,0.1777,0.4428,0.834243,0.855788,NS
MYO1C,-0.1375,0.5707,0.834658,0.828381,NS
SEC31A,0.1209,0.6483,0.834857,0.772429,NS
RAB12,-0.1293,0.6043,0.835357,0.810298,NS
GSK3B,0.1046,0.7416,0.836471,0.726841,NS
NT5C3A,-0.1042,0.7425,0.836807,0.726841,NS
SEPTIN9,-0.1254,0.6138,0.837638,0.800115,NS
TOM1,-0.117,0.6548,0.838236,0.769548,NS
DES,0.2096,0.3652,0.838427,0.871828,NS
MYL2,0.2178,0.3508,0.838716,0.876387,NS
RPL29,0.1858,0.4095,0.839306,0.860227,NS
RHOA,-0.107,0.7104,0.839498,0.745204,NS
BBS4,-0.1566,0.4832,0.840131,0.839093,NS
TMX4,-0.1158,0.6521,0.840422,0.769548,NS
DCXR,-0.1383,0.5434,0.841057,0.832337,NS
SNX3,-0.0942,0.7934,0.841958,0.707966,NS
OSBPL1A,0.1076,0.6923,0.842419,0.745204,NS
PARK7,-0.0967,0.7688,0.842641,0.714002,NS
EIF4G2,-0.1204,0.6168,0.842885,0.79703,NS
JPT1,0.1527,0.4859,0.842952,0.839093,NS
FABP3,-0.1381,0.537,0.842985,0.832337,NS
PIN4,-0.1298,0.5714,0.843036,0.828168,NS
WARS1,-0.1073,0.6907,0.843086,0.745204,NS
P3H4,0.1866,0.3955,0.843684,0.866109,NS
SYNPO,-0.1513,0.4879,0.843717,0.839093,NS
HCFC2,-0.1932,0.3816,0.843916,0.871828,NS
SPATA20,0.2271,0.324,0.844168,0.88593,NS
AASDHPPT,-0.1429,0.5139,0.844388,0.832337,NS
NIF3L1,-0.1139,0.6443,0.844562,0.775155,NS
NPEPL1,0.1547,0.4739,0.844715,0.842605,NS
JAGN1,-0.1525,0.4789,0.845217,0.840335,NS
SNX5,-0.1843,0.3958,0.845388,0.866109,NS
TCP1,0.0979,0.7452,0.84541,0.726841,NS
PDHX,-0.0977,0.7437,0.846005,0.726841,NS
FSD2,0.131,0.5539,0.846167,0.832337,NS
PEA15,-0.1579,0.4594,0.846194,0.84663,NS
PGRMC2,-0.1381,0.5243,0.846478,0.832337,NS
OPTN,-0.1306,0.5534,0.846655,0.832337,NS
GNPDA1,-0.1108,0.6525,0.846709,0.769548,NS
FXR1,0.1549,0.4652,0.847147,0.844569,NS
EEF2,0.0827,0.8702,0.847272,0.676954,NS
IDH1,-0.0981,0.7314,0.847737,0.732755,NS
TFAM,-0.1379,0.5199,0.847769,0.832337,NS
COX7A2,0.1397,0.5128,0.847947,0.832337,NS
HSPA1A,-0.1095,0.6541,0.847974,0.769548,NS
DCTN5,-0.1371,0.5205,0.848471,0.832337,NS
UCHL3,0.105,0.6794,0.848521,0.753111,NS
MARCKS,0.135,0.5282,0.848597,0.832337,NS
FBLN2,0.1536,0.4613,0.849428,0.846383,NS
CNIH4,-0.1511,0.4687,0.849513,0.844384,NS
CCT7,0.0922,0.7681,0.84955,0.714002,NS
PRPSAP1,-0.1744,0.4036,0.850356,0.865115,NS
GLRX5,-0.1515,0.464,0.850595,0.844569,NS
PGM3,-0.1274,0.5508,0.850778,0.832337,NS
RPL38,0.1241,0.5643,0.851114,0.832337,NS
GCN1,0.1199,0.5829,0.851372,0.825788,NS
RPS9,0.1342,0.518,0.852097,0.832337,NS
EMC2,0.145,0.4792,0.852135,0.840335,NS
PCYOX1,-0.1229,0.5622,0.852868,0.832337,NS
PELO,0.143,0.483,0.852915,0.839093,NS
CLASP2,-0.1385,0.4972,0.853344,0.838756,NS
COX6A2,0.1738,0.3942,0.85404,0.866109,NS
CYB5A,-0.1365,0.5019,0.854101,0.838041,NS
TSFM,0.1395,0.4907,0.854207,0.839093,NS
PPP3R1,-0.1297,0.5269,0.854369,0.832337,NS
COX5B,0.1298,0.5264,0.854406,0.832337,NS
SULT1A1,-0.1644,0.4142,0.854889,0.860227,NS
DCPS,-0.1409,0.4827,0.855081,0.839093,NS
GOT1,-0.0979,0.6936,0.855307,0.745204,NS
TOMM22,0.165,0.4113,0.85532,0.860227,NS
CCDC47,0.1077,0.6301,0.85535,0.788934,NS
TKT,0.1411,0.4798,0.855642,0.840335,NS
TXLNB,-0.099,0.6796,0.856528,0.753111,NS
ZNF33A,-0.2386,0.2817,0.856594,0.899751,NS
UFL1,-0.1148,0.5827,0.857214,0.825788,NS
RDX,-0.1013,0.6603,0.857276,0.767496,NS
MCCC1,-0.1374,0.4864,0.857342,0.839093,NS
DHRS7C,-0.1317,0.5037,0.858394,0.838041,NS
WARS2,-0.1704,0.3865,0.859321,0.871367,NS
NFIC,-0.1288,0.5079,0.860146,0.836937,NS
ERAP1,0.14,0.467,0.860226,0.844569,NS
