gene,logFC_Y,logFC_O,sig_int,sig_Y,sig_O,quadrant,concordant
TRDN,0.0171935870101052,0.117072212443549,0,0,0,Q1,TRUE
ACACA,0.329096877557717,0.00248197301467101,0,0,0,Q1,TRUE
GPS1,0.0486964760577315,-0.0886235929111194,0,0,0,Q2,FALSE
MTAP,-0.298839404546349,-0.165349664539491,0,0,0,Q3,TRUE
PRKAA1,0.130480704787175,0.0107838793497379,0,0,0,Q1,TRUE
TARDBP,0.120450363743153,0.0241582311749795,0,0,0,Q1,TRUE
PAK1,0.551989599179699,0.0060228045354016,0,0,0,Q1,TRUE
AIMP2,0.152420195022852,-0.0309933285329791,0,0,0,Q2,FALSE
PRDX4,0.0744641007232865,0.154786592921447,0,0,0,Q1,TRUE
PAK2,0.18716455283154,0.0605311207607393,0,0,0,Q1,TRUE
CBX3,0.0484693683533557,0.057284480086226,0,0,0,Q1,TRUE
PSMD2,0.108581894086594,0.0656097023522406,0,0,0,Q1,TRUE
MYBPH,1.0138262571033,1.72067151117998,0,1,1,Q1,TRUE
SELENBP1,-0.164230919178376,-0.252178282521481,0,0,0,Q3,TRUE
TRIM28,0.0241383034077813,0.0435549543112828,0,0,0,Q1,TRUE
G3BP1,-0.128553597781593,0.266252275265632,0,0,0,Q4,FALSE
PABPC4,-0.00860354430658461,0.0320198986376674,0,0,0,Q4,FALSE
SGCG,-0.136299242036941,-0.173569369283342,0,0,0,Q3,TRUE
EIF3I,0.136457944235623,0.12144673989738,0,0,0,Q1,TRUE
CTBP1,-0.111361650606639,0.0463775211252369,0,0,0,Q4,FALSE
UBE2V1,-0.0633637289992954,-0.09595914014794,0,0,0,Q3,TRUE
DYNC1I2,0.379199185551268,0.0892306843101949,0,1,0,Q1,TRUE
ILK,0.0105533083144564,0.0031695282517461,0,0,0,Q1,TRUE
NNT,0.109119830181172,0.0691431038396964,0,0,0,Q1,TRUE
SNTA1,-0.106041011688355,0.0655142247552796,0,0,0,Q4,FALSE
SNTB2,-0.0450601359689671,-0.0695083599092321,0,0,0,Q3,TRUE
SF3B2,0.0504111771881632,0.0385869703978159,0,0,0,Q1,TRUE
PDAP1,0.0619270824251004,-0.0612818700232616,0,0,0,Q2,FALSE
TMED1,0.00189040191966328,0.0665034696316624,0,0,0,Q1,TRUE
FKBP5,-0.163682932354497,-0.174692477439784,0,0,0,Q3,TRUE
PICALM,0.350996666962455,-0.00276209253636317,0,0,0,Q2,FALSE
MTM1,-0.137287492329783,0.0460168675882286,0,0,0,Q4,FALSE
SQSTM1,-0.0478359338152465,0.117982941098468,0,0,0,Q4,FALSE
MTX1,-0.0551447829310163,0.0341120887819493,0,0,0,Q4,FALSE
ART3,-0.764224800670412,-0.431401053362311,0,-1,0,Q3,TRUE
ASAH1,-0.137048302906251,-0.0831180372622491,0,0,0,Q3,TRUE
PIN1,0.00806768472088493,0.0448769298967022,0,0,0,Q1,TRUE
CAMK2B,0.0657491143320357,0.217553029388853,0,0,0,Q1,TRUE
CAMK2G,-7.217728248392e-4,-0.0214990056226227,0,0,0,Q3,TRUE
CAMK2D,0.428879935786426,0.542777573122137,0,0,1,Q1,TRUE
DCTN2,0.237195444789766,0.106790552157033,0,0,0,Q1,TRUE
NAE1,-0.27613820447737,-0.324470098311604,0,0,0,Q3,TRUE
STIM1,0.0933069411098693,0.0191198362178007,0,0,0,Q1,TRUE
CUL1,0.0774483188696635,-0.0628597579189041,0,0,0,Q2,FALSE
CUL2,0.128761934744865,0.00675301339391865,0,0,0,Q1,TRUE
CUL3,0.128944201143668,-0.0477947755771133,0,0,0,Q2,FALSE
CUL4A,-0.0179228359699621,-0.0765991611492325,0,0,0,Q3,TRUE
FHL1,0.176447121310332,0.134844317272869,0,0,0,Q1,TRUE
FHL3,-0.146978424510138,-0.204147816777578,0,0,0,Q3,TRUE
ITGA7,-0.119022810880509,-0.184330565282398,0,0,0,Q3,TRUE
AAMP,0.213998455201079,0.240863091913589,0,0,0,Q1,TRUE
CACNA1S,-0.0822674346702392,-0.172097612546843,0,0,0,Q3,TRUE
MOGS,-0.284294023632949,-0.104398710261908,0,0,0,Q3,TRUE
SPTAN1,0.240993326615573,0.102207012581573,0,0,0,Q1,TRUE
AUH,-0.0138134802280447,0.022595870836259,0,0,0,Q4,FALSE
DDX39B,-0.172444045774888,-0.0413581097014095,0,0,0,Q3,TRUE
BLMH,-0.375854619380011,-0.100945328637252,0,0,0,Q3,TRUE
SNTB1,-0.157437464823101,-0.0227450040052268,0,0,0,Q3,TRUE
TUBB2A,0.30393408435469,0.121551241603566,0,0,0,Q1,TRUE
IDI1,-0.0988757854935045,-0.341695573849893,0,0,0,Q3,TRUE
PRKG1,-0.049824826420604,-0.284937867287727,0,0,0,Q3,TRUE
COX17,-0.0651803320939273,-0.052484583609715,0,0,0,Q3,TRUE
HNRNPD,-0.111577198009112,-0.0512675621518746,0,0,0,Q3,TRUE
SCARB2,0.296700860274402,-0.180119540282181,0,0,0,Q2,FALSE
NID2,-0.500556216510834,-0.0311810918943074,0,0,0,Q3,TRUE
IL18,0.493720385369173,0.0735981591711266,0,0,0,Q1,TRUE
DAG1,-0.11822999807023,-0.120165829573367,0,0,0,Q3,TRUE
EIF3A,-0.12492895864829,0.0618401831642537,0,0,0,Q4,FALSE
UBAP2L,-0.0705837678126713,0.447769919043182,0,0,0,Q4,FALSE
MLEC,-0.0888228774885853,-0.00829116121483509,0,0,0,Q3,TRUE
DPYSL3,-0.0776223928612225,-0.162671364267222,0,0,0,Q3,TRUE
DCTN1,0.289669373701699,0.0830959052680775,0,0,0,Q1,TRUE
DYNC1H1,0.444924023060285,0.119374311552196,0,1,0,Q1,TRUE
EIF2B1,0.281318987301919,0.077326518881101,0,0,0,Q1,TRUE
EIF4A2,-0.0318583750360482,0.143112373361255,0,0,0,Q4,FALSE
CTTN,0.370652754402832,0.401443240833437,0,0,0,Q1,TRUE
ENDOG,0.0989324411190218,0.0121931445958623,0,0,0,Q1,TRUE
FLOT2,-0.0382672105512363,0.191975847236542,0,0,0,Q4,FALSE
TRIM25,-0.169782979503896,-0.0738244555769967,0,0,0,Q3,TRUE
FLNC,0.52816516382104,0.212225012814237,0,1,0,Q1,TRUE
MYBPC2,-0.324687172551847,0.111046037531171,0,0,0,Q4,FALSE
GAMT,-0.124373602644937,-0.101429654152287,0,0,0,Q3,TRUE
CAPRIN1,-0.566126514181883,0.279513531004667,1,0,0,Q4,FALSE
PRPSAP1,0.0482150653982263,-0.174410581037337,0,0,0,Q2,FALSE
ITIH4,-0.0705163020169728,0.0965066123709057,0,0,0,Q4,FALSE
CLINT1,-0.0775253747616524,-0.00907444827374349,0,0,0,Q3,TRUE
GANAB,0.21460624140871,-0.0410323274018296,0,0,0,Q2,FALSE
SSPN,-0.108557144251819,-0.314229188912599,0,0,0,Q3,TRUE
MVP,0.202329203800296,0.433856829423419,0,0,0,Q1,TRUE
LTBP3,0.0313306759974488,-0.0780447535274504,0,0,0,Q2,FALSE
LASP1,-0.268720916266911,0.143445303420311,0,0,0,Q4,FALSE
PTGR1,0.196746100386349,0.273417489333465,0,0,0,Q1,TRUE
KPNB1,0.248359368203801,0.0103656973712702,0,0,0,Q1,TRUE
NUMA1,-0.0798062951410294,-0.00141064952827819,0,0,0,Q3,TRUE
PSME4,0.419303117763546,0.0832294451330924,0,0,0,Q1,TRUE
SLMAP,0.290082706096275,0.044126183163673,0,0,0,Q1,TRUE
EMC2,0.0449769829458866,0.145007341163652,0,0,0,Q1,TRUE
PSMD6,0.085627739922149,-0.0632374600932302,0,0,0,Q2,FALSE
ABRAXAS2,0.0398141266113008,-0.0158389602218172,0,0,0,Q2,FALSE
SEPTIN2,0.0740023562073482,-0.0402713712397009,0,0,0,Q2,FALSE
KARS1,-0.0155626052065649,-0.104212783700422,0,0,0,Q3,TRUE
EIF4H,-0.26264605814242997,-0.191975536569672,0,0,0,Q3,TRUE
EEA1,0.282673671693352,0.0354328422907706,0,0,0,Q1,TRUE
PDIA6,-0.0932425596959199,0.0476975957615835,0,0,0,Q4,FALSE
PAFAH1B3,0.0294828968867158,-0.0221200508323243,0,0,0,Q2,FALSE
PLCL1,-0.0234167212297596,0.100921302815239,0,0,0,Q4,FALSE
PDK1,-0.138504708928959,-0.0624364602646672,0,0,0,Q3,TRUE
PDK2,-0.24735236242741,-0.07733972847711,0,0,0,Q3,TRUE
PEA15,-0.384054451808648,-0.157865614419247,0,0,0,Q3,TRUE
PGM5,-0.277574323742815,-0.0733131110428182,0,0,0,Q3,TRUE
PLEC,0.231715079705932,-0.15877899083301,0,0,0,Q2,FALSE
PPP2R5A,-0.271495893238718,0.00448944269131957,0,0,0,Q4,FALSE
PPA1,0.067437760709737,-0.0428844950307727,0,0,0,Q2,FALSE
PTGES3,-0.128599581827384,-0.0678641459639202,0,0,0,Q3,TRUE
STK38,-0.282904523067899,-0.110379884677833,0,0,0,Q3,TRUE
NONO,-0.11987796801084,0.0321192332504836,0,0,0,Q4,FALSE
PTPA,-0.186120008123222,-0.0296030663667359,0,0,0,Q3,TRUE
RAB35,0.0573981259750287,0.250876669393664,0,0,0,Q1,TRUE
TMED2,-0.0243843814549756,0.0160623941963038,0,0,0,Q4,FALSE
PCBP1,-0.048353846461264303,0.0408522469187886,0,0,0,Q4,FALSE
PCBP2,-0.0190373825748971,0.072870149999801,0,0,0,Q4,FALSE
ELOC,-0.0367681397453907,0.0482231391460992,0,0,0,Q4,FALSE
ELOB,-0.045668586584398,0.0579658698791334,0,0,0,Q4,FALSE
UBE3C,0.652573154938111,-0.0657417247660277,0,0,0,Q2,FALSE
DHCR24,-0.577054623845513,0.222168171451841,0,0,0,Q4,FALSE
RSU1,-0.117524752310839,-0.080389650093835,0,0,0,Q3,TRUE
PPP1R7,-0.0328461172536407,-0.203339147370823,0,0,0,Q3,TRUE
SEC23A,0.21866289841179,0.0770055269739736,0,0,0,Q1,TRUE
MAPRE2,-0.0406517831071511,-0.0850770050324385,0,0,0,Q3,TRUE
TGFBI,-0.722045949998796,-0.450098962526644,0,0,0,Q3,TRUE
TSN,-0.273398262751336,-0.272082721471367,0,0,0,Q3,TRUE
SF1,-0.312657134973676,0.051072778961645,0,0,0,Q4,FALSE
TRIP10,0.11532086405176,-0.0624181475047401,0,0,0,Q2,FALSE
MAPRE1,0.0917460343910257,0.14196187321345,0,0,0,Q1,TRUE
TSC22D1,0.0405657215252209,-0.271244819806412,0,0,0,Q2,FALSE
ELAVL1,-0.183722521405191,0.00388876978957242,0,0,0,Q4,FALSE
MYLK,-0.728942037287865,-0.739389088270382,0,-1,-1,Q3,TRUE
SPEG,0.0597726342136724,-0.0995387202487414,0,0,0,Q2,FALSE
TBCE,0.149560954060021,-0.0717108262671111,0,0,0,Q2,FALSE
UBE2V2,-0.192190773582428,-0.163606095947845,0,0,0,Q3,TRUE
NEDD8,-0.0140511117019742,0.0523844097474679,0,0,0,Q4,FALSE
ADIPOQ,0.148665326277204,-0.130161719901221,0,0,0,Q2,FALSE
RAB11B,0.0129871057905966,0.0292631768895149,0,0,0,Q1,TRUE
ZYX,0.0885861221981195,0.0935394943685708,0,0,0,Q1,TRUE
HSPB2,0.32421669164555,0.262094954964969,0,0,0,Q1,TRUE
ETFDH,0.045295856029238,-0.0206955107428932,0,0,0,Q2,FALSE
SEPTIN7,0.2203904837585,0.106154157185635,0,0,0,Q1,TRUE
ADRM1,-0.0236778657130579,-0.11343806650525,0,0,0,Q3,TRUE
DDB1,0.15413476417417,0.0254763042328179,0,0,0,Q1,TRUE
CDC37,-0.0362366340765057,-0.0114698094813441,0,0,0,Q3,TRUE
DPYSL2,0.0557470954752546,0.036371442688754,0,0,0,Q1,TRUE
SYPL1,-0.380790754290988,-0.0636699363145787,0,0,0,Q3,TRUE
RBBP7,-0.214203092755845,0.105100546089364,0,0,0,Q4,FALSE
SGCB,-0.109643931171885,-0.149842032018153,0,0,0,Q3,TRUE
SGCA,-0.112903958783075,-0.125377406571751,0,0,0,Q3,TRUE
FXN,-0.132174642862122,-0.145854006316632,0,0,0,Q3,TRUE
FSCN1,0.709037209239508,0.648474334959865,0,1,1,Q1,TRUE
DECR1,0.0582149540382666,0.0722160057558661,0,0,0,Q1,TRUE
NDUFA5,-0.356280012311217,-0.0349474344641436,0,0,0,Q3,TRUE
CLPP,0.13262217772985,-0.0323478276864684,0,0,0,Q2,FALSE
TST,-0.0592599165007535,-0.173120626822801,0,0,0,Q3,TRUE
KYAT1,-0.451478356243356,-0.32660192970615,0,0,0,Q3,TRUE
GUK1,-0.231435795722522,-0.00325945426157226,0,0,0,Q3,TRUE
HAGH,-0.213641861070631,-0.182843086447786,0,0,0,Q3,TRUE
NDUFA9,-0.373908034941202,-0.0386272414431232,0,0,0,Q3,TRUE
PHKG1,0.179674582315211,0.160684997421171,0,0,0,Q1,TRUE
PPP1R3A,0.0655047314663406,0.180739578346987,0,0,0,Q1,TRUE
HADH,-0.168259503588867,-0.113329998640229,0,0,0,Q3,TRUE
UGP2,0.14141221884195,0.0416168585635894,0,0,0,Q1,TRUE
TXNRD1,-0.060323954358708,-0.148313917199857,0,0,0,Q3,TRUE
IMMT,-0.156418637154133,-0.0466802961393604,0,0,0,Q3,TRUE
IAH1,0.0509480893498164,-0.0239595677381494,0,0,0,Q2,FALSE
KLHL40,0.404339216945765,0.336158789928561,0,0,0,Q1,TRUE
TKFC,-0.0391340632778778,-0.0874200746677225,0,0,0,Q3,TRUE
TIMM50,0.0726139987494498,0.00573980663092044,0,0,0,Q1,TRUE
NADK2,0.185777694893066,-0.100305449097629,0,0,0,Q2,FALSE
FAM98B,-0.202251676606426,-0.00299550055455811,0,0,0,Q3,TRUE
HIKESHI,0.0234486626833323,0.0972254437326967,0,0,0,Q1,TRUE
