gene,pathway,database,classification,logFC_Aging,logFC_Training_Old,pathway_pvalue
PRDX6,Gene Expression,GO_Slim,Rev. (Age Up),0.3626,-0.1776,0.2865
ANXA3,Immune & Inflammation,GO_Slim,Rev. (Age Up),0.1996,-0.5736,0.7558
MAPK13,Immune & Inflammation,GO_Slim,Rev. (Age Up),0.6965,-0.2492,0.7558
UBE2K,Immune & Inflammation,GO_Slim,Rev. (Age Up),0.3462,-0.1826,0.7558
ABHD16A,Metabolism,GO_Slim,Rev. (Age Up),0.5817,-0.4649,0.1703
ACADS,Metabolism,GO_Slim,Rev. (Age Up),0.4996,-0.3399,0.1703
ACAT1,Metabolism,GO_Slim,Rev. (Age Up),0.4338,-0.1129,0.1703
ADH1B,Metabolism,GO_Slim,Rev. (Age Up),0.5344,-0.6939,0.1703
ALDH5A1,Metabolism,GO_Slim,Rev. (Age Up),0.5399,-0.075,0.1703
ALDH6A1,Metabolism,GO_Slim,Rev. (Age Up),0.7769,-0.5217,0.1703
ASS1,Metabolism,GO_Slim,Rev. (Age Up),0.4345,-0.6463,0.1703
COQ5,Metabolism,GO_Slim,Rev. (Age Up),0.6059,-0.072,0.1703
COQ7,Metabolism,GO_Slim,Rev. (Age Up),0.37,-0.1246,0.1703
DCXR,Metabolism,GO_Slim,Rev. (Age Up),0.71,-0.1383,0.1703
ETFA,Metabolism,GO_Slim,Rev. (Age Up),0.479,-0.1005,0.1703
FBN1,Metabolism,GO_Slim,Rev. (Age Up),0.5843,-0.3809,0.1703
GALK1,Metabolism,GO_Slim,Rev. (Age Up),0.5164,-0.1872,0.1703
GPD1L,Metabolism,GO_Slim,Rev. (Age Up),0.3457,-0.1446,0.1703
GPT2,Metabolism,GO_Slim,Rev. (Age Up),1.683,-0.592,0.1703
GPX3,Metabolism,GO_Slim,Rev. (Age Up),0.3691,-0.4114,0.1703
GSTO1,Metabolism,GO_Slim,Rev. (Age Up),0.3674,-0.2644,0.1703
