pathway,pval,padj,NES,size,leadingEdge,database,ES,log2err,contrast
GOBP_TRICARBOXYLIC_ACID_CYCLE,0.0010836205480519905,0.026661262393182634,1.8945932435858774,25,IDH2;ACO2;FH;SDHA;MDH1;CS;SUCLA2;SDHB;NNT;SUCLG1;MDH2;IDH3B;IDH3G;ACO1;SDHD,GO:BP,0.5714021313383009,0.45505986738722953,Aging
GOBP_FATTY_ACID_TRANSPORT,0.0013423999056812019,0.03141915354049492,1.9291679492254306,20,PLIN2;CPT2;FABP4;SLC27A1;FABP3;ACSL1;SLC25A20;CPT1B;GOT2;FABP5,GO:BP,0.6162804053939626,0.45505986738722953,Aging
GOBP_MITOCHONDRIAL_TRANSMEMBRANE_TRANSPORT,0.0013443020917823696,0.03141915354049492,1.8154626397521685,40,CPT2;TST;MICU1;SFXN1;VDAC1;TIMM44;CHCHD4;GRPEL1;PMPCB;LETM1;TIMM50;HSPD1;SLC25A20;CPT1B;MCU;AFG3L2;PNPT1;TOMM70;SAMM50,GO:BP,0.48768687853668546,0.45505986738722953,Aging
GOBP_ACTIN_FILAMENT_ORGANIZATION,0.0014419858135891793,0.03192785252649654,-1.6763819080849331,97,PLEC;SYNPO2L;TTN;NEB;LMOD2;SYNPO2;PREX1;TPM1;ACTN1;NRAP;ACTN2;CAPZA1;FLNA;CAPZA2;TPM2;TMOD4;XIRP1;CAPZB;EZR;CORO6;SVIL;TCAP;WDR1;TPM3;ACTA1;MYO6;SYNPO;TMOD1;LMOD3,GO:BP,-0.3794354612379633,0.45505986738722953,Aging
GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION,0.0014151607425684925,0.03192785252649654,-1.9038649922832844,30,EIF3C;EIF3G;EIF2B1;EIF3M;EIF2S3;EIF5;EIF3D;EIF4A1;EIF3A;EIF3K;EIF3J;EIF3I;RPL13A;AKT2;EIF3L;EIF3B;DENR;EIF3H;EIF2S2;SH3BGRL,GO:BP,-0.5490345762219561,0.45505986738722953,Aging
GOBP_RESPONSE_TO_INSULIN,0.001461374344496359,0.03192785252649654,1.8126927842228966,59,HADHA;CTSD;LONP1;APPL1;HADH;PRKDC;NCL;ADIPOQ;PTPN11;SLC27A1;PLN;FABP3;GSK3A;YWHAG;NUCKS1;ECHDC3;MYO1C;GSTP1;BLVRB;GRB2;CUL3;PAK1;GOT1;USO1,GO:BP,0.4473950587209223,0.45505986738722953,Aging
GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION,0.0015406074251370057,0.03294277579282321,-1.7812975610406387,62,RPL24;EIF3C;RPL38;CELF1;SNRPD3;EIF3G;RPS19;RPS27;RPS5;VCP;EIF3M;EIF2S3;RPS15;EIF5;EIF3D;RPS14;RPL5;DDX39B;EIF3A;EIF3K;EIF3J;EIF3I;RPL11;PUF60;RPL13A;EIF3L;EIF3B,GO:BP,-0.4377100864886801,0.45505986738722953,Aging
GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS,0.0017754365963790553,0.03717320373668647,1.9107951876125593,23,SOD2;DDAH2;DYNLL1;CLU;CYB5R3;THAP4;KHSRP;SPR;HBB;ASS1;APOE;CD36,GO:BP,0.5886301218405152,0.45505986738722953,Aging
GOBP_IMPORT_INTO_THE_MITOCHONDRION,0.0018793525714437497,0.03776762943357071,1.901781815230748,20,TST;MICU1;SFXN1;VDAC1;TIMM44;GRPEL1;TIMM50;MCU;AFG3L2;PNPT1;TOMM70;SAMM50,GO:BP,0.6075317955245145,0.45505986738722953,Aging
GOBP_RESPONSE_TO_PEPTIDE_HORMONE,0.0019165662697632898,0.03776762943357071,1.650532487937174,89,HADHA;CTSD;LONP1;APPL1;HADH;PRKDC;NCL;CA2;ADIPOQ;PTPN11;SLC27A1;PLN;FABP3;GSK3A;YWHAG;FBN1;NUCKS1;STAT5B;ECHDC3;MYO1C;PXN;AGT;CFL1;GSTP1;BLVRB;GRB2;CUL3;PAK1;GOT1;PNPT1;ASS1;CACYBP;USO1;PRKAR1A;CYC1;PRKACA,GO:BP,0.3771226317942785,0.45505986738722953,Aging
