gene,logFC_Aging,logFC_Training_Old,pi_score_Aging,pi_score_Training_Old,pi_score_Reversal,significance,quadrant,imputed
H3-3A,-0.5237,-0.0448,0.31951,0.993983,0.60871,NS,Exacerbated Down,FALSE
DCD,-0.5343,0.034,0.183571,0.995603,0.360156,NS,Reversed (Aging Down / Training Up),FALSE
CILP,-0.324,0.2433,0.662926,0.624531,0.333471,NS,Reversed (Aging Down / Training Up),TRUE
KCTD12,-0.3821,0.1828,0.672953,0.768519,0.431149,NS,Reversed (Aging Down / Training Up),TRUE
CPA3,0.2549,-0.3087,0.759162,0.501186,0.328753,NS,Reversed (Aging Up / Training Down),TRUE
CALU,-0.2551,0.3069,0.442359,0.19559000000000001,0.050213,NS,Reversed (Aging Down / Training Up),FALSE
RPL28,-0.4285,0.1323,0.193067,0.886128,0.195918,NS,Reversed (Aging Down / Training Up),FALSE
CHCHD4,0.4358,0.1247,0.202171,0.873395,0.644657,NS,Exacerbated Up,TRUE
LAMTOR2,0.5453,0.0146,0.32315,0.99862,0.410719,NS,Exacerbated Up,TRUE
RNPEP,0.3358,-0.223,0.203853,0.490409,0.056224,NS,Reversed (Aging Up / Training Down),FALSE
SMPX,-0.2654,0.2927,0.535493,0.370792,0.13371,NS,Reversed (Aging Down / Training Up),FALSE
PTGR1,-0.2842,0.2734,0.698576,0.651039,0.372304,NS,Reversed (Aging Down / Training Up),TRUE
RPS25,-0.3462,0.2112,0.191462,0.549182,0.063889,NS,Reversed (Aging Down / Training Up),FALSE
SNAP29,0.4418,-0.1142,0.285992,0.877891,0.20972,NS,Reversed (Aging Up / Training Down),TRUE
TRAPPC3,0.5526,0.0034,0.142179,0.999932,0.289306,NS,Exacerbated Up,TRUE
PSME2,-0.2689,0.2853,0.588511,0.417823,0.174736,NS,Reversed (Aging Down / Training Up),TRUE
PTER,0.5124,0.041,0.562286,0.992538,0.66137,NS,Exacerbated Up,TRUE
RPL3,-0.3717,-0.1814,0.554787,0.872819,0.929725,NS,Exacerbated Down,TRUE
BCO2,0.1691,-0.3837,0.930665,0.431058,0.506673,NS,Reversed (Aging Up / Training Down),TRUE
MYH8,-0.54,0.0124,0.364964,0.999607,0.561727,NS,Reversed (Aging Down / Training Up),TRUE
G3BP1,-0.2849,0.2663,0.647745,0.586445,0.299753,NS,Reversed (Aging Down / Training Up),TRUE
ANKRD2,-0.223,0.3279,0.794081,0.495063,0.351165,NS,Reversed (Aging Down / Training Up),FALSE
ACADSB,0.4461,-0.1048,0.128303,0.922683,0.16883600000000001,NS,Reversed (Aging Up / Training Down),TRUE
RPL5,-0.4109,0.1392,0.286029,0.888981,0.267314,NS,Reversed (Aging Down / Training Up),FALSE
UBE2I,0.3254,-0.2245,0.408316,0.638507,0.186706,NS,Reversed (Aging Up / Training Down),TRUE
PPTC7,0.4786,0.0695,0.219699,0.972646,0.531874,NS,Exacerbated Up,TRUE
NFU1,0.1993,-0.3487,0.798677,0.147753,0.172569,NS,Reversed (Aging Up / Training Down),TRUE
CRYAB,-0.1863,0.3614,0.779039,0.209278,0.168249,NS,Reversed (Aging Down / Training Up),FALSE
CPT1A,-0.3282,-0.2194,0.512294,0.700278,0.96748,NS,Exacerbated Down,TRUE
HUWE1,0.3321,0.2153,0.365795,0.649541,0.951693,NS,Exacerbated Up,FALSE
SLC2A4,0.1418,0.4044,0.926961,0.22177,0.822066,NS,Exacerbated Up,TRUE
SMTN,-0.4564,0.0897,0.07662,0.93434,0.121111,NS,Reversed (Aging Down / Training Up),TRUE
GSTZ1,-0.2798,-0.2655,0.628325,0.617082,0.999505,NS,Exacerbated Down,TRUE
CFB,0.509,0.0355,0.100635,0.99315,0.359833,NS,Exacerbated Up,TRUE
ACSF2,0.3626,-0.1812,0.219049,0.711197,0.121019,NS,Reversed (Aging Up / Training Down),FALSE
TPPP,0.132,-0.4113,0.947192,0.145716,0.358498,NS,Reversed (Aging Up / Training Down),TRUE
HSPB8,-0.5076,0.0347,0.088955,0.993557,0.243138,NS,Reversed (Aging Down / Training Up),TRUE
RPL36,-0.4016,0.1396,0.315537,0.890494,0.290132,NS,Reversed (Aging Down / Training Up),FALSE
TACC2,0.3402,-0.2007,0.257478,0.625441,0.106159,NS,Reversed (Aging Up / Training Down),TRUE
OSBPL11,-0.3611,0.1787,0.491347,0.774485,0.287533,NS,Reversed (Aging Down / Training Up),TRUE
HLA-A,0.4128,0.1268,0.199649,0.889891,0.707661,NS,Exacerbated Up,FALSE
GARS1,0.3685,-0.1708,0.16155,0.70295,0.086332,NS,Reversed (Aging Up / Training Down),TRUE
CD81,-0.3832,-0.1561,0.454665,0.87766,0.867999,NS,Exacerbated Down,TRUE
SNCG,0.1579,0.3812,0.959213,0.341103,0.926051,NS,Exacerbated Up,TRUE
GPT,0.3158,-0.2232,0.380289,0.599439,0.155785,NS,Reversed (Aging Up / Training Down),FALSE
ASAH1,0.4549,-0.0831,0.062232,0.941904,0.113519,NS,Reversed (Aging Up / Training Down),TRUE
UBE3C,0.4723,-0.0657,0.351558,0.973176,0.341122,NS,Reversed (Aging Up / Training Down),TRUE
PAK1,0.5315,0.006,0.403787,0.999861,0.534735,NS,Exacerbated Up,TRUE
TOMM22,-0.3723,0.165,0.41806,0.85532,0.329702,NS,Reversed (Aging Down / Training Up),FALSE
ALDOC,-0.321,0.216,0.818163,0.90251,0.696148,NS,Reversed (Aging Down / Training Up),TRUE
DYNLL1,0.3991,-0.1378,0.064065,0.780395,0.05323,NS,Reversed (Aging Up / Training Down),TRUE
TUBA4A,-0.3708,0.1649,0.113913,0.698672,0.064286,NS,Reversed (Aging Down / Training Up),FALSE
PPME1,-0.3741,0.1616,0.557335,0.868284,0.428262,NS,Reversed (Aging Down / Training Up),TRUE
GSK3A,0.3436,-0.1911,0.325077,0.663799,0.145947,NS,Reversed (Aging Up / Training Down),TRUE
PDE4DIP,-0.2915,0.2421,0.698501,0.752657,0.44752,NS,Reversed (Aging Down / Training Up),TRUE
TIAL1,0.4179,0.115,0.117256,0.869711,0.572733,NS,Exacerbated Up,TRUE
RPL31,-0.4161,0.1167,0.118954,0.886885,0.137328,NS,Reversed (Aging Down / Training Up),FALSE
JPT1,-0.3786,0.1527,0.311447,0.842952,0.238099,NS,Reversed (Aging Down / Training Up),TRUE
RPS12,-0.2455,0.2856,0.483729,0.264318,0.079162,NS,Reversed (Aging Down / Training Up),FALSE
ATP6V1H,-0.4285,-0.1026,0.123822,0.9069,0.537613,NS,Exacerbated Down,TRUE
NID1,-0.4149,0.1157,0.481336,0.949635,0.481748,NS,Reversed (Aging Down / Training Up),TRUE
FAM136A,-0.3963,0.132,0.360915,0.898057,0.299201,NS,Reversed (Aging Down / Training Up),TRUE
CYB5A,0.3914,-0.1365,0.2469,0.854101,0.195264,NS,Reversed (Aging Up / Training Down),TRUE
CTTN,0.1261,0.4014,0.960972,0.352965,0.859327,NS,Exacerbated Up,TRUE
APOL2,-0.2883,0.239,0.574261,0.607385,0.260386,NS,Reversed (Aging Down / Training Up),TRUE
CPT1B,0.2895,-0.2376,0.381088,0.478302,0.112387,NS,Reversed (Aging Up / Training Down),FALSE
MRPS18A,-0.2111,0.3151,0.828209,0.498984,0.387599,NS,Reversed (Aging Down / Training Up),TRUE
GLRX3,-0.3096,0.2165,0.290063,0.530884,0.094459,NS,Reversed (Aging Down / Training Up),FALSE
ACAA2,0.3823,-0.1437,0.078547,0.758575,0.05864,NS,Reversed (Aging Up / Training Down),FALSE
ELMOD2,-0.4226,-0.103,0.623837,0.934037,0.806073,NS,Exacerbated Down,TRUE
