gene,logFC_Training_Young,logFC_Training_Old,pi_score_Young,pi_score_Old,pi_score_Interaction,significance,quadrant,imputed
RNPEP,-0.2686,-0.2226,0.311372,0.495004,0.98752,NS,Concordant Down,FALSE
IGHM,0.3039,0.1872,0.619654,0.859777,0.964416,NS,Concordant Up,FALSE
SYNPO2L,-0.4024,0.0884,0.486358,0.97563,0.485042,NS,Discordant (Young Down / Old Up),TRUE
HHATL,-0.3266,-0.164,0.314564,0.810297,0.874836,NS,Concordant Down,FALSE
ERMP1,-0.4198,-0.0694,0.748032,0.980609,0.834238,NS,Concordant Down,TRUE
CSRP1,0.0643,0.4246,0.980891,0.244393,0.558568,NS,Concordant Up,FALSE
PPID,-0.279,-0.2094,0.740539,0.811027,0.988886,NS,Concordant Down,TRUE
TIMM8A,-0.4025,0.0847,0.392523,0.966408,0.357794,NS,Discordant (Young Down / Old Up),TRUE
TNNC2,-0.2267,0.2592,0.80433,0.750207,0.449361,NS,Discordant (Young Down / Old Up),FALSE
USP24,0.2354,-0.2504,0.681724,0.460991,0.182863,NS,Discordant (Young Up / Old Down),TRUE
ELMOD2,-0.3822,-0.1033,0.670276,0.933982,0.835106,NS,Concordant Down,TRUE
APMAP,0.3365,0.1487,0.232169,0.753576,0.775718,NS,Concordant Up,TRUE
AP2A1,0.2804,0.2048,0.428046,0.580066,0.9703,NS,Concordant Up,TRUE
NDUFV3,-0.3518,0.1332,0.341853,0.900923,0.246539,NS,Discordant (Young Down / Old Up),FALSE
RBKS,-0.203,-0.282,0.681928,0.431812,0.971436,NS,Concordant Down,TRUE
PFKFB1,-0.127,0.3577,0.936337,0.282658,0.323076,NS,Discordant (Young Down / Old Up),TRUE
NUBPL,-0.2864,0.1973,0.692829,0.732398,0.356143,NS,Discordant (Young Down / Old Up),TRUE
DCTN3,-0.1962,0.287,0.819784,0.442362,0.276983,NS,Discordant (Young Down / Old Up),TRUE
UBE2F,0.2243,-0.2587,0.820328,0.609925,0.392322,NS,Discordant (Young Up / Old Down),TRUE
PYURF,-0.344,0.1387,0.533166,0.911607,0.385432,NS,Discordant (Young Down / Old Up),TRUE
CORO6,0.3105,0.1708,0.544706,0.875102,0.942267,NS,Concordant Up,TRUE
LRRC20,-0.3335,-0.1467,0.079576,0.732304,0.706881,NS,Concordant Down,FALSE
MT-ND5,-0.2435,0.2358,0.732363,0.755671,0.38639,NS,Discordant (Young Down / Old Up),FALSE
MAP1LC3B2,-0.444,0.0334,0.361726,0.991856,0.346523,NS,Discordant (Young Down / Old Up),TRUE
SCARB2,0.2967,-0.1806,0.320437,0.671752,0.088576,NS,Discordant (Young Up / Old Down),TRUE
DBNL,0.4588,0.0178,0.362486,0.998281,0.464036,NS,Concordant Up,TRUE
ASPSCR1,-0.2708,-0.2054,0.497185,0.598253,0.979371,NS,Concordant Down,TRUE
TIGAR,0.2257,-0.2499,0.84462,0.713915,0.486981,NS,Discordant (Young Up / Old Down),TRUE
LANCL2,-0.3003,-0.1744,0.234805,0.654915,0.891003,NS,Concordant Down,TRUE
TCEA3,-0.3782,0.0957,0.421454,0.9224,0.286433,NS,Discordant (Young Down / Old Up),TRUE
CUTA,-0.1825,-0.2911,0.749513,0.42005,0.945486,NS,Concordant Down,FALSE
RPL10,0.1193,0.3542,0.902866,0.262993,0.737219,NS,Concordant Up,FALSE
NIPSNAP1,-0.2487,-0.2246,0.771772,0.819484,0.998755,NS,Concordant Down,FALSE
MYH11,-0.0185,0.4532,0.999077,0.36723,0.525193,NS,Discordant (Young Down / Old Up),TRUE
NME2,0.2733,0.1971,0.163597,0.466896,0.950674,NS,Concordant Up,FALSE
MRRF,-0.4679,-0.0025,0.109095,0.999964,0.214925,NS,Concordant Down,TRUE
DENND5A,-0.2942,-0.1757,0.485718,0.752713,0.938289,NS,Concordant Down,TRUE
TUFM,0.2248,0.245,0.341827,0.275496,0.997053,NS,Concordant Up,FALSE
MICOS10,-0.308,0.1615,0.525422,0.869387,0.339219,NS,Discordant (Young Down / Old Up),TRUE
UBQLN1,-0.1692,-0.2998,0.892446,0.531185,0.951403,NS,Concordant Down,TRUE
PPIB,0.1679,0.3002,0.760544,0.325632,0.90527,NS,Concordant Up,TRUE
KIF5B,0.2538,0.2132,0.27216,0.445522,0.988486,NS,Concordant Up,FALSE
CPT1B,-0.229,-0.2378,0.519143,0.499168,0.999634,NS,Concordant Down,FALSE
PTGR2,-0.3215,-0.1446,0.194823,0.802108,0.798276,NS,Concordant Down,FALSE
NT5C1A,0.2041,0.2614,0.766021,0.628823,0.989252,NS,Concordant Up,FALSE
MT-ND1,-0.4476,0.0177,0.057971,0.998121,0.163443,NS,Discordant (Young Down / Old Up),FALSE
RPS15,-0.0912,0.374,0.925385,0.100738,0.092256,NS,Discordant (Young Down / Old Up),FALSE
ACSS2,-0.2972,-0.1664,0.172486,0.629821,0.859513,NS,Concordant Down,TRUE
MRPL53,-0.3491,0.1137,0.486904,0.925028,0.355301,NS,Discordant (Young Down / Old Up),TRUE
DHRS4,0.1132,0.349,0.940904,0.215598,0.775153,NS,Concordant Up,TRUE
NDUFS2,-0.3428,0.1193,0.21785,0.891135,0.153296,NS,Discordant (Young Down / Old Up),FALSE
MAPK12,-0.2998,-0.1614,0.282846,0.757337,0.885339,NS,Concordant Down,TRUE
ACTR2,0.2803,0.1788,0.14733,0.553356,0.908559,NS,Concordant Up,FALSE
IDI1,-0.1172,-0.3416,0.894805,0.225849,0.726538,NS,Concordant Down,TRUE
CORO1B,-0.134,0.3248,0.963244,0.290259,0.588538,NS,Discordant (Young Down / Old Up),TRUE
LAMA2,-0.377,0.0816,0.382977,0.969136,0.374622,NS,Discordant (Young Down / Old Up),TRUE
S100A8,0.1667,0.2914,0.92293,0.758456,0.971398,NS,Concordant Up,TRUE
CLEC3B,0.3849,-0.0729,0.358135,0.968731,0.324202,NS,Discordant (Young Up / Old Down),TRUE
NDUFS6,-0.4203,0.0373,0.070889,0.990711,0.150855,NS,Discordant (Young Down / Old Up),FALSE
MYOM2,-0.2774,-0.1794,0.426071,0.751507,0.953819,NS,Concordant Down,FALSE
EIF4H,-0.2651,-0.1916,0.219635,0.525151,0.95778,NS,Concordant Down,FALSE
DDI2,-0.3145,0.1422,0.643939,0.93156,0.521057,NS,Discordant (Young Down / Old Up),FALSE
AP1M1,0.4423,0.0138,0.064189,0.998666,0.19243,NS,Concordant Up,TRUE
VAMP2,-0.207,-0.247,0.892371,0.743108,0.996974,NS,Concordant Down,TRUE
JUP,0.2034,0.2504,0.860395,0.668949,0.994618,NS,Concordant Up,TRUE
YBX1,0.3705,0.0829,0.071075,0.934794,0.445978,NS,Concordant Up,FALSE
NDUFB4,-0.4469,-0.0063,0.066371,0.999776,0.220497,NS,Concordant Down,FALSE
IFITM1,-0.337,-0.1162,0.327188,0.889304,0.754086,NS,Concordant Down,TRUE
VPS13A,-0.3317,-0.1212,0.77296,0.908409,0.915542,NS,Concordant Down,TRUE
MYL6,-0.1909,0.2612,0.845984,0.716141,0.461428,NS,Discordant (Young Down / Old Up),FALSE
EPM2A,-0.4285,-0.0232,0.151117,0.997243,0.372736,NS,Concordant Down,TRUE
ACADS,-0.1116,-0.34,0.922577,0.337125,0.770434,NS,Concordant Down,FALSE
TLN2,-0.0885,-0.363,0.91996,0.075168,0.467866,NS,Concordant Down,TRUE
AAMP,0.2107,0.24,0.823725,0.645533,0.997625,NS,Concordant Up,TRUE
SHMT1,-0.2044,-0.2462,0.780681,0.677552,0.994629,NS,Concordant Down,TRUE
S100A9,0.107,0.3434,0.965817,0.630061,0.879469,NS,Concordant Up,TRUE
NLN,0.2543,0.1958,0.642794,0.718332,0.987331,NS,Concordant Up,TRUE
COX6C,-0.3508,0.0987,0.264826,0.937991,0.236438,NS,Discordant (Young Down / Old Up),FALSE
CLUH,0.4301,0.0192,0.469862,0.998369,0.576878,NS,Concordant Up,TRUE
RPL6,0.18,0.2689,0.818195,0.605872,0.972948,NS,Concordant Up,FALSE
RPL34,0.2805,-0.1679,0.696897,0.895413,0.508919,NS,Discordant (Young Up / Old Down),TRUE
SSR4,-0.2184,0.2299,0.856467,0.691759,0.509561,NS,Discordant (Young Down / Old Up),TRUE
EHBP1L1,0.3423,0.1051,0.099999,0.874049,0.569522,NS,Concordant Up,TRUE
PTGR1,0.1743,0.2729,0.870908,0.656122,0.972881,NS,Concordant Up,TRUE
ANK1,0.2006,0.2465,0.846175,0.7021,0.99463,NS,Concordant Up,TRUE
VDAC1,-0.3131,-0.1334,0.093275,0.763308,0.708182,NS,Concordant Down,FALSE
SAE1,0.1182,-0.3282,0.96895,0.295295,0.5787,NS,Discordant (Young Up / Old Down),TRUE
AKR1C2,0.2458,0.2003,0.673908,0.811667,0.993887,NS,Concordant Up,TRUE
A2M,0.3786,0.0674,0.362423,0.980628,0.681134,NS,Concordant Up,FALSE
LMNA,-0.3605,0.0855,0.300135,0.959943,0.30116,NS,Discordant (Young Down / Old Up),FALSE
MRPS36,0.2275,-0.2184,0.695726,0.705146,0.31226,NS,Discordant (Young Up / Old Down),TRUE
JPH2,-0.354,-0.0914,0.061542,0.90765,0.468988,NS,Concordant Down,FALSE
SLK,0.2508,0.1945,0.543681,0.610906,0.984324,NS,Concordant Up,TRUE
PDLIM7,-0.3688,0.0743,0.528794,0.982589,0.547526,NS,Discordant (Young Down / Old Up),FALSE
MTAP,-0.2758,-0.1659,0.523318,0.803288,0.948606,NS,Concordant Down,TRUE
KRT19,-0.2603,0.1809,0.773897,0.896029,0.581395,NS,Discordant (Young Down / Old Up),FALSE
UNC45B,0.2325,0.2082,0.371692,0.484811,0.996198,NS,Concordant Up,FALSE
NDUFB9,-0.392,0.0485,0.098434,0.983311,0.165891,NS,Discordant (Young Down / Old Up),FALSE
C11orf54,-0.1746,-0.2658,0.626384,0.274019,0.93893,NS,Concordant Down,FALSE
SCO1,-0.1688,0.2707,0.830362,0.517683,0.300002,NS,Discordant (Young Down / Old Up),TRUE
COX6B1,-0.339,0.1005,0.196193,0.919078,0.162797,NS,Discordant (Young Down / Old Up),FALSE
MPP1,-0.3482,0.0907,0.452186,0.954061,0.380195,NS,Discordant (Young Down / Old Up),TRUE
NAA10,0.2642,0.1727,0.542037,0.691586,0.959002,NS,Concordant Up,TRUE
RPL38,-0.3123,0.1245,0.235506,0.856583,0.13649,NS,Discordant (Young Down / Old Up),TRUE
MOB4,0.3667,-0.0678,0.195234,0.959268,0.176181,NS,Discordant (Young Up / Old Down),TRUE
DBI,-0.1977,-0.2358,0.637405,0.511268,0.992672,NS,Concordant Down,FALSE
TUBA1B,0.278,0.1551,0.185327,0.686523,0.872708,NS,Concordant Up,FALSE
FKBP2,-0.3301,-0.1028,0.423162,0.942337,0.798847,NS,Concordant Down,TRUE
ACSF2,-0.2518,-0.181,0.445618,0.706572,0.973235,NS,Concordant Down,FALSE
RBP4,-0.166,-0.2665,0.951865,0.702177,0.984658,NS,Concordant Down,TRUE
NDUFA7,-0.3511,0.0809,0.248621,0.95822,0.255683,NS,Discordant (Young Down / Old Up),FALSE
COX5B,-0.2999,0.1304,0.294564,0.855285,0.171958,NS,Discordant (Young Down / Old Up),FALSE
KPNA1,0.2737,0.1545,0.259025,0.718183,0.894456,NS,Concordant Up,TRUE
SPATA20,-0.2018,0.2263,0.908879,0.853905,0.689204,NS,Discordant (Young Down / Old Up),TRUE
GLRX,-0.2556,-0.1724,0.597039,0.824947,0.974413,NS,Concordant Down,TRUE
SELENBP1,-0.1755,-0.2524,0.678198,0.398185,0.964079,NS,Concordant Down,FALSE
PRKAG1,0.2917,0.1353,0.120735,0.743091,0.76929,NS,Concordant Up,FALSE
HNRNPH2,-0.3258,-0.1006,0.588675,0.926721,0.827163,NS,Concordant Down,TRUE
HSPB3,0.2951,0.1311,0.404994,0.881545,0.871903,NS,Concordant Up,FALSE
GPC1,-0.1419,-0.2842,0.842112,0.35723,0.890321,NS,Concordant Down,TRUE
MRPL21,0.1276,-0.2976,0.955444,0.629725,0.598205,NS,Discordant (Young Up / Old Down),TRUE
GGCT,-0.245,-0.1801,0.319516,0.601081,0.969635,NS,Concordant Down,FALSE
NDUFB5,-0.326,0.0989,0.212555,0.918785,0.173871,NS,Discordant (Young Down / Old Up),FALSE
CRYBG3,0.1886,-0.2362,0.920985,0.873309,0.721943,NS,Discordant (Young Up / Old Down),TRUE
KRT2,-0.3057,0.119,0.678337,0.955281,0.595614,NS,Discordant (Young Down / Old Up),FALSE
SYPL1,-0.3612,-0.0631,0.108689,0.966847,0.451727,NS,Concordant Down,FALSE
DCTN6,0.3158,0.108,0.483804,0.913072,0.815048,NS,Concordant Up,TRUE
BANF1,-0.2198,0.2038,0.668368,0.722034,0.303693,NS,Discordant (Young Down / Old Up),FALSE
GFM1,-0.1955,-0.2279,0.665303,0.451985,0.994416,NS,Concordant Down,TRUE
NDUFB10,-0.4031,-0.0198,0.099699,0.997553,0.308297,NS,Concordant Down,FALSE
UQCR11,-0.3838,0.0387,0.228662,0.992197,0.333228,NS,Discordant (Young Down / Old Up),FALSE
NGLY1,0.1416,0.2799,0.826119,0.303893,0.883842,NS,Concordant Up,TRUE
JCHAIN,-0.1434,-0.2779,0.961228,0.756431,0.972039,NS,Concordant Down,TRUE
IMPA2,-0.2598,-0.1611,0.400846,0.760112,0.943873,NS,Concordant Down,FALSE
NDUFS5,-0.3905,0.0301,0.153545,0.994672,0.269128,NS,Discordant (Young Down / Old Up),FALSE
RPS13,0.1118,0.3072,0.911813,0.372382,0.811668,NS,Concordant Up,FALSE
MIEN1,-0.1003,0.3178,0.941878,0.259291,0.288319,NS,Discordant (Young Down / Old Up),TRUE
UBE2D1,-0.1115,-0.3066,0.863774,0.182782,0.713567,NS,Concordant Down,FALSE
RNF7,-0.2588,-0.159,0.239121,0.665701,0.917775,NS,Concordant Down,FALSE
ANXA2,0.2747,0.143,0.272971,0.778821,0.876918,NS,Concordant Up,FALSE
LYRM7,-0.2065,-0.2111,0.652765,0.634312,0.999912,NS,Concordant Down,TRUE
IDH3A,0.1926,0.2249,0.522415,0.396569,0.992849,NS,Concordant Up,FALSE
AHCYL1,0.266,0.1509,0.280329,0.740234,0.90339,NS,Concordant Up,FALSE
DPP7,-0.4033,-0.0135,0.479456,0.999068,0.570485,NS,Concordant Down,TRUE
STXBP3,-0.2755,0.1411,0.321247,0.780383,0.132789,NS,Discordant (Young Down / Old Up),TRUE
PDE4DIP,0.1742,0.2422,0.877164,0.763783,0.988526,NS,Concordant Up,FALSE
MYOM1,-0.3181,-0.0976,0.391199,0.944213,0.789118,NS,Concordant Down,FALSE
EPB41,0.1505,0.2647,0.913249,0.653867,0.963695,NS,Concordant Up,TRUE
SSPN,-0.1009,-0.3138,0.878166,0.127708,0.624946,NS,Concordant Down,FALSE
NDUFAF4,-0.2288,0.1854,0.733886,0.790729,0.417559,NS,Discordant (Young Down / Old Up),TRUE
BAG3,0.2528,0.1613,0.468784,0.781951,0.956416,NS,Concordant Up,FALSE
MYL12B,-0.081,0.3328,0.954676,0.285239,0.270437,NS,Discordant (Young Down / Old Up),FALSE
ZNF33A,-0.1746,-0.2382,0.928433,0.867326,0.993956,NS,Concordant Down,FALSE
MRPL37,-0.36870000000000003,0.0427,0.365617,0.990551,0.413823,NS,Discordant (Young Down / Old Up),TRUE
OBSCN,0.3663,0.045,0.239346,0.988632,0.542349,NS,Concordant Up,FALSE
MYOZ3,0.0415,0.3697,0.993689,0.74619,0.820283,NS,Concordant Up,TRUE
PMPCA,-0.0992,0.3118,0.961769,0.365225,0.453141,NS,Discordant (Young Down / Old Up),TRUE
PFDN5,-0.2566,-0.1542,0.266635,0.674717,0.913454,NS,Concordant Down,TRUE
RPL7,0.1959,0.2144,0.770268,0.731513,0.998876,NS,Concordant Up,FALSE
HAGH,-0.2268,-0.183,0.311869,0.519959,0.984609,NS,Concordant Down,FALSE
CZIB,-0.2693,-0.1404,0.275535,0.779718,0.878429,NS,Concordant Down,FALSE
GCN1,0.2901,0.1192,0.487495,0.853458,0.849667,NS,Concordant Up,TRUE
DNAJB2,-0.1979,-0.2109,0.682071,0.588716,0.99923,NS,Concordant Down,TRUE
ERAP1,0.2674,0.1404,0.505201,0.860948,0.926071,NS,Concordant Up,TRUE
NDUFA12,-0.3875,0.0199,0.157815,0.997726,0.295828,NS,Discordant (Young Down / Old Up),FALSE
ARIH1,0.1221,-0.2853,0.922213,0.388006,0.360746,NS,Discordant (Young Up / Old Down),TRUE
TUBB2A,0.2851,0.1214,0.155612,0.80713,0.759466,NS,Concordant Up,FALSE
HNRNPH1,-0.2254,0.1811,0.395823,0.595773,0.092024,NS,Discordant (Young Down / Old Up),FALSE
TSG101,0.209,-0.1975,0.546564,0.518569,0.122212,NS,Discordant (Young Up / Old Down),TRUE
SVIL,0.1747,-0.2311,0.862895,0.763292,0.523969,NS,Discordant (Young Up / Old Down),TRUE
RPL22,-0.0213,0.3843,0.997034,0.131441,0.247831,NS,Discordant (Young Down / Old Up),FALSE
EEFSEC,0.0394,0.3661,0.993932,0.251453,0.61636,NS,Concordant Up,TRUE
ERP44,0.045,-0.3605,0.993634,0.512812,0.592358,NS,Discordant (Young Up / Old Down),TRUE
SDR39U1,-0.2416,-0.1633,0.665215,0.829541,0.977497,NS,Concordant Down,TRUE
ETF1,0.2542,0.1507,0.496904,0.813333,0.945805,NS,Concordant Up,TRUE
MYH9,0.0757,0.3291,0.962624,0.317719,0.687295,NS,Concordant Up,FALSE
CCT5,0.243,0.1614,0.115102,0.479487,0.916502,NS,Concordant Up,FALSE
TOMM70,0.3697,-0.0344,0.076016,0.989943,0.14881,NS,Discordant (Young Up / Old Down),TRUE
NDUFA10,-0.2977,0.1061,0.312749,0.909595,0.233628,NS,Discordant (Young Down / Old Up),FALSE
SGCD,-0.1949,-0.2075,0.489276,0.445931,0.998922,NS,Concordant Down,FALSE
DARS1,0.3467,0.0551,0.081029,0.970588,0.392252,NS,Concordant Up,FALSE
PPME1,0.241,0.1607,0.770085,0.86989,0.982377,NS,Concordant Up,TRUE
PTCD3,0.1627,0.2386,0.770524,0.512695,0.970109,NS,Concordant Up,TRUE
FLG2,-0.1767,0.2235,0.929108,0.872436,0.734551,NS,Discordant (Young Down / Old Up),TRUE
GSTZ1,-0.1348,-0.265,0.889202,0.608293,0.935633,NS,Concordant Down,TRUE
NDUFA2,-0.3233,-0.076,0.202018,0.95226,0.61673,NS,Concordant Down,FALSE
GLRX5,-0.2485,-0.1507,0.64966,0.851363,0.963681,NS,Concordant Down,TRUE
PHKA1,0.1719,0.227,0.63911,0.421868,0.979443,NS,Concordant Up,FALSE
RDH11,0.276,0.1229,0.711717,0.913094,0.930167,NS,Concordant Up,TRUE
DAD1,0.2253,-0.1735,0.898919,0.812547,0.704615,NS,Discordant (Young Up / Old Down),TRUE
EEF2K,-0.2897,-0.1086,0.507824,0.918077,0.855411,NS,Concordant Down,TRUE
RPL12,0.0762,0.3218,0.974776,0.526105,0.804656,NS,Concordant Up,FALSE
AGK,0.0877,0.3102,0.954982,0.366074,0.771961,NS,Concordant Up,TRUE
RNF181,-0.2212,-0.1766,0.795779,0.810225,0.994264,NS,Concordant Down,TRUE
NDUFB3,-0.3956,0.0022,0.115145,0.999971,0.280697,NS,Discordant (Young Down / Old Up),FALSE
ETHE1,-0.3243,-0.0735,0.45423,0.951588,0.707439,NS,Concordant Down,TRUE
MAN2C1,0.2789,-0.1186,0.456897,0.902554,0.324767,NS,Discordant (Young Up / Old Down),TRUE
TMEM63A,0.3082,0.0892,0.407856,0.947799,0.775938,NS,Concordant Up,TRUE
EEF1G,0.2325,0.1647,0.161962,0.48247,0.946921,NS,Concordant Up,FALSE
PLP2,-0.3173,0.0799,0.735808,0.979237,0.68164,NS,Discordant (Young Down / Old Up),TRUE
STK38,-0.2855,-0.1114,0.64503,0.930052,0.899519,NS,Concordant Down,TRUE
G3BP1,-0.1315,0.2653,0.922327,0.589885,0.480091,NS,Discordant (Young Down / Old Up),TRUE
SCRN3,-0.2267,-0.1695,0.707791,0.80546,0.988089,NS,Concordant Down,TRUE
HMGB1,-0.2761,-0.119,0.17287,0.811414,0.77534,NS,Concordant Down,FALSE
DCN,-0.3375,-0.0568,0.417622,0.985059,0.711245,NS,Concordant Down,FALSE
PDPR,-0.3031,0.0912,0.489793,0.947044,0.400347,NS,Discordant (Young Down / Old Up),TRUE
CLIC5,-0.2232,-0.1707,0.437746,0.663534,0.981918,NS,Concordant Down,FALSE
PLEC,0.2348,-0.159,0.580744,0.813016,0.316916,NS,Discordant (Young Up / Old Down),FALSE
FAM98A,0.3375,0.0563,0.373396,0.98459,0.689165,NS,Concordant Up,TRUE
KRT10,-0.2567,0.1368,0.767154,0.93872,0.64105,NS,Discordant (Young Down / Old Up),FALSE
MOGS,-0.2881,-0.1048,0.739864,0.942007,0.913009,NS,Concordant Down,TRUE
NDUFA8,-0.3787,-0.0136,0.128073,0.998825,0.33705,NS,Concordant Down,FALSE
SND1,-0.1158,0.2764,0.895093,0.363104,0.260366,NS,Discordant (Young Down / Old Up),TRUE
NDUFAB1,-0.3042,-0.0874,0.34657,0.947179,0.755788,NS,Concordant Down,FALSE
LAMTOR1,0.3906,-7e-4,0.13597,0.999996,0.237174,NS,Discordant (Young Up / Old Down),TRUE
COL14A1,0.3167,0.0744,0.790876,0.989347,0.916716,NS,Concordant Up,TRUE
ARMT1,-0.1294,-0.2616,0.882124,0.481865,0.915337,NS,Concordant Down,TRUE
FABP5,-0.2318,-0.1588,0.539685,0.787232,0.972898,NS,Concordant Down,FALSE
COQ10A,-0.269,0.121,0.505187,0.904384,0.364679,NS,Discordant (Young Down / Old Up),FALSE
PADI2,0.2819,0.1081,0.201599,0.86386,0.752309,NS,Concordant Up,FALSE
QDPR,-0.24,-0.1498,0.352466,0.731626,0.939988,NS,Concordant Down,FALSE
PHKA2,0.0308,0.3587,0.992637,0.123594,0.367407,NS,Concordant Up,FALSE
HNRNPH3,-0.2608,-0.1283,0.537981,0.893344,0.923018,NS,Concordant Down,TRUE
ADK,0.089,0.2996,0.939196,0.311601,0.745308,NS,Concordant Up,TRUE
PPP3CB,-0.2109,-0.1774,0.493394,0.641155,0.993035,NS,Concordant Down,FALSE
LRRC40,-0.3681,-0.0198,0.710186,0.997456,0.751413,NS,Concordant Down,TRUE
IMPACT,0.2967,-0.0903,0.601584,0.959635,0.521419,NS,Discordant (Young Up / Old Down),TRUE
CMBL,-0.1803,-0.2064,0.716356,0.639076,0.996811,NS,Concordant Down,FALSE
AP2M1,0.3057,0.0808,0.226696,0.938966,0.654536,NS,Concordant Up,TRUE
COX7A2,-0.2459,0.1397,0.521926,0.849818,0.311334,NS,Discordant (Young Down / Old Up),FALSE
LASP1,-0.2427,0.1426,0.76875,0.901057,0.574677,NS,Discordant (Young Down / Old Up),TRUE
SNRPA,-0.3158,0.0687,0.295658,0.95787,0.259801,NS,Discordant (Young Down / Old Up),TRUE
MYBPC2,-0.2735,0.111,0.775887,0.966504,0.705645,NS,Discordant (Young Down / Old Up),FALSE
CCT4,0.2109,0.1721,0.304721,0.504611,0.986108,NS,Concordant Up,FALSE
NDUFA9,-0.3436,-0.0388,0.183882,0.989444,0.480106,NS,Concordant Down,FALSE
MAPT,0.3118,0.0704,0.133493,0.947998,0.540884,NS,Concordant Up,FALSE
GAPDH,0.1939,0.1882,0.515401,0.55204,0.999794,NS,Concordant Up,FALSE
MTIF2,0.2388,0.1433,0.597715,0.71471,0.948711,NS,Concordant Up,TRUE
SELENOF,-0.2501,0.1306,0.902329,0.911177,0.78516300000000006,NS,Discordant (Young Down / Old Up),TRUE
GLUL,-0.1216,-0.2591,0.953715,0.607585,0.949714,NS,Concordant Down,TRUE
RPL31,-0.2634,0.1172,0.449831,0.894,0.310074,NS,Discordant (Young Down / Old Up),FALSE
TWF2,-0.1163,0.2642,0.904302,0.500714,0.357245,NS,Discordant (Young Down / Old Up),TRUE
RPS27A,0.1728,-0.2076,0.843593,0.777351,0.513187,NS,Discordant (Young Up / Old Down),FALSE
PUF60,-0.2778,-0.1024,0.475455,0.872919,0.818129,NS,Concordant Down,TRUE
CCT2,0.2601,0.1199,0.174579,0.784327,0.80153,NS,Concordant Up,FALSE
RPL11,0.1014,0.2783,0.9454,0.571366,0.882397,NS,Concordant Up,TRUE
NDUFS4,-0.3324,-0.0461,0.291373,0.987195,0.602221,NS,Concordant Down,FALSE
HINT2,-0.2088,-0.1693,0.715039,0.819947,0.994277,NS,Concordant Down,FALSE
DCTN1,0.2945,0.0835,0.110484,0.908667,0.576593,NS,Concordant Up,FALSE
PCBD2,-0.2098,-0.1681,0.394387,0.597497,0.986396,NS,Concordant Down,FALSE
FAM120A,0.2094,0.1685,0.662075,0.699935,0.991725,NS,Concordant Up,TRUE
CHCHD2,-0.1386,0.2379,0.89624,0.684319,0.494152,NS,Discordant (Young Down / Old Up),TRUE
MRPS35,0.2907,-0.0854,0.571964,0.944013,0.446545,NS,Discordant (Young Up / Old Down),TRUE
DES,-0.1659,0.2096,0.904114,0.847816,0.666182,NS,Discordant (Young Down / Old Up),FALSE
NDUFS3,-0.3298,-0.0454,0.173176,0.983722,0.493732,NS,Concordant Down,FALSE
TMX3,-0.2206,0.154,0.922813,0.910281,0.796214,NS,Discordant (Young Down / Old Up),TRUE
ABLIM2,-0.2842,-0.0895,0.6923,0.966688,0.895337,NS,Concordant Down,TRUE
FGGY,-0.3294,0.0443,0.664683,0.98939,0.628251,NS,Discordant (Young Down / Old Up),TRUE
IGHA1,0.2906,0.0824,0.58884,0.9706,0.85862,NS,Concordant Up,FALSE
CAVIN2,-0.1701,-0.2025,0.638938,0.513632,0.993149,NS,Concordant Down,FALSE
SLC27A1,0.0193,-0.3524,0.99832,0.158811,0.418954,NS,Discordant (Young Up / Old Down),TRUE
MAVS,0.2075,-0.1627,0.410003,0.626212,0.107128,NS,Discordant (Young Up / Old Down),FALSE
GLO1,-0.1989,-0.1712,0.464426,0.601129,0.994472,NS,Concordant Down,FALSE
MYO6,0.1056,0.2643,0.924636,0.520532,0.882298,NS,Concordant Up,FALSE
ARPC5,0.2399,0.1295,0.711703,0.903571,0.958271,NS,Concordant Up,TRUE
RPL29,0.1823,0.1858,0.839338,0.837457,0.999968,NS,Concordant Up,FALSE
TPPP3,0.2968,0.071,0.658273,0.9782,0.852068,NS,Concordant Up,TRUE
HP,0.307,-0.0605,0.678746,0.989185,0.692886,NS,Discordant (Young Up / Old Down),FALSE
ALDH9A1,-0.2006,-0.1663,0.526502,0.676738,0.992565,NS,Concordant Down,FALSE
NMT1,-0.2365,-0.1303,0.709709,0.826268,0.953082,NS,Concordant Down,TRUE
ENOPH1,-0.2344,-0.1324,0.398634,0.799607,0.925127,NS,Concordant Down,TRUE
RPL13,0.2147,0.152,0.722417,0.868307,0.986183,NS,Concordant Up,FALSE
SYNPO,-0.2149,-0.1512,0.736034,0.86411,0.9858,NS,Concordant Down,TRUE
EIF2S3,0.3048,-0.0608,0.23787,0.969572,0.268176,NS,Discordant (Young Up / Old Down),FALSE
SHMT2,0.07,0.2956,0.974839,0.410075,0.77942,NS,Concordant Up,TRUE
SF1,-0.3144,0.051,0.644522,0.989353,0.636531,NS,Discordant (Young Down / Old Up),TRUE
ARL3,0.2776,0.0877,0.518457,0.923909,0.809698,NS,Concordant Up,TRUE
FN1,-0.2273,-0.1368,0.91246,0.943843,0.988745,NS,Concordant Down,TRUE
ABHD10,-0.2008,-0.1628,0.67257,0.755403,0.993069,NS,Concordant Down,TRUE
RTCB,0.226,0.1373,0.253614,0.685662,0.919138,NS,Concordant Up,FALSE
PDIA3,0.2271,0.135,0.255314,0.700117,0.913529,NS,Concordant Up,FALSE
NAXD,-0.2081,-0.1539,0.575157,0.773077,0.983713,NS,Concordant Down,FALSE
