pathway,database,set_size,n_sig_contrasts,NES_Aging,NES_Training_Young,NES_Training_Old,NES_Interaction,NES_Reversal,padj_Aging,padj_Training_Young,padj_Training_Old,padj_Interaction,padj_Reversal,survives_J03,survives_J05,survives_J07
GOBP_PROTEINOGENIC_AMINO_ACID_METABOLIC_PROCESS,GO:BP,41,1,1.706,-0.928,-1.508,-0.662,-1.891,0.09654,0.9013,0.2509,1,0.02214,TRUE,FALSE,FALSE
GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS,GO:BP,73,1,-1.621,1.179,1.402,0.878,1.724,0.09654,0.6279,0.2907,0.9201,0.03485,FALSE,FALSE,TRUE
GOBP_NUTRIENT_STORAGE,GO:BP,12,1,1.772,-0.588,-1.439,-1.283,-2.012,0.09873,0.999,0.4402,0.5321,0.01709,TRUE,TRUE,TRUE
GOBP_LIPID_LOCALIZATION,GO:BP,70,1,1.606,0.926,-1.425,-1.29,-1.759,0.1066,0.9053,0.2601,0.4009,0.02289,TRUE,TRUE,TRUE
GOBP_AMIDE_METABOLIC_PROCESS,GO:BP,102,1,1.522,-0.745,-1.608,-1.157,-1.776,0.1128,0.999,0.07031,0.55,0.01105,TRUE,TRUE,TRUE
GOBP_L_AMINO_ACID_CATABOLIC_PROCESS,GO:BP,24,1,1.762,-0.786,-1.68,-0.848,-1.982,0.114,0.9619,0.1813,0.9201,0.01568,FALSE,FALSE,TRUE
GOBP_TRANSLATIONAL_ELONGATION,GO:BP,23,1,-1.738,1.859,1.72,-0.932,1.89,0.1174,0.0541,0.1521,0.8485,0.03516,TRUE,TRUE,TRUE
GOBP_CELLULAR_OXIDANT_DETOXIFICATION,GO:BP,41,1,1.634,-0.639,-1.504,-1.102,-1.837,0.1318,0.999,0.2528,0.6688,0.03516,FALSE,FALSE,TRUE
GOBP_RESPONSE_TO_TOXIC_SUBSTANCE,GO:BP,65,1,1.554,-0.894,-1.689,-1.074,-1.791,0.1411,0.9191,0.1135,0.6812,0.01709,FALSE,FALSE,TRUE
GOBP_STRESS_GRANULE_ASSEMBLY,GO:BP,13,1,-1.717,1.327,1.302,-0.948,1.893,0.1411,0.5679,0.5559,0.8251,0.0267,TRUE,TRUE,TRUE
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY,GO:BP,26,1,1.624,-0.992,-1.376,-1.075,-1.892,0.1821,0.8475,0.4402,0.7113,0.03074,TRUE,TRUE,TRUE
GOBP_TRIGLYCERIDE_METABOLIC_PROCESS,GO:BP,12,1,1.638,-1.484,-1.646,-0.745,-1.943,0.2002,0.375,0.2498,0.9713,0.03485,TRUE,TRUE,TRUE
GOBP_MULTICELLULAR_ORGANISMAL_MOVEMENT,GO:BP,28,1,-1.581,-1.51,0.562,1.807,1.46,0.209,0.2617,0.9976,0.04552,0.2633,TRUE,TRUE,TRUE
GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS,GO:BP,24,1,1.597,-0.631,-1.683,-1.463,-2.099,0.2108,0.999,0.1785,0.3386,0.004839,FALSE,FALSE,TRUE
GOBP_LOCOMOTORY_BEHAVIOR,GO:BP,22,1,1.56,1.448,-0.904,-2.231,-1.419,0.2338,0.3799,0.8638,0.002589,0.3175,TRUE,TRUE,TRUE
GOBP_CYTOPLASMIC_MICROTUBULE_ORGANIZATION,GO:BP,16,1,-1.571,1.746,0.765,-1.999,1.52,0.2388,0.1272,0.9464,0.02314,0.2509,TRUE,TRUE,TRUE
GOBP_PHOSPHOLIPID_METABOLIC_PROCESS,GO:BP,40,1,1.461,-0.907,-1.795,-1.343,-1.869,0.258,0.9061,0.07251,0.41,0.03066,FALSE,FALSE,TRUE
GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS,GO:BP,29,1,1.429,-0.759,-1.873,-1.414,-1.92,0.3024,0.9841,0.05247,0.3661,0.0267,FALSE,FALSE,FALSE
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY,GO:BP,10,1,-1.491,1.403,1.857,1.333,1.938,0.3126,0.4687,0.1175,0.4964,0.03113,FALSE,TRUE,TRUE
GOBP_LIPID_HOMEOSTASIS,GO:BP,26,1,1.404,1.606,-1.396,-1.975,-1.49,0.3355,0.1954,0.434,0.01462,0.2635,TRUE,TRUE,TRUE
GOBP_COLLAGEN_FIBRIL_ORGANIZATION,GO:BP,12,1,-1.396,-1.304,1.609,1.897,1.703,0.4015,0.5851,0.2578,0.03298,0.1558,TRUE,TRUE,TRUE
GOBP_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS,GO:BP,29,1,1.254,1.24,-1.585,-2.139,-1.372,0.481,0.6091,0.248,0.002589,0.3519,TRUE,TRUE,TRUE
GOBP_PROTEIN_POLYUBIQUITINATION,GO:BP,34,1,1.239,-1.176,-1.915,-1.29,-1.562,0.4833,0.6577,0.0393,0.4754,0.1855,TRUE,TRUE,TRUE
GOBP_VITAMIN_METABOLIC_PROCESS,GO:BP,17,1,1.265,1.297,-1.596,-2.013,-1.336,0.5006,0.5741,0.2601,0.01818,0.4082,FALSE,FALSE,FALSE
GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS,GO:BP,40,1,-1.167,2.101,1.341,-1.521,1.489,0.5676,0.001336,0.4402,0.219,0.2104,FALSE,FALSE,TRUE
GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,GO:BP,89,1,-1.076,1.703,0.824,-1.595,1.067,0.6614,0.02116,0.962,0.05215,0.6401,TRUE,TRUE,TRUE
GOBP_AXONAL_TRANSPORT,GO:BP,12,1,-1.075,2.011,1.041,-1.797,1.707,0.7182,0.01113,0.7777,0.106,0.1538,FALSE,FALSE,FALSE
GOBP_SYNAPSE_ASSEMBLY,GO:BP,18,1,-1.053,0.903,-1.982,-1.516,-1.205,0.7239,0.9024,0.04157,0.2932,0.5277,TRUE,TRUE,TRUE
GOBP_ORGAN_GROWTH,GO:BP,15,1,1.033,0.654,-1.962,-1.78,-1.457,0.7525,0.996,0.04157,0.1074,0.3071,TRUE,TRUE,TRUE
GOBP_AXO_DENDRITIC_TRANSPORT,GO:BP,16,1,-0.978,2.065,0.928,-1.606,1.505,0.8019,0.002961,0.842,0.2448,0.2633,TRUE,TRUE,TRUE
GOBP_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,GO:BP,68,1,-0.987,1.421,1.74,1.092,1.221,0.808,0.2689,0.04157,0.6745,0.4293,FALSE,FALSE,FALSE
GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,GO:BP,90,1,-0.983,1.816,1,-1.551,1.169,0.8096,0.005182,0.8101,0.08123,0.4891,FALSE,TRUE,TRUE
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,GO:BP,42,1,-0.976,-1.742,1.587,2.3,1.22,0.8149,0.07456,0.1884,1.986e-5,0.4714,FALSE,FALSE,FALSE
GOBP_SPINDLE_LOCALIZATION,GO:BP,15,1,-0.918,1.853,1.497,-1.641,1.265,0.8509,0.03672,0.3467,0.219,0.4738,TRUE,TRUE,TRUE
GOBP_ESTABLISHMENT_OF_CELL_POLARITY,GO:BP,24,1,-0.913,1.864,1.729,-1.298,1.331,0.8587,0.03972,0.1284,0.4869,0.3956,FALSE,FALSE,TRUE
GOBP_NUCLEOSOME_ORGANIZATION,GO:BP,10,1,-0.874,-1.532,0.825,1.933,-0.766,0.8827,0.3296,0.9002,0.01566,0.9435,TRUE,TRUE,TRUE
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL,GO:BP,29,1,-0.885,1.606,-1.163,-2.007,-0.852,0.8947,0.1822,0.6506,0.01157,0.903,TRUE,TRUE,TRUE
GOBP_PROTEIN_STABILIZATION,GO:BP,60,1,-0.882,1.992,1.705,-1.38,1.404,0.9238,0.002241,0.1122,0.3004,0.254,FALSE,FALSE,TRUE
GOBP_REGULATION_OF_AMIDE_METABOLIC_PROCESS,GO:BP,18,1,0.835,1.219,-1.645,-1.914,-1.238,0.931,0.6501,0.2235,0.03898,0.502,TRUE,TRUE,TRUE
GOBP_GLIAL_CELL_MIGRATION,GO:BP,10,1,0.797,-1.493,-1.954,-1.144,-1.256,0.9457,0.375,0.04157,0.6688,0.5029,TRUE,TRUE,TRUE
GOBP_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,GO:BP,14,1,0.811,2.168,1.687,-1.839,0.598,0.9458,8.31e-4,0.1884,0.07857,0.9937,FALSE,FALSE,TRUE
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS,GO:BP,37,1,-0.821,1.648,0.808,-1.849,0.982,0.9629,0.1045,0.9433,0.04084,0.7767,TRUE,FALSE,TRUE
GOBP_CELL_RECOGNITION,GO:BP,22,1,-0.788,2.145,1.876,-1.146,1.18,0.9664,0.001403,0.06793,0.6537,0.5395,TRUE,TRUE,TRUE
GOBP_ADULT_LOCOMOTORY_BEHAVIOR,GO:BP,13,1,0.76,1.295,-0.989,-2.024,-0.922,0.9716,0.5994,0.8104,0.02208,0.8183,FALSE,TRUE,TRUE
GOBP_SPINDLE_ORGANIZATION,GO:BP,46,1,-0.805,1.794,1.129,-1.712,1.161,0.9737,0.02259,0.6675,0.07446,0.528,FALSE,TRUE,TRUE
GOBP_ADULT_BEHAVIOR,GO:BP,14,1,0.752,1.246,-1,-2.012,-0.91,0.9761,0.6394,0.8101,0.02314,0.8269,FALSE,FALSE,TRUE
GOBP_DNA_BIOSYNTHETIC_PROCESS,GO:BP,18,1,0.75,2.029,1.561,-1.861,0.618,0.9799,0.008474,0.2737,0.06112,0.9937,FALSE,TRUE,TRUE
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,GO:BP,43,1,-0.77,1.547,1.857,-0.75,1.317,0.9922,0.1938,0.0393,0.9888,0.3592,FALSE,FALSE,FALSE
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_UBIQUINOL_TO_CYTOCHROME_C,GO:BP,10,1,-0.686,-1.657,1.573,1.956,1.132,0.9953,0.2075,0.2914,0.01309,0.6175,FALSE,TRUE,TRUE
GOBP_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,GO:BP,20,1,0.691,-1.971,-1.535,1.469,-0.897,0.9998,0.02107,0.3015,0.3507,0.8387,FALSE,FALSE,TRUE
GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY,GO:BP,11,1,0.636,0.824,1.914,1.667,1.092,0.9998,0.9221,0.04275,0.1799,0.655,TRUE,TRUE,TRUE
GOBP_HETEROCHROMATIN_FORMATION,GO:BP,11,1,-0.609,-2.099,-1.522,1.547,-0.686,0.9998,0.003806,0.3356,0.2932,0.9797,TRUE,TRUE,TRUE
GOBP_MICROTUBULE_POLYMERIZATION,GO:BP,22,1,-0.707,1.671,-1.349,-1.876,-0.746,0.9998,0.1783,0.4779,0.04094,0.9704,FALSE,FALSE,TRUE
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC,GO:BP,12,1,0.58,-1.948,-1.645,1.307,-0.824,0.9998,0.03232,0.2498,0.5223,0.9022,FALSE,FALSE,FALSE
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION,GO:BP,21,1,0.55,1.921,1.803,-1.173,1.161,0.9998,0.02087,0.1122,0.621,0.5619,TRUE,TRUE,TRUE
GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE,GO:BP,19,1,0.534,1.966,1.834,-1.329,1.137,0.9998,0.02113,0.1169,0.4741,0.5979,FALSE,FALSE,FALSE
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS,GO:BP,72,1,-0.718,1.71,1.302,-1.425,0.978,0.9998,0.03054,0.4402,0.2372,0.7879,TRUE,TRUE,TRUE
GOBP_PROTEIN_REFOLDING,GO:BP,18,1,-0.636,2.062,1.739,-1.372,1.32,0.9998,0.005546,0.1555,0.4393,0.415,TRUE,TRUE,TRUE
GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS,GO:BP,45,1,0.573,1.655,-1.206,-1.821,-0.679,0.9998,0.09324,0.5838,0.0229,0.9937,TRUE,TRUE,TRUE
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION,GO:BP,18,1,-0.567,1.554,-1.224,-1.946,-0.789,0.9998,0.2617,0.6033,0.02901,0.9426,TRUE,TRUE,TRUE
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,GO:BP,37,1,0.659,1.902,1.444,-1.774,0.73,0.9998,0.016,0.323,0.07446,0.9862,FALSE,FALSE,TRUE
GOBP_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERASE,GO:BP,13,1,0.585,2.224,1.779,-1.716,0.881,0.9998,5.47e-4,0.1284,0.1678,0.851,FALSE,TRUE,TRUE
GOBP_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,GO:BP,15,1,0.61,2.08,1.864,-1.28,0.928,0.9998,0.002797,0.09263,0.5351,0.8183,FALSE,FALSE,FALSE
GOBP_RNA_LOCALIZATION,GO:BP,39,1,-0.632,1.884,1.55,-1.296,0.993,0.9998,0.01924,0.2248,0.473,0.765,TRUE,TRUE,TRUE
GOBP_RNA_TEMPLATED_DNA_BIOSYNTHETIC_PROCESS,GO:BP,16,1,0.652,2.117,1.596,-1.824,0.729,0.9998,0.001585,0.2651,0.07857,0.9704,TRUE,FALSE,FALSE
GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,GO:BP,18,1,0.644,1.982,1.675,-1.378,0.771,0.9998,0.01274,0.1864,0.4355,0.9474,FALSE,FALSE,TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,155,4,1.968,-2.098,-0.619,2.041,-1.702,1.868e-5,6.608e-7,0.9998,4.531e-6,0.001235,TRUE,TRUE,TRUE
HALLMARK_MYOGENESIS,Hallmark,103,4,-1.855,-1.743,-1.112,1.922,1.635,7.596e-4,0.00721,0.4764,3.73e-4,0.009323,TRUE,TRUE,TRUE
HALLMARK_ADIPOGENESIS,Hallmark,109,3,1.844,-1.343,-1.704,0.634,-1.933,5.181e-4,0.1459,0.006821,0.9954,2.991e-4,TRUE,TRUE,TRUE
HALLMARK_MYC_TARGETS_V1,Hallmark,128,3,-1.305,1.687,1.698,-0.993,1.662,0.1206,0.005234,0.007309,0.7748,0.005124,TRUE,TRUE,TRUE
HALLMARK_FATTY_ACID_METABOLISM,Hallmark,83,2,2.156,-0.598,-1.184,-0.871,-2.115,1.868e-5,0.9982,0.429,0.9804,8.331e-5,TRUE,TRUE,TRUE
HALLMARK_PEROXISOME,Hallmark,38,2,1.949,-0.879,-0.857,0.564,-1.855,0.003143,0.836,0.7971,0.9954,0.009323,TRUE,TRUE,TRUE
HALLMARK_HEME_METABOLISM,Hallmark,48,2,1.744,-1.175,-1.116,0.697,-1.613,0.01229,0.4115,0.4903,0.9954,0.04962,TRUE,TRUE,TRUE
HALLMARK_MITOTIC_SPINDLE,Hallmark,35,2,-1.572,1.861,1.951,-1.463,1.624,0.0843,0.01632,0.006821,0.1895,0.0558,TRUE,TRUE,TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,48,2,-1.006,-1.781,-1.124,1.93,1.046,0.6747,0.01632,0.4903,0.002998,0.6489,TRUE,TRUE,TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,32,2,-0.991,1.89,1.999,-1.061,1.247,0.685,0.008941,0.006821,0.6851,0.3562,TRUE,TRUE,TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS,Hallmark,15,1,1.695,-0.785,-1.191,-1.274,-2.027,0.08383,0.8735,0.4764,0.5323,0.006003,TRUE,TRUE,TRUE
HALLMARK_G2M_CHECKPOINT,Hallmark,33,1,1.46,0.906,-1.388,-1.513,-1.682,0.1206,0.8039,0.3148,0.1609,0.03618,TRUE,TRUE,TRUE
HALLMARK_MTORC1_SIGNALING,Hallmark,86,1,-1.213,1.581,1.202,-1.443,1.166,0.3126,0.03682,0.4141,0.129,0.3674,TRUE,TRUE,TRUE
HALLMARK_SPERMATOGENESIS,Hallmark,12,1,0.975,-1.584,-1.834,0.639,-1.268,0.685,0.1378,0.04618,0.9954,0.3674,TRUE,TRUE,TRUE
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,KEGG,69,4,-2.947,1.376,2.814,2.065,3.134,4.986e-15,0.05963,2.462e-14,1.583e-5,2.9010000000000005e-20,FALSE,FALSE,FALSE
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG,35,4,-2.415,2.389,1.09,-2.045,2.229,3.801e-6,1.193e-6,0.4457,3.547e-4,3.491e-5,TRUE,TRUE,TRUE
KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG,34,4,-2.368,2.361,1.091,-2.018,2.196,4.329e-6,1.258e-6,0.4457,7.243e-4,7.746e-5,FALSE,FALSE,FALSE
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG,35,4,-2.385,2.355,0.933,-2.048,2.146,4.329e-6,1.264e-6,0.7307,3.547e-4,7.746e-5,FALSE,FALSE,FALSE
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG,34,4,-2.32,2.343,1.158,-1.985,2.169,9.562e-6,1.516e-6,0.3504,7.944e-4,7.746e-5,FALSE,FALSE,FALSE
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG,33,4,-2.308,2.344,1.196,-1.984,2.16,1.136e-5,1.258e-6,0.3153,7.721e-4,7.746e-5,FALSE,FALSE,FALSE
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG,33,4,-2.308,2.344,1.196,-1.984,2.16,1.136e-5,1.258e-6,0.3153,7.721e-4,7.746e-5,FALSE,FALSE,FALSE
KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG,33,4,-2.308,2.344,1.196,-1.984,2.16,1.136e-5,1.258e-6,0.3153,7.721e-4,7.746e-5,FALSE,FALSE,FALSE
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG,35,4,-2.286,2.336,0.956,-2.055,2.065,1.281e-5,1.646e-6,0.7193,3.547e-4,1.699e-4,FALSE,FALSE,FALSE
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I,KEGG,41,4,-1.61,-3.256,-0.722,3.073,1.61,0.02493,4.6859999999999985e-22,0.9581,2.484e-19,0.02238,FALSE,FALSE,FALSE
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,KEGG,42,4,-1.608,-3.262,-0.728,3.088,1.606,0.02493,3.49e-22,0.9581,3.282e-19,0.02238,TRUE,TRUE,TRUE
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,KEGG,41,4,-1.61,-3.256,-0.722,3.073,1.61,0.02493,4.6859999999999985e-22,0.9581,2.484e-19,0.02238,FALSE,FALSE,FALSE
KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT,KEGG,24,4,-1.28,2.426,2.017,-1.792,1.715,0.2401,1.07e-6,0.005206,0.009889,0.01915,TRUE,TRUE,TRUE
KEGG_MEDICUS_REFERENCE_BETA_OXIDATION,KEGG,10,2,2.347,-1.004,-1.691,-1.296,-2.323,1.878e-6,0.517,0.07212,0.2081,4.642e-6,TRUE,TRUE,TRUE
KEGG_MEDICUS_REFERENCE_ISOLEUCINE_DEGRADATION,KEGG,10,2,2.156,-0.634,-1.627,-1.473,-2.137,1.113e-4,0.9127,0.1184,0.1101,1.325e-4,FALSE,FALSE,TRUE
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,KEGG,44,2,-1.476,-3.048,0.626,2.939,1.457,0.06249,1.157e-16,0.9769,5.696e-16,0.07187,FALSE,FALSE,FALSE
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,KEGG,42,2,-1.434,-3.214,-0.728,3.047,1.452,0.08325,3.545e-21,0.9581,4.334e-18,0.07187,FALSE,FALSE,FALSE
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ANTEROGRADE_AXONAL_TRANSPORT,KEGG,10,2,-1.106,1.979,1.77,-1.492,1.341,0.463,5.557e-4,0.03337,0.09975,0.168,FALSE,TRUE,TRUE
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ANTEROGRADE_AXONAL_TRANSPORT,KEGG,10,2,-1.097,1.915,1.996,-1.046,1.498,0.463,0.001556,0.005206,0.4183,0.09037,FALSE,FALSE,TRUE
KEGG_MEDICUS_REFERENCE_RETROGRADE_AXONAL_TRANSPORT,KEGG,14,2,-1.066,2.162,1.857,-1.395,1.468,0.474,6.774e-5,0.02024,0.1357,0.09037,FALSE,TRUE,TRUE
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_RETROGRADE_AXONAL_TRANSPORT,KEGG,14,2,-1.066,2.162,1.857,-1.395,1.468,0.474,6.774e-5,0.02024,0.1357,0.09037,FALSE,FALSE,FALSE
KEGG_MEDICUS_REFERENCE_ARL8_REGULATED_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT,KEGG,10,2,-1.041,1.848,1.968,-1.176,1.513,0.4901,0.004573,0.006562,0.2807,0.08714,FALSE,TRUE,TRUE
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV,KEGG,15,2,-1.018,-2.394,1.32,2.416,1.274,0.4901,1.258e-6,0.2892,1.346e-7,0.202,TRUE,TRUE,TRUE
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,KEGG,15,2,-1.018,-2.394,1.32,2.416,1.274,0.4901,1.258e-6,0.2892,1.346e-7,0.202,FALSE,FALSE,FALSE
KEGG_MEDICUS_REFERENCE_DYNEIN_RECRUITMENT_TO_THE_KINETOCHORE,KEGG,16,2,-0.842,2.151,1.545,-1.995,1.408,0.7255,8.054e-5,0.1372,0.001498,0.115,FALSE,TRUE,TRUE
KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,KEGG,16,2,-0.707,-2.391,0.799,2.323,0.867,0.8917,1.258e-6,0.9143,1.939e-6,0.7044,FALSE,FALSE,FALSE
KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS,KEGG,50,2,-0.458,-2.734,0.656,2.662,0.531,0.9998,2.357e-11,0.9769,1.834e-11,0.9977,FALSE,TRUE,TRUE
KEGG_MEDICUS_REFERENCE_CITRATE_CYCLE_SECOND_CARBON_OXIDATION_2,KEGG,10,1,1.734,0.698,-0.774,-1.27,-1.558,0.02493,0.8797,0.9143,0.2187,0.07187,TRUE,TRUE,TRUE
KEGG_MEDICUS_REFERENCE_GLYCOLYSIS,KEGG,16,1,-1.732,0.952,1.572,1.195,1.607,0.02493,0.5703,0.1246,0.264,0.05617,TRUE,TRUE,TRUE
KEGG_MEDICUS_REFERENCE_PROMOTION_OF_MICROTUBULE_GROWTH,KEGG,11,1,-1.183,1.614,1.697,-1.267,1.483,0.3868,0.03595,0.059520000000000003,0.2187,0.09037,FALSE,FALSE,TRUE
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,Reactome,77,5,-2.985,1.614,2.791,1.874,3.171,1.966e-16,0.01027,3.146e-13,0.001458,1.38e-21,TRUE,TRUE,TRUE
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,Reactome,76,5,-2.939,1.512,2.796,1.882,3.158,1.892e-15,0.02562,6.241e-13,0.001311,1.838e-20,FALSE,FALSE,FALSE
REACTOME_SELENOAMINO_ACID_METABOLISM,Reactome,86,5,-2.854,1.736,2.644,1.525,3.05,1.573e-14,0.002386,8.51e-12,0.02688,7.691e-19,FALSE,FALSE,FALSE
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,Reactome,85,5,-2.788,1.456,2.659,1.641,2.993,1.222e-13,0.03524,8.644e-12,0.008708,1.233e-17,FALSE,FALSE,TRUE
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,Reactome,78,5,-2.786,1.517,2.759,1.845,3.029,2.976e-13,0.02523,6.589e-13,0.001509,1.512e-17,FALSE,FALSE,FALSE
REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,Reactome,32,5,-2.465,1.55,2.627,1.776,2.681,2.343e-6,0.04433,4.071e-9,0.009237,2.881e-9,FALSE,TRUE,TRUE
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,Reactome,110,4,-3.07,1.915,2.58,1.354,3.237,2.939e-20,5.842e-5,8.488e-12,0.08279,2.8010000000000003e-25,FALSE,FALSE,TRUE
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,Reactome,99,4,-2.992,1.224,2.602,1.863,3.153,8.537e-18,0.1971,1.375e-11,8.91e-4,3.0179999999999996e-22,FALSE,FALSE,TRUE
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,Reactome,124,4,-2.845,1.79,2.369,1.257,3.03,3.941e-17,3.935e-4,4.258e-9,0.1617,3.672e-21,FALSE,TRUE,FALSE
REACTOME_TRANSLATION,Reactome,176,4,-2.68,1.691,2.398,1.135,2.871,3.941e-17,9.004e-4,2.4e-11,0.3183,2.337e-21,FALSE,TRUE,TRUE
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,Reactome,80,4,-2.932,1.36,2.682,1.911,3.083,4.845e-16,0.08084,8.644e-12,0.001068,6.235e-19,FALSE,FALSE,FALSE
REACTOME_RRNA_PROCESSING,Reactome,77,4,-2.821,0.989,2.74,2.174,3.049,1.222e-13,0.5908,6.589e-13,4.046e-5,7.691e-19,FALSE,TRUE,TRUE
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,Reactome,54,4,-2.535,1.289,2.299,1.649,2.7,4.415e-8,0.1768,6.326e-6,0.01372,3.406e-10,TRUE,FALSE,TRUE
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,Reactome,41,4,-2.402,2.417,1.56,-1.955,2.331,2.009e-6,4.466e-6,0.1211,0.002116,8.405e-6,FALSE,FALSE,TRUE
