gene,logFC_Training_Young,logFC_Training_Old,pi_score_Young,pi_score_Old,pi_score_Interaction,significance,quadrant,imputed
HSPB2,0.3242,0.2621,0.214738,0.424201,0.979733,NS,Concordant Up,FALSE
ABCE1,0.3922,0.1938,0.101009,0.685996,0.776301,NS,Concordant Up,FALSE
APOL2,0.3458,0.239,0.353012,0.607385,0.95413,NS,Concordant Up,TRUE
ABHD16A,0.1191,-0.4649,0.954324,0.144411,0.24692,NS,Discordant (Young Up / Old Down),TRUE
VDAC3,-0.391,-0.1928,0.066683,0.645786,0.745481,NS,Concordant Down,FALSE
ECHDC3,-0.2335,-0.3502,0.734639,0.397384,0.95615000000000006,NS,Concordant Down,TRUE
ABLIM2,-0.4954,-0.0882,0.198054,0.962486,0.500478,NS,Concordant Down,TRUE
TARS1,0.4294,0.154,0.053891,0.760178,0.535521,NS,Concordant Up,TRUE
KRT18,-0.3069,0.275,0.641155,0.719507,0.289442,NS,Discordant (Young Down / Old Up),FALSE
TNNI2,-0.3138,0.2674,0.644179,0.748157,0.314424,NS,Discordant (Young Down / Old Up),FALSE
VPS29,0.2154,0.3641,0.919212,0.366717,0.964867,NS,Concordant Up,TRUE
METTL7A,-0.2282,-0.3471,0.563149,0.210511,0.92578,NS,Concordant Down,FALSE
HSPG2,-0.5085,-0.0612,0.072674,0.981772,0.33203,NS,Concordant Down,FALSE
PHYKPL,0.3984,-0.1697,0.2372,0.79972,0.101721,NS,Discordant (Young Up / Old Down),TRUE
RPL18,0.1145,0.4535,0.930631,0.161536,0.5782,NS,Concordant Up,TRUE
IL18,0.49370000000000003,0.0736,0.338851,0.98189,0.604041,NS,Concordant Up,TRUE
TXNDC5,0.3095,0.2571,0.149659,0.265875,0.980836,NS,Concordant Up,TRUE
ECHDC2,-0.329,-0.2355,0.263732,0.535643,0.955737,NS,Concordant Down,TRUE
MYH11,0.1087,0.4543,0.964746,0.368568,0.730893,NS,Concordant Up,TRUE
ME2,0.3829,0.1793,0.108274,0.730257,0.760919,NS,Concordant Up,TRUE
TNNC2,-0.3028,0.2582,0.646239,0.749678,0.316381,NS,Discordant (Young Down / Old Up),FALSE
MARS1,0.3505,0.2099,0.469061,0.607003,0.925006,NS,Concordant Up,TRUE
HCFC2,-0.3668,-0.1932,0.449175,0.843916,0.914632,NS,Concordant Down,FALSE
NDUFC2,-0.4551,0.1045,0.113519,0.938885,0.121455,NS,Discordant (Young Down / Old Up),FALSE
MARCKS,0.4242,0.135,0.075131,0.848597,0.544481,NS,Concordant Up,TRUE
IDH3B,0.2651,0.2936,0.347514,0.271806,0.9956,NS,Concordant Up,FALSE
PAK1,0.552,0.006,0.347762,0.999861,0.426174,NS,Concordant Up,TRUE
APOD,-0.2665,-0.2899,0.642573,0.596263,0.99845,NS,Concordant Down,FALSE
RGS12,-0.3338,-0.2213,0.378168,0.715414,0.952624,NS,Concordant Down,TRUE
GNA11,-0.3442,-0.2108,0.452312,0.713722,0.936533,NS,Concordant Down,TRUE
NIBAN1,-0.4421,-0.1123,0.067745,0.907509,0.46427,NS,Concordant Down,TRUE
HUWE1,0.3359,0.2153,0.256791,0.649541,0.929217,NS,Concordant Up,FALSE
SFXN4,-0.3812,0.1692,0.369946,0.801004,0.165405,NS,Discordant (Young Down / Old Up),TRUE
BOLA2,0.3927,0.1577,0.098213,0.769197,0.667201,NS,Concordant Up,TRUE
THBS4,-0.0735,0.4768,0.979226,0.143573,0.237983,NS,Discordant (Young Down / Old Up),TRUE
SET,-0.2502,0.3001,0.576678,0.405247,0.092333,NS,Discordant (Young Down / Old Up),TRUE
ALDH1A1,-0.3009,-0.2488,0.31779,0.506512,0.987041,NS,Concordant Down,FALSE
LMNB2,-0.549,-1e-4,0.070517,1,0.199759,NS,Concordant Down,TRUE
CKAP4,0.2631,0.2857,0.729981,0.555574,0.99867,NS,Concordant Up,TRUE
TMEM43,0.3457,0.2008,0.199722,0.670881,0.887306,NS,Concordant Up,FALSE
GPT,-0.3231,-0.2232,0.260439,0.599439,0.949435,NS,Concordant Down,FALSE
TSN,-0.2734,-0.2721,0.304819,0.318705,0.999991,NS,Concordant Down,TRUE
MECP2,-0.1341,-0.4111,0.898382,0.08895,0.650336,NS,Concordant Down,TRUE
GFM1,-0.3169,-0.2282,0.298301,0.491783,0.957351,NS,Concordant Down,TRUE
PEA15,-0.3841,-0.1579,0.667846,0.846194,0.893507,NS,Concordant Down,TRUE
SLC16A1,0.3706,0.1711,0.265232,0.821948,0.833861,NS,Concordant Up,FALSE
CPNE1,-0.2763,-0.2624,0.341685,0.417827,0.999056,NS,Concordant Down,TRUE
IGHM,0.3509,0.1869,0.511659,0.86242,0.928396,NS,Concordant Up,FALSE
LMNA,-0.4526,0.0852,0.108828,0.959548,0.139337,NS,Discordant (Young Down / Old Up),FALSE
CSRP1,0.1099,0.425,0.941348,0.253911,0.659952,NS,Concordant Up,FALSE
S100A8,0.2426,0.2913,0.827032,0.758846,0.995802,NS,Concordant Up,FALSE
ERGIC1,0.1252,0.4085,0.913522,0.21749,0.684693,NS,Concordant Up,TRUE
CLIC1,0.3129,0.22,0.210848,0.534576,0.947927,NS,Concordant Up,TRUE
CPT1A,-0.3133,-0.2194,0.470757,0.700278,0.967814,NS,Concordant Down,TRUE
RPS2,0.2626,0.2701,0.361347,0.353252,0.999713,NS,Concordant Up,FALSE
NID2,-0.5006,-0.0312,0.333803,0.997128,0.537038,NS,Concordant Down,TRUE
LSM8,-0.4993,0.0303,0.0696,0.994557,0.130485,NS,Discordant (Young Down / Old Up),TRUE
ISOC1,-0.4912,-0.0374,0.064784,0.989458,0.196453,NS,Concordant Down,TRUE
MYOM2,-0.3475,-0.1796,0.188452,0.732507,0.843213,NS,Concordant Down,FALSE
ARIH2,-0.4456,0.0799,0.165271,0.948215,0.128176,NS,Discordant (Young Down / Old Up),TRUE
MYH13,0.2605,0.2649,0.83306500000000006,0.791728,0.999969,NS,Concordant Up,TRUE
RPL13A,0.3317,0.1934,0.449911,0.805729,0.935279,NS,Concordant Up,TRUE
ADD1,0.4547,0.0703,0.398225,0.973862,0.603365,NS,Concordant Up,TRUE
HLA-DRB1,-0.3362,-0.185,0.499497,0.81472,0.925875,NS,Concordant Down,TRUE
MRPS15,0.5144,0.0064,0.169351,0.99986,0.353467,NS,Concordant Up,TRUE
MYH4,-0.4499,0.0705,0.497966,0.988739,0.552007,NS,Discordant (Young Down / Old Up),TRUE
UBAP2L,-0.0706,0.4478,0.98074,0.352505,0.36832,NS,Discordant (Young Down / Old Up),TRUE
COMMD7,0.2992,0.2189,0.625819,0.571251,0.978392,NS,Concordant Up,TRUE
RBKS,-0.2345,-0.2814,0.572067,0.428227,0.990297,NS,Concordant Down,TRUE
DNAJA1,0.4376,0.0749,0.225248,0.959034,0.482073,NS,Concordant Up,TRUE
PDLIM7,-0.4382,0.0736,0.359352,0.982324,0.410546,NS,Discordant (Young Down / Old Up),FALSE
HYOU1,0.3268,0.1836,0.174144,0.653926,0.865103,NS,Concordant Up,TRUE
MAPK12,-0.3478,-0.162,0.175301,0.768406,0.796354,NS,Concordant Down,TRUE
GABARAPL2,-0.3831,-0.1263,0.207215,0.905173,0.710873,NS,Concordant Down,TRUE
MFN1,-0.4052,-0.1008,0.30569,0.93814,0.652346,NS,Concordant Down,TRUE
RPL6,0.237,0.2686,0.6908,0.620749,0.996913,NS,Concordant Up,FALSE
NEK9,0.4928,-0.0124,0.103833,0.998951,0.159885,NS,Discordant (Young Up / Old Down),TRUE
DDI2,-0.3629,0.1422,0.514739,0.928086,0.413291,NS,Discordant (Young Down / Old Up),FALSE
AKAP12,0.2314,0.2736,0.65054,0.43114,0.992709,NS,Concordant Up,TRUE
ACSS2,-0.3392,-0.1658,0.093065,0.654497,0.756657,NS,Concordant Down,TRUE
TMEM120A,-0.3403,-0.1645,0.760252,0.876365,0.944489,NS,Concordant Down,TRUE
PDE4DIP,0.2626,0.2421,0.703626,0.752657,0.998963,NS,Concordant Up,TRUE
TUBB,0.2912,0.2119,0.099614,0.376673,0.94309,NS,Concordant Up,FALSE
DENND5A,-0.327,-0.176,0.373729,0.751828,0.894266,NS,Concordant Down,TRUE
VAMP2,-0.2565,-0.2461,0.830263,0.744864,0.9998,NS,Concordant Down,TRUE
AP1B1,0.253,0.2496,0.487587,0.410941,0.999947,NS,Concordant Up,TRUE
PSME4,0.4193,0.0832,0.232318,0.962341,0.57572,NS,Concordant Up,TRUE
NDUFV3,-0.3694,0.1328,0.292022,0.901309,0.214345,NS,Discordant (Young Down / Old Up),FALSE
BST2,-0.372,-0.1301,0.089364,0.821891,0.598675,NS,Concordant Down,TRUE
CORO6,0.3304,0.1714,0.482172,0.872211,0.922591,NS,Concordant Up,TRUE
NIPSNAP3A,0.4814,-0.0203,0.266987,0.998698,0.415987,NS,Discordant (Young Up / Old Down),TRUE
CPT1B,-0.2635,-0.2376,0.366953,0.478302,0.9965,NS,Concordant Down,FALSE
ACADS,-0.159,-0.3399,0.830476,0.330257,0.85532300000000006,NS,Concordant Down,FALSE
NUDT16,-0.3634,-0.1346,0.201682,0.81868,0.694749,NS,Concordant Down,TRUE
