gene,pattern,sort_key,logFC_Aging,logFC_Training_Old,pi_score_Aging,pi_score_Reversal
MYOM3,Rev. (Age Down),1.3528,-1.3528,-0.0325,3e-6,0.002732
MUSTN1,Rev. (Age Down),1.3519,-1.3519,0.7717,3e-5,0
MICOS10,Rev. (Age Down),1.3244,-1.3244,0.162,0,5e-6
TPM1,Rev. (Age Down),1.3009,-1.3009,0.3023,7.8e-5,3.55e-4
TNNI2,Rev. (Age Down),1.2111,-1.2111,0.2681,1.32e-4,6.51e-4
RPS7,Rev. (Age Down),1.208,-1.208,0.2795,0,0
DDI2,Rev. (Age Down),1.186,-1.186,0.1423,1.03e-4,0.00235
TNNT3,Rev. (Age Down),1.1286,-1.1286,0.2925,7.81e-4,0.00173
TPM2,Rev. (Age Down),1.087,-1.087,0.2607,0.002221,0.005338
OBSCN,Rev. (Age Down),1.0582,-1.0582,0.0451,0,1.26e-4
KLHL40,Rev. (Age Down),1.053,-1.053,0.3359,2.21e-4,2.23e-4
GSTM1,Rev. (Age Down),1.0495,-1.0495,0.5979,0.100947,0.027772
MYH2,Rev. (Age Down),1.0412,-1.0412,0.483,0.003257,5.72e-4
TMOD4,Rev. (Age Down),1.0185,-1.0185,0.2437,0.005408,0.012057
BZW1,Rev. (Age Down),1.0169,-1.0169,0.0382,4.3e-5,0.005036
COL3A1,Rev. (Age Down),0.9737,-0.9737,0.3481,0.03739,0.027242
PLEC,Rev. (Age Down),0.9709,-0.9709,-0.1589,0,0.008796
MYL1,Rev. (Age Down),0.9173,-0.9173,0.4077,0.009754,0.002912
NRAP,Rev. (Age Down),0.9163,-0.9163,0.3331,0.001551,8.83e-4
CAPRIN1,Rev. (Age Down),0.9026,-0.9026,0.2793,0.006041,0.003076
MYOF,Rev. (Age Down),0.902,-0.902,0.0607,1.2e-5,0.001348
MRPL9,Rev. (Age Down),0.8971,-0.8971,0.3135,0.008756,0.006017
MYH13,Rev. (Age Down),0.8696,-0.8696,0.2656,0.055403,0.039956
CARM1,Rev. (Age Down),0.8605,-0.8605,0.4093,0.001291,3.21e-4
PYURF,Rev. (Age Down),0.858,-0.858,0.1394,0.007337,0.019017
PREX1,Rev. (Age Down),0.8463,-0.8463,0.4446,0.002254,4.8e-5
FLNB,Rev. (Age Down),0.8178,-0.8178,0.2591,5.39e-4,5.6e-4
SPEG,Rev. (Age Down),0.8093,-0.8093,-0.0992,2.8e-5,0.021313
MT-ND2,Rev. (Age Down),0.8032,-0.8032,0.1433,0.003476,0.010927
FLNC,Rev. (Age Down),0.783,-0.783,0.2128,0.001467,0.002638
VIM,Rev. (Age Down),0.7814,-0.7814,0.1836,0.003548,0.008507
SYNPO2,Rev. (Age Down),0.7762,-0.7762,0.0379,7.26e-4,0.017819
NDUFA1,Rev. (Age Down),0.7739,-0.7739,0.2623,0.050269,0.034553
UCHL1,Rev. (Age Down),0.7721,-0.7721,0.1235,0.015908,0.049566
RPS10,Rev. (Age Down),0.765,-0.765,0.2609,5.25e-4,3.8e-4
MT-CO1,Rev. (Age Down),0.751,-0.751,0.2849,0.013974,0.006013
XIRP1,Rev. (Age Down),0.7443,-0.7443,0.4334,0.031737,0.00416
TNNC2,Rev. (Age Down),0.7311,-0.7311,0.2591,0.056952,0.045734
TES,Rev. (Age Down),0.7284,-0.7284,0.3649,0.135448,0.038247
EMC2,Rev. (Age Down),0.7132,-0.7132,0.1448,0.002462,0.007254
GCLM,Rev. (Age Down),0.7122,-0.7122,0.1356,0.008425,0.020924
SQSTM1,Rev. (Age Down),0.6902,-0.6902,0.1178,1.41e-4,0.001273
