gene,cluster,membership
KRT10,C1,0.5333885103389495
KRT5,C1,0.7683215870495461
PDIA4,C3,0.731296908052967
TPT1,C1,0.9454819438515287
ALAD,C1,0.8757872806760773
LCP1,C3,0.5834752752223262
PLS3,C2,0.7474316764000052
APEH,C1,0.9965117067212564
ETFA,C2,0.9999999289994577
TNNT1,C4,0.9999985303372473
GYS1,C3,0.9978083725755492
PRKAR2A,C1,0.9703942461506138
ENO3,C1,0.5856529148786952
CD59,C1,0.6620740870138817
MIF,C3,0.8584116501685664
CD99,C3,0.9945893024444623
PRKCSH,C1,0.6813235871329434
FDPS,C2,0.5724922394854931
COX7A2,C2,0.9995389241459978
NID1,C4,0.9966614835396281
AKR1A1,C3,0.4960100312344646
PKM,C1,0.9751540569031066
ACYP2,C3,0.992745646494752
HSP90B1,C3,0.9974294652146323
MYL6B,C4,0.9999395379750992
SLC2A4,C2,0.817720712776025
IDE,C3,0.855772919928625
COX6B1,C2,0.9887540452008103
HNRNPL,C4,0.9971417213336915
DARS1,C3,0.9999712278390989
JUP,C2,0.9419337846449001
UQCRB,C2,0.9822080229877161
CPA3,C1,0.9478370544616149
FABP4,C2,0.9075990495911826
GLUL,C2,0.9985128274888925
AKR1B1,C3,0.837225390296044
GSPT1,C3,0.7288421222465841
PGAM2,C1,0.9666462495038876
EZR,C3,0.9997579142619806
UCHL3,C1,0.9869652227777915
NME1,C1,0.7490326143072118
RPS2,C4,0.5502896235617127
RPA2,C4,0.9992628562479846
COX7C,C2,0.999913964222347
NQO2,C4,0.6780695263009008
PFKFB1,C4,0.9397129251401763
CBR1,C3,0.9995191842624251
ANK1,C1,0.9995988835513634
ACADS,C2,0.9999873284766484
PPP3CB,C1,0.8087790930567256
ATP2A2,C3,0.5814055227592466
CD36,C2,0.75672078964718
FAH,C1,0.9824282645593719
YBX3,C3,0.9845960550421463
TMEM11,C2,0.9999970236565432
GOT1,C2,0.9999896202908255
CKMT2,C2,0.99999973314806
NDUFB7,C2,0.9963063225277357
PRKACA,C3,0.8800395954490186
CAPN2,C3,0.9894002024708345
DES,C4,0.9999600872570994
PFKL,C3,0.5860476651756814
LGALS3,C3,0.9961164029205304
FLT1,C4,0.9996462345081031
PSMC3,C1,0.6148441351247557
TCP1,C3,0.9999797474755726
RPL35A,C3,0.8993634851538566
ARF4,C4,0.7893088909409798
RPL7,C4,0.9996596350674225
VCL,C3,0.9942669853346167
RPL17,C4,0.9999136808169995
PGAM1,C1,0.9956540657074352
ATP5PF,C2,0.9995297609288943
TSPAN8,C1,0.962412674014556
TNNI1,C4,0.9999970223368467
NCL,C4,0.9997748710901033
HK1,C2,0.9996444214305805
NDUFV2,C2,0.9986222718793419
SRM,C3,0.9998732576831476
TYMP,C1,0.9053905448875471
ATP2B1,C4,0.7606244119376863
EIF2S2,C4,0.9352118627147913
ANXA7,C1,0.9993181809684695
TPSB2,C4,0.9688426010435153
BTF3,C1,0.8776277700097685
RAB6A,C3,0.9877364587659652
PVALB,C1,0.5721295181583053
PSMB1,C1,0.9658650144479527
COX5A,C2,0.9983368337191544
CAPN3,C4,0.620817249048029
CAST,C3,0.9570297553335404
NEB,C4,0.9996528003182793
PTMS,C3,0.9979207599870984
GSTM3,C1,0.9594399330614942
ATP6V1B2,C1,0.9893806082481907
CSRP1,C3,0.9949754572700573
FLNA,C3,0.9981524222173564
MAOA,C2,0.9998252533797282
ACO1,C2,0.7792002546502761
GPD1,C1,0.999674044536135
VDAC1,C2,0.9578864841656517
BGN,C4,0.8919247839689737
RYR1,C1,0.813020046001277
SDHB,C2,0.9999566240602469
COMT,C1,0.9870267832360929
TGM2,C4,0.6461363101549229
MMUT,C2,0.9918718946198052
OSBP,C1,0.7406284033290512
PCMT1,C4,0.5153158241818866
GART,C3,0.9995570172252537
PAICS,C3,0.9758960318247824
SCP2,C3,0.9250028029775468
UBA1,C1,0.9949803992733606
GPX3,C1,0.9931966376582498
NME2,C4,0.7005325927618439
FDXR,C4,0.9992164602303525
HNRNPA2B1,C4,0.9017616794530581
UQCRC2,C2,0.9999992868363858
FECH,C4,0.8296790381140612
AMPD1,C4,0.9561956352866151
FBLN1,C1,0.8078993462732796
SFPQ,C4,0.9963582087913802
PPIB,C3,0.7963315811433717
S100A1,C1,0.7981106466917157
HRC,C3,0.7832560149585692
ME2,C2,0.8430860963929352
WARS1,C3,0.9415906009152523
RPS3,C3,0.9953210799796784
GCSH,C2,0.9806020818483333
AHCY,C3,0.9988097302000618
CFL1,C1,0.8827828704125826
EIF4B,C3,0.6268513490464458
ATP2B4,C1,0.9766268830089694
CPT2,C2,0.9996898925266251
LAMA2,C4,0.999969798832296
GPT,C2,0.9999902443885845
COX7A1,C2,0.9864498042970563
COX7B,C2,0.9540125698564232
EEF1B2,C3,0.9611866492485834
ATP5PB,C2,0.9990518179044868
ACP1,C1,0.9974698907786267
ACAT1,C2,0.9999971077067634
MYL9,C4,0.8546403639075935
AZGP1,C1,0.9916341659268874
MPST,C1,0.98316602522575125
RPS12,C4,0.6055689893153837
DNAJB2,C3,0.8702103939645255
ATP5F1A,C2,0.9999921366507907
PSMA1,C1,0.9140671212213517
PSMA2,C1,0.9994661199549578
PSMA3,C3,0.9770206817208925
PSMA4,C1,0.9880704295553879
MSN,C3,0.9999467758800836
DDX6,C1,0.9490942553662592
U2AF2,C1,0.9635877631900946
RPL13,C4,0.9998390922134872
IVD,C2,0.9989042460482606
S100A4,C3,0.9987008037060547
HMGB2,C2,0.844414207945626
TARS1,C3,0.9882943230937373
VARS1,C3,0.9999081911024105
EEF1G,C3,0.7868778301485642
PLN,C3,0.9776431769182566
FKBP2,C4,0.9776911239815329
STOM,C1,0.9994861349411297
MAOB,C2,0.999989606354859
YWHAQ,C3,0.9407539212600883
MAPK3,C4,0.415565570629766
RPL10,C4,0.9999888522281486
RPA1,C1,0.7485853866375441
APEX1,C4,0.4793177760148968
CALR,C3,0.9905682023876138
MAP4,C3,0.9998019899632912
CANX,C3,0.9945444100636306
PSMA5,C1,0.9916016355781906
PSMB4,C3,0.6436316181914243
PSMB6,C1,0.8539107893398011
PSMB5,C3,0.7247644207384351
GSTM2,C1,0.9991700306798694
TMOD1,C4,0.9999994799931287
NDUFS1,C2,0.9974949062842855
MAPK1,C3,0.5123852666000309
RBL1,C3,0.6621583498429694
LAP3,C2,0.7673883588292045
CD38,C1,0.9866419816589653
TPP2,C3,0.6364883055254801
IMPA1,C1,0.7149606324074695
