gene,pathway,database,cluster
SUB1,Unmapped,NA,C3
RARS1,Unmapped,NA,C3
PRKAG1,Unmapped,NA,C3
PRKAA2,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
HSPA2,Unmapped,NA,C3
NAPA,Unmapped,NA,C3
PSMD4,Unmapped,NA,C3
CSE1L,Unmapped,NA,C3
VCP,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
NAP1L1,Unmapped,NA,C3
ARPP19,GOBP_CELL_DIVISION,GO:BP,C3
ARPC4,Unmapped,NA,C3
SEC61B,Unmapped,NA,C3
ROMO1,Unmapped,NA,C3
RPS20,Unmapped,NA,C3
S100A10,GOBP_VESICLE_BUDDING_FROM_MEMBRANE,GO:BP,C3
RAB10,GOBP_CELL_DIVISION,GO:BP,C3
ACTR2,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
ACTR1A,Unmapped,NA,C3
SEC61A1,Unmapped,NA,C3
VBP1,Unmapped,NA,C3
B2M,Unmapped,NA,C3
NPC2,Unmapped,NA,C3
UFM1,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
RPS7,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
PSMC1,Unmapped,NA,C3
PSMC5,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
RPS8,Unmapped,NA,C3
RPS15A,Unmapped,NA,C3
RPS16,Unmapped,NA,C3
UBE2G1,Unmapped,NA,C3
YWHAE,HALLMARK_MITOTIC_SPINDLE,Hallmark,C3
RPS23,Unmapped,NA,C3
RPS13,Unmapped,NA,C3
RPS11,Unmapped,NA,C3
TMSB4X,GOBP_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION,GO:BP,C3
PSMC6,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
ETF1,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
RPS4X,Unmapped,NA,C3
RPS6,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
RAN,GOBP_CELL_DIVISION,GO:BP,C3
RAP1A,Unmapped,NA,C3
RPS24,Unmapped,NA,C3
RPS25,Unmapped,NA,C3
RPS26,Unmapped,NA,C3
PPIA,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
RPS27A,Unmapped,NA,C3
AP2B1,Unmapped,NA,C3
DYNLL1,GOBP_MICROTUBULE_BASED_MOVEMENT,GO:BP,C3
DYNLT1,GOBP_MICROTUBULE_BASED_MOVEMENT,GO:BP,C3
YBX1,GOBP_CELL_DIVISION,GO:BP,C3
CSNK2B,Unmapped,NA,C3
EEF1A1,Unmapped,NA,C3
TUBA1B,GOBP_CELL_DIVISION,GO:BP,C3
TUBA4A,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
TUBB4B,GOBP_MICROTUBULE_BASED_MOVEMENT,GO:BP,C3
EIF4G2,Unmapped,NA,C3
CCT2,GOBP_PROTEIN_STABILIZATION,GO:BP,C3
PRKDC,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
MRPS15,Unmapped,NA,C3
ARF5,Unmapped,NA,C3
CLTC,GOBP_CELL_DIVISION,GO:BP,C3
REEP5,Unmapped,NA,C3
HNRNPU,GOBP_MICROTUBULE_BASED_MOVEMENT,GO:BP,C3
SPTBN1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C3
TIAL1,Unmapped,NA,C3
EWSR1,Unmapped,NA,C3
COL7A1,Unmapped,NA,C3
AKAP12,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
GBE1,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
EIF4G1,GOBP_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION,GO:BP,C3
AKR1C1,Unmapped,NA,C3
PLP2,Unmapped,NA,C3
EEF1A2,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
PTPN11,Unmapped,NA,C3
PSME1,GOBP_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION,GO:BP,C3
ZNF33A,Unmapped,NA,C3
CKAP4,Unmapped,NA,C3
KLC1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C3
ARHGAP1,Unmapped,NA,C3
PPID,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
AHNAK,Unmapped,NA,C3
HSPA14,Unmapped,NA,C3
AP1B1,Unmapped,NA,C3
ANK3,GOBP_CELL_DIVISION,GO:BP,C3
HSPB3,Unmapped,NA,C3
STRN3,Unmapped,NA,C3
ACACA,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
GPS1,Unmapped,NA,C3
PRKAA1,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
AIMP2,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
PAK2,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
TRIM28,GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT,GO:BP,C3
UBE2V1,Unmapped,NA,C3
DYNC1I2,GOBP_MICROTUBULE_BASED_MOVEMENT,GO:BP,C3
ILK,Unmapped,NA,C3
PDAP1,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
TMED1,Unmapped,NA,C3
PICALM,GOBP_VESICLE_BUDDING_FROM_MEMBRANE,GO:BP,C3
CAMK2B,Unmapped,NA,C3
CAMK2D,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
DCTN2,Unmapped,NA,C3
CUL2,Unmapped,NA,C3
CUL4A,GOBP_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION,GO:BP,C3
FHL1,GOBP_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION,GO:BP,C3
SPTAN1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C3
SCARB2,Unmapped,NA,C3
IL18,Unmapped,NA,C3
EIF3A,Unmapped,NA,C3
MLEC,Unmapped,NA,C3
DCTN1,GOBP_MICROTUBULE_BASED_MOVEMENT,GO:BP,C3
DYNC1H1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C3
EIF2B1,Unmapped,NA,C3
FLNC,Unmapped,NA,C3
GANAB,Unmapped,NA,C3
SSPN,Unmapped,NA,C3
KPNB1,GOBP_MICROTUBULE_BASED_MOVEMENT,GO:BP,C3
PSME4,Unmapped,NA,C3
SLMAP,Unmapped,NA,C3
PSMD6,Unmapped,NA,C3
