gene,pathway,database,cluster
GSTO1,GOBP_AMIDE_METABOLIC_PROCESS,GO:BP,C3
MRPS25,Unmapped,NA,C3
MRPS5,Unmapped,NA,C3
MRPS36,Unmapped,NA,C3
MRPS21,Unmapped,NA,C3
LACTB,Unmapped,NA,C3
RHOG,Unmapped,NA,C3
CYCS,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
TFAM,GOCC_NUCLEOID,GO:CC,C3
SLC25A3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
PLIN5,Unmapped,NA,C3
ANK2,Unmapped,NA,C3
OGDH,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
COX6A2,Unmapped,NA,C3
ALDH6A1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
BDH1,Unmapped,NA,C3
SLC25A11,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ACY1,Unmapped,NA,C3
SSBP1,GOCC_NUCLEOID,GO:CC,C3
C1QBP,GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS,GO:BP,C3
PMPCA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
GRSF1,GOCC_NUCLEOID,GO:CC,C3
AIMP1,Unmapped,NA,C3
TRAP1,GOCC_ORGANELLE_ENVELOPE_LUMEN,GO:CC,C3
ECH1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
TARDBP,Unmapped,NA,C3
PABPC4,Unmapped,NA,C3
NNT,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
MTX1,GOCC_OUTER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX,GO:CC,C3
ASAH1,GOBP_AMIDE_METABOLIC_PROCESS,GO:BP,C3
AUH,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C3
IDI1,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C3
COX17,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ENDOG,Unmapped,NA,C3
TRIM25,Unmapped,NA,C3
PTGR1,Unmapped,NA,C3
EMC2,Unmapped,NA,C3
PDK1,GOBP_AMIDE_METABOLIC_PROCESS,GO:BP,C3
