PC1,PC2,gene,cluster,membership
1.568264375211154e-4,-0.010997471536488081,DDAH1,C4,0.8134808173200135
-0.004627971289645412,0.017704435718613853,TPPP,C3,0.5818354006019413
-0.0011113557538494725,0.03217964568523424,BAIAP3,C3,0.9997506001656217
-0.011522697908541001,0.01546261046180619,TOMM70,C3,0.9561886774900454
0.014507096682038945,-0.018101314950829134,UFL1,C2,0.9781060543348858
-0.010048871794501537,-0.024791230584782224,TMEM63A,C1,0.9995377428278183
-0.0029109336593422202,0.002893373915562034,PLPBP,C4,0.9999694312969591
0.018276825954573157,-0.01932613506327715,ERLIN2,C2,0.9983524183615128
0.001065936169676018,-0.007160302359667449,ENDOD1,NA,0
-0.015332222418920663,-0.0018346304698067136,SEC31A,C1,0.9979936617441778
0.010413054138109668,0.06026945767870094,NDUFB6,C3,0.9999215822595118
-0.01067177903327124,0.0053225522078723326,MFN2,C1,0.648100393295955
0.018969072804107527,0.053448168196156456,NDUFA3,C3,0.9991180747779881
0.010839401718537393,0.044534698019031954,NDUFB4,C3,0.9993870611811692
0.01890569006406719,0.03700638362659947,NDUFB8,C3,0.9851778943560482
0.01947303989601986,0.0423444674266338,NDUFA7,C3,0.9904071267963687
-0.024623515060638035,-0.006784306808522605,RTN3,C1,0.9871832563951871
-0.00869854015066175,0.03169539230051085,LETM1,C3,0.9999857138801125
-0.004744056389624422,-0.022942233489228497,STBD1,C1,0.9709252864400688
-8.814197141626943e-4,-0.0020061149756269024,ZRANB2,C4,0.999262829211927
0.018656094967262435,0.02232805561721243,EPM2A,NA,0
0.0070583988425039525,-0.010227596771706173,VAPB,C2,0.9851766268376443
0.023056004271814905,0.05546913021664977,NDUFC2,C3,0.997787833534461
0.025079988985854586,0.03718349722267987,NDUFA10,C3,0.8419312811554037
-0.01078143085576153,0.013620252339660917,PGLS,C3,0.7352948801355691
-0.004716593974475131,-0.006547395049822019,TACC2,C1,0.8770404533566051
-0.019043927298719964,0.004944033197829201,LYPLA2,C1,0.9749596220525761
-0.008407222385705033,-0.007341532445803135,IPO7,C1,0.8993615803882271
0.0360928270569394,0.0062166707207425695,ARIH2,C2,0.9997766660179086
-0.015390574544148999,-0.012933160252694411,PGM3,C4,0.9804201557633553
0.010754086862730125,-0.02470373943736978,SVIL,C2,0.6094425861325063
-0.009337800114431387,9.261109507857911e-4,AHSA1,C1,0.9492239248178351
-0.0038535914015755597,-0.009280256487463195,H6PD,C4,0.9989258609818404
