gene,pathway,database,cluster,theme
NDUFA1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
BCAT2,small molecule biosynthetic process,GO:BP,C2,Other
NDUFS4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
AKR7A2,carbohydrate derivative metabolic process,GO:BP,C2,Metabolic & Redox Regulation
TIMM44,mitochondrial transmembrane transport,GO:BP,C2,Mitochondrial & Energy Metabolism
NDUFB5,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
NDUFB3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
NDUFA2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
SLC25A20,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
IDH3B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
NDUFS5,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
OPA1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
PFKFB2,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
NOL3,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
COQ9,HALLMARK_ADIPOGENESIS,Hallmark,C2,Mitochondrial & Energy Metabolism
NDUFS7,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
NDUFS2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
NIPSNAP2,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
NDUFS6,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
CS,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
MTX2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
NDUFB1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
PMPCB,mitochondrial transmembrane transport,GO:BP,C2,Mitochondrial & Energy Metabolism
NDUFS3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ECI2,monocarboxylic acid catabolic process,GO:BP,C2,Other
LYPLA1,organic acid transport,GO:BP,C2,Intracellular Transport & Signaling
SLC25A12,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
SCO1,respiratory chain complex IV assembly,GO:BP,C2,Mitochondrial & Energy Metabolism
ALDH1L1,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
ATP5PD,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ATP5MG,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
TOMM70,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
NDUFB6,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
NDUFA3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
NDUFB4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
NDUFB8,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
NDUFA7,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
LETM1,mitochondrial transmembrane transport,GO:BP,C2,Mitochondrial & Energy Metabolism
NDUFC2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
NDUFA10,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
PGLS,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
MPC2,mitochondrial transmembrane transport,GO:BP,C2,Mitochondrial & Energy Metabolism
ETHE1,modified amino acid metabolic process,GO:BP,C2,Metabolic & Redox Regulation
CAVIN2,HALLMARK_ADIPOGENESIS,Hallmark,C2,Mitochondrial & Energy Metabolism
MLYCD,monocarboxylic acid catabolic process,GO:BP,C2,Other
AIFM1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
NDUFB10,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
TOMM40,mitochondrial transmembrane transport,GO:BP,C2,Mitochondrial & Energy Metabolism
GLUD1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
MT-CO2,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
MT-CO3,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
GOT2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ASS1,amide biosynthetic process,GO:BP,C2,Other
FN1,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
MT-ND1,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
MT-ND2,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
MT-ND3,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
MT-ND4,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
MT-ND5,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
MT-ATP8,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
SOD2,modified amino acid metabolic process,GO:BP,C2,Metabolic & Redox Regulation
SLC25A5,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
PCCA,monocarboxylic acid catabolic process,GO:BP,C2,Other
PCCB,monocarboxylic acid catabolic process,GO:BP,C2,Other
FABP3,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
ATP5F1B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
UQCRH,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
FH,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
SOD3,response to decreased oxygen levels,GO:BP,C2,Other
CTSG,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
PDHA1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
CYC1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ACAA1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
COX6C,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
FDX1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
COX8A,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
DLAT,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
COX5B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
HSPD1,mitochondrial transmembrane transport,GO:BP,C2,Mitochondrial & Energy Metabolism
PDHB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ACADM,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
SLC25A4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
SLC25A6,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
BCKDHA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
COX4I1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ETFA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
FDPS,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
COX7A2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
SLC2A4,carbohydrate derivative metabolic process,GO:BP,C2,Metabolic & Redox Regulation
COX6B1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
UQCRB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
FABP4,HALLMARK_ADIPOGENESIS,Hallmark,C2,Mitochondrial & Energy Metabolism
GLUL,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C2,Mitochondrial & Energy Metabolism
COX7C,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ACADS,monocarboxylic acid catabolic process,GO:BP,C2,Other
CD36,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C2,Mitochondrial & Energy Metabolism
GOT1,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
CKMT2,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
NDUFB7,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ATP5PF,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
HK1,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
NDUFV2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
COX5A,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
MAOA,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C2,Mitochondrial & Energy Metabolism
ACO1,tricarboxylic acid metabolic process,GO:BP,C2,Metabolic & Redox Regulation
VDAC1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
SDHB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
MMUT,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
UQCRC2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ME2,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
CPT2,monocarboxylic acid catabolic process,GO:BP,C2,Other
GPT,small molecule biosynthetic process,GO:BP,C2,Other
COX7A1,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
COX7B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ATP5PB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ACAT1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ATP5F1A,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
IVD,monocarboxylic acid catabolic process,GO:BP,C2,Other
MAOB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
NDUFS1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ALDH4A1,modified amino acid metabolic process,GO:BP,C2,Metabolic & Redox Regulation
ERP29,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C2,Mitochondrial & Energy Metabolism
PRDX3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ATP5F1D,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ECHS1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
PPIF,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
TSPO,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
SDHA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
UQCRC1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ACSL1,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C2,Mitochondrial & Energy Metabolism
SHMT2,mitochondrial translation,GO:BP,C2,Mitochondrial & Energy Metabolism
SPR,small molecule biosynthetic process,GO:BP,C2,Other
HMGCL,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C2,Mitochondrial & Energy Metabolism
ATP5F1C,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
LONP1,response to decreased oxygen levels,GO:BP,C2,Other
DLST,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ETFB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
HSPA9,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
MDH2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
HADHA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ECI1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
LRPPRC,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ACAA2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
CRAT,monocarboxylic acid catabolic process,GO:BP,C2,Other
NAMPT,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
TSFM,mitochondrial translation,GO:BP,C2,Mitochondrial & Energy Metabolism
VDAC2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ACADSB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
MTIF2,mitochondrial translation,GO:BP,C2,Mitochondrial & Energy Metabolism
MAP2K3,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
QARS1,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
UQCRFS1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ATP5PO,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
LSS,small molecule biosynthetic process,GO:BP,C2,Other
IDH2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
MRPL19,mitochondrial translation,GO:BP,C2,Mitochondrial & Energy Metabolism
TUFM,mitochondrial translation,GO:BP,C2,Mitochondrial & Energy Metabolism
ALDH7A1,modified amino acid metabolic process,GO:BP,C2,Metabolic & Redox Regulation
ACADVL,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ACOT2,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C2,Mitochondrial & Energy Metabolism
NDUFV1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
IDH3A,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
CPT1A,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ATP1A2,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
IDH3G,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
GALK1,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
ALDH5A1,glutamine family amino acid metabolic process,GO:BP,C2,Metabolic & Redox Regulation
NDUFA8,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
MAP2K6,organic acid transport,GO:BP,C2,Intracellular Transport & Signaling
MRPL12,mitochondrial translation,GO:BP,C2,Mitochondrial & Energy Metabolism
PPP5C,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
NUBP1,metallo-sulfur cluster assembly,GO:BP,C2,Other
SUCLG1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
HCCS,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
SLC16A1,monocarboxylic acid catabolic process,GO:BP,C2,Other
AK2,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
HADHB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ATP5MF,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
NDUFV3,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
ATP5F1E,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ATP5ME,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
NDUFA6,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
TIMM10,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
PIP4K2B,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
GSTO1,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
MRPS25,mitochondrial translation,GO:BP,C2,Mitochondrial & Energy Metabolism
MRPS5,mitochondrial translation,GO:BP,C2,Mitochondrial & Energy Metabolism
MRPS21,mitochondrial translation,GO:BP,C2,Mitochondrial & Energy Metabolism
CYCS,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
TFAM,mitochondrial RNA metabolic process,GO:BP,C2,Mitochondrial & Energy Metabolism
SLC25A3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
PLIN5,monocarboxylic acid catabolic process,GO:BP,C2,Other
ANK2,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
OGDH,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ALDH6A1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
SLC25A11,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
SSBP1,mitochondrial genome maintenance,GO:BP,C2,Mitochondrial & Energy Metabolism
C1QBP,mitochondrial translation,GO:BP,C2,Mitochondrial & Energy Metabolism
PMPCA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
GRSF1,mitochondrial RNA metabolic process,GO:BP,C2,Mitochondrial & Energy Metabolism
TRAP1,regulation of cellular respiration,GO:BP,C2,Other
ECH1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
TARDBP,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
NNT,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ASAH1,amide biosynthetic process,GO:BP,C2,Other
AUH,monocarboxylic acid catabolic process,GO:BP,C2,Other
IDI1,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C2,Mitochondrial & Energy Metabolism
COX17,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
ENDOG,response to decreased oxygen levels,GO:BP,C2,Other
PDK1,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
PDK2,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
ADIPOQ,monocarboxylic acid catabolic process,GO:BP,C2,Other
ETFDH,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
FXN,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
DECR1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
NDUFA5,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
TST,mitochondrial transmembrane transport,GO:BP,C2,Mitochondrial & Energy Metabolism
NDUFA9,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
HADH,monocarboxylic acid catabolic process,GO:BP,C2,Other
IMMT,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
TIMM50,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
NADK2,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
HSD17B12,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
AGK,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
COQ5,HALLMARK_ADIPOGENESIS,Hallmark,C2,Mitochondrial & Energy Metabolism
COA6,respiratory chain complex IV assembly,GO:BP,C2,Mitochondrial & Energy Metabolism
IBA57,metallo-sulfur cluster assembly,GO:BP,C2,Other
HIBCH,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C2,Mitochondrial & Energy Metabolism
MRPL54,mitochondrial translation,GO:BP,C2,Mitochondrial & Energy Metabolism
SLC27A1,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
HSDL2,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C2,Mitochondrial & Energy Metabolism
TRMT10C,mitochondrial translation,GO:BP,C2,Mitochondrial & Energy Metabolism
MRPL21,mitochondrial translation,GO:BP,C2,Mitochondrial & Energy Metabolism
DGLUCY,glutamine family amino acid metabolic process,GO:BP,C2,Metabolic & Redox Regulation
MAVS,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
DCXR,monocarboxylic acid catabolic process,GO:BP,C2,Other
GLRX5,metallo-sulfur cluster assembly,GO:BP,C2,Other
ISCA2,metallo-sulfur cluster assembly,GO:BP,C2,Other
SLC25A42,modified amino acid metabolic process,GO:BP,C2,Metabolic & Redox Regulation
LDHD,monocarboxylic acid catabolic process,GO:BP,C2,Other
ECHDC2,monocarboxylic acid catabolic process,GO:BP,C2,Other
NAXD,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
MFN1,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
HSCB,metallo-sulfur cluster assembly,GO:BP,C2,Other
ADHFE1,2-oxoglutarate metabolic process,GO:BP,C2,Metabolic & Redox Regulation
SUPV3L1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
MICU2,mitochondrial transmembrane transport,GO:BP,C2,Mitochondrial & Energy Metabolism
GPD1L,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
CHCHD4,mitochondrial transmembrane transport,GO:BP,C2,Mitochondrial & Energy Metabolism
CBR4,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
SMIM20,respiratory chain complex IV assembly,GO:BP,C2,Mitochondrial & Energy Metabolism
MRPL50,mitochondrial translation,GO:BP,C2,Mitochondrial & Energy Metabolism
SCCPDH,carbohydrate derivative metabolic process,GO:BP,C2,Metabolic & Redox Regulation
NAXE,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
CHDH,modified amino acid metabolic process,GO:BP,C2,Metabolic & Redox Regulation
MCU,mitochondrial transmembrane transport,GO:BP,C2,Mitochondrial & Energy Metabolism
PPTC7,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
COQ8A,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
NUBPL,metallo-sulfur cluster assembly,GO:BP,C2,Other
PNPT1,mitochondrial transmembrane transport,GO:BP,C2,Mitochondrial & Energy Metabolism
GPT2,2-oxoglutarate metabolic process,GO:BP,C2,Metabolic & Redox Regulation
SCFD1,response to decreased oxygen levels,GO:BP,C2,Other
RTN4IP1,small molecule biosynthetic process,GO:BP,C2,Other
HSD17B8,small molecule biosynthetic process,GO:BP,C2,Other
CPT1B,monocarboxylic acid catabolic process,GO:BP,C2,Other
GCDH,monocarboxylic acid catabolic process,GO:BP,C2,Other
FAM162A,response to decreased oxygen levels,GO:BP,C2,Other
SLC25A46,respiratory chain complex IV assembly,GO:BP,C2,Mitochondrial & Energy Metabolism
FGGY,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
ACSF2,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
NUDT16,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
MRPL38,mitochondrial translation,GO:BP,C2,Mitochondrial & Energy Metabolism
DNAJA3,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
PTCD3,mitochondrial translation,GO:BP,C2,Mitochondrial & Energy Metabolism
CHMP6,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
SUCLG2,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C2,Mitochondrial & Energy Metabolism
MCEE,monocarboxylic acid catabolic process,GO:BP,C2,Other
MCCC1,HALLMARK_ADIPOGENESIS,Hallmark,C2,Mitochondrial & Energy Metabolism
PCYT2,phosphate-containing compound metabolic process,GO:BP,C2,Metabolic & Redox Regulation
PLIN2,HALLMARK_ADIPOGENESIS,Hallmark,C2,Mitochondrial & Energy Metabolism
PHB2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
HSD17B10,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
DMAC2L,monoatomic ion transport,GO:BP,C2,Intracellular Transport & Signaling
ACO2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C2,Mitochondrial & Energy Metabolism
COQ7,small molecule biosynthetic process,GO:BP,C2,Other
SLC29A1,response to decreased oxygen levels,GO:BP,C2,Other
MICU1,mitochondrial transmembrane transport,GO:BP,C2,Mitochondrial & Energy Metabolism
