set_name,cluster_id,representative_term,cluster_label,n_member_terms,n_genes,member_terms_list
SP_163_SMOOTH_MUSCLE_CONTRACTION,163,REACTOME_SMOOTH_MUSCLE_CONTRACTION,SMOOTH MUSCLE CONTRACTION,3,47,KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_RHOA_SIGNALING_PATHWAY; KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPAA_TO_ITGA_B_RHOGEF_RHOA_SIGNALING_PATHWAY; REACTOME_SMOOTH_MUSCLE_CONTRACTION
SP_164_INTERLEUKIN_10_SIGNALING,164,REACTOME_INTERLEUKIN_10_SIGNALING,INTERLEUKIN 10 SIGNALING,5,88,KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_TO_ANGII_AT1R_NOX2_SIGNALING_PATHWAY; REACTOME_INTERLEUKIN_10_SIGNALING; WP_COVID19_ADVERSE_OUTCOME_PATHWAY; WP_POSTCOVID_NEUROINFLAMMATION; WP_PROSTAGLANDIN_SIGNALING
SP_165_RENINANGIOTENSINALDOSTERONE_SYSTEM_RAAS,165,WP_RENINANGIOTENSINALDOSTERONE_SYSTEM_RAAS,RENINANGIOTENSINALDOSTERONE SYSTEM RAAS,12,69,KEGG_MEDICUS_REFERENCE_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_CA2_CAM_CAMK_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CAMK_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PLCG_CAMK_SIGNALING_PATHWAY; KEGG_MEDICUS_VARIANT_AMPLIFIED_EGFR_TO_PLCG_CAMK_SIGNALING_PATHWAY; KEGG_MEDICUS_VARIANT_AMPLIFIED_PDGFR_TO_PLCG_CAMK_SIGNALING_PATHWAY; KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_CACNA1D_H_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY; KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KCNJ5_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY; KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP1A1_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY; KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP2B3_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY
SP_166_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF,166,REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,ANTIGEN PRESENTATION FOLDING ASSEMBLY AND PEPTIDE LOADING OF CLASS I MHC,3,33,KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES; REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC; REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY
SP_167_PROTEIN_FOLDING,167,REACTOME_PROTEIN_FOLDING,PROTEIN FOLDING,4,107,KEGG_MEDICUS_REFERENCE_ASSEMBLY_AND_TRAFFICKING_OF_TELOMERASE; REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS; REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC; REACTOME_PROTEIN_FOLDING
SP_168_ATR_PATHWAY,168,PID_ATR_PATHWAY,ATR PATHWAY,3,42,KEGG_MEDICUS_REFERENCE_ATR_SIGNALING; PID_ATR_PATHWAY; WP_ATR_SIGNALING
SP_169_REFERENCE_AUTOPHAGOSOME_AND_LYSOSOME_FUSION_TETHERING_FACTOR,169,KEGG_MEDICUS_REFERENCE_AUTOPHAGOSOME_AND_LYSOSOME_FUSION_TETHERING_FACTOR,REFERENCE AUTOPHAGOSOME AND LYSOSOME FUSION TETHERING FACTOR,3,21,KEGG_MEDICUS_REFERENCE_AUTOPHAGOSOME_AND_LYSOSOME_FUSION_TETHERING_FACTOR; KEGG_MEDICUS_REFERENCE_TETHERING_OF_LATE_ENDOSOMES_AND_LYSOSOMES; REACTOME_SARS_COV_2_MODULATES_AUTOPHAGY
SP_170_NEURODEGENERATION_WITH_BRAIN_IRON_ACCUMULATION_NBIA_SUBTYPES,170,WP_NEURODEGENERATION_WITH_BRAIN_IRON_ACCUMULATION_NBIA_SUBTYPES_PATHWAY,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION NBIA SUBTYPES PATHWAY,7,98,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_LC3_II_FORMATION; KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1; WP_AUTOPHAGY; WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONAVIRUSES_AUTOPHAGY; WP_NANOPARTICLE_TRIGGERED_AUTOPHAGIC_CELL_DEATH; WP_NEURODEGENERATION_WITH_BRAIN_IRON_ACCUMULATION_NBIA_SUBTYPES_PATHWAY; WP_PERTURBATIONS_TO_HOSTCELL_AUTOPHAGY_INDUCED_BY_SARSCOV2_PROTEINS
SP_171_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION,171,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PI3P_SYNTHESIS_BY_PI3KC3_C1,REFERENCE AUTOPHAGY VESICLE NUCLEATION ELONGATION MATURATION PI3P SYNTHESIS BY PI3KC3 C1,1,10,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PI3P_SYNTHESIS_BY_PI3KC3_C1
SP_172_REFERENCE_PINK_PARKIN_MEDIATED_AUTOPHAGOSOME_FORMATION,172,KEGG_MEDICUS_REFERENCE_PINK_PARKIN_MEDIATED_AUTOPHAGOSOME_FORMATION,REFERENCE PINK PARKIN MEDIATED AUTOPHAGOSOME FORMATION,4,23,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_SEQUESTOSOME_1_LIKE_RECEPTOR; KEGG_MEDICUS_REFERENCE_PINK_PARKIN_MEDIATED_AUTOPHAGOSOME_FORMATION; KEGG_MEDICUS_REFERENCE_TBK1_MEDIATED_AUTOPHAGOSOME_FORMATION; KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_P62_TO_PINK_PARKIN_MEDIATED_AUTOPHAGOSOME_FORMATION
SP_173_FATTY_ACYL_COA_BIOSYNTHESIS,173,REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,FATTY ACYL COA BIOSYNTHESIS,5,65,KEGG_MEDICUS_REFERENCE_BETA_OXIDATION_ACYL_COA_SYNTHESIS; REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS; REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS; WP_FATTY_ACID_BIOSYNTHESIS; WP_FATTY_ACID_TRANSPORTERS
SP_174_OXYSTEROLS_DERIVED_FROM_CHOLESTEROL,174,WP_OXYSTEROLS_DERIVED_FROM_CHOLESTEROL,OXYSTEROLS DERIVED FROM CHOLESTEROL,9,80,KEGG_MEDICUS_REFERENCE_BILE_ACID_BIOSYNTHESIS; KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS; REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM; REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS; REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL; REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL; REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL; WP_7OXOC_AND_7BETAHC_PATHWAYS; WP_OXYSTEROLS_DERIVED_FROM_CHOLESTEROL
SP_175_REFERENCE_TRANSCRIPTIONAL_ACTIVATION_BY_ACETYLATION_OF_H3K27,175,KEGG_MEDICUS_REFERENCE_TRANSCRIPTIONAL_ACTIVATION_BY_ACETYLATION_OF_H3K27,REFERENCE TRANSCRIPTIONAL ACTIVATION BY ACETYLATION OF H3K27,2,18,KEGG_MEDICUS_REFERENCE_BLOCKING_UBIQUITINATION_OF_H2AK119_BY_CK2; KEGG_MEDICUS_REFERENCE_TRANSCRIPTIONAL_ACTIVATION_BY_ACETYLATION_OF_H3K27
SP_176_REFERENCE_BMP_SIGNALING_PATHWAY_BMP_ANTAGONIST,176,KEGG_MEDICUS_REFERENCE_BMP_SIGNALING_PATHWAY_BMP_ANTAGONIST,REFERENCE BMP SIGNALING PATHWAY BMP ANTAGONIST,1,15,KEGG_MEDICUS_REFERENCE_BMP_SIGNALING_PATHWAY_BMP_ANTAGONIST
SP_177_REFERENCE_CA2_CAM_VGCC_RYR_SIGNALING_PATHWAY,177,KEGG_MEDICUS_REFERENCE_CA2_CAM_VGCC_RYR_SIGNALING_PATHWAY,REFERENCE CA2 CAM VGCC RYR SIGNALING PATHWAY,1,11,KEGG_MEDICUS_REFERENCE_CA2_CAM_VGCC_RYR_SIGNALING_PATHWAY
SP_178_PLATELET_CALCIUM_HOMEOSTASIS,178,REACTOME_PLATELET_CALCIUM_HOMEOSTASIS,PLATELET CALCIUM HOMEOSTASIS,3,33,KEGG_MEDICUS_REFERENCE_CA2_ENTRY_LIGAND_GATED_CA2_CHANNEL; REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS; REACTOME_PLATELET_CALCIUM_HOMEOSTASIS
SP_179_REFERENCE_CA2_ENTRY_VOLTAGE_GATED_CA2_CHANNEL,179,KEGG_MEDICUS_REFERENCE_CA2_ENTRY_VOLTAGE_GATED_CA2_CHANNEL,REFERENCE CA2 ENTRY VOLTAGE GATED CA2 CHANNEL,5,39,KEGG_MEDICUS_REFERENCE_CA2_ENTRY_VOLTAGE_GATED_CA2_CHANNEL; KEGG_MEDICUS_REFERENCE_CARDIAC_TYPE_VGCC_RYR_SIGNALING; KEGG_MEDICUS_REFERENCE_SKELETAL_TYPE_VGCC_RYR_SIGNALING; REACTOME_PHASE_2_PLATEAU_PHASE; REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING
SP_180_COHESIN_COMPLEX_CORNELIA_DE_LANGE_SYNDROME,180,WP_COHESIN_COMPLEX_CORNELIA_DE_LANGE_SYNDROME,COHESIN COMPLEX CORNELIA DE LANGE SYNDROME,10,93,KEGG_MEDICUS_REFERENCE_CD80_CD86_CTLA4_PP2A_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_PROPHASE; KEGG_MEDICUS_REFERENCE_CONDENSIN_LOADING; KEGG_MEDICUS_REFERENCE_PP2A_AKT_SIGNALING_PATHWAY; REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE; REACTOME_CO_INHIBITION_BY_CTLA4; REACTOME_DISASSEMBLY_OF_THE_DESTRUCTION_COMPLEX_AND_RECRUITMENT_OF_AXIN_TO_THE_MEMBRANE; REACTOME_PLATELET_SENSITIZATION_BY_LDL; REACTOME_SIGNALING_BY_CTNNB1_PHOSPHO_SITE_MUTANTS; WP_COHESIN_COMPLEX_CORNELIA_DE_LANGE_SYNDROME
SP_181_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE,181,KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE,REFERENCE ORGANIZATION OF THE OUTER KINETOCHORE,3,30,KEGG_MEDICUS_REFERENCE_CENPE_INTERACTION_WITH_NDC80_COMPLEX; KEGG_MEDICUS_REFERENCE_DEPHOSPHORYLATION_OF_KINETOCHORE; KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE
SP_182_INTERFERONMEDIATED_SIGNALING,182,WP_INTERFERONMEDIATED_SIGNALING,INTERFERONMEDIATED SIGNALING,17,118,KEGG_MEDICUS_REFERENCE_CGAS_STING_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_IFN_RIPK1_3_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_MDA5_IRF7_3_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_RIG_I_IRF7_3_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_RIG_I_NFKB_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_TLR3_IRF7_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_TLR7_8_9_IRF5_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_TLR7_9_IRF7_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_TYPE_I_IFN_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_TYPE_I_INTERFERON_TO_JAK_STAT_SIGNALING_PATHWAY
SP_183_CHOLESTEROL_METABOLISM,183,WP_CHOLESTEROL_METABOLISM,CHOLESTEROL METABOLISM,11,105,KEGG_MEDICUS_REFERENCE_CHOLESTEROL_BIOSYNTHESIS; KEGG_MEDICUS_REFERENCE_MEVALONATE_PATHWAY; KEGG_STEROID_BIOSYNTHESIS; KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS; REACTOME_CHOLESTEROL_BIOSYNTHESIS; WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY; WP_CHOLESTEROL_METABOLISM; WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS; WP_CHOLESTEROL_SYNTHESIS_DISORDERS; WP_ENTEROCYTE_CHOLESTEROL_METABOLISM
SP_184_REFERENCE_COPI_VESICLE_FORMATION,184,KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION,REFERENCE COPI VESICLE FORMATION,1,23,KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION
SP_185_REFERENCE_COPII_VESICLE_FORMATION,185,KEGG_MEDICUS_REFERENCE_COPII_VESICLE_FORMATION,REFERENCE COPII VESICLE FORMATION,1,12,KEGG_MEDICUS_REFERENCE_COPII_VESICLE_FORMATION
SP_186_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUIT,186,KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119,REFERENCE GENE SILENCING BY METHYLATION OF H3K27 AND UBIQUITINATION OF H2AK119,3,56,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119; KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119; REACTOME_SUMOYLATION_OF_DNA_METHYLATION_PROTEINS
SP_187_REFERENCE_DOUBLE_STRAND_BREAK_SIGNALING,187,KEGG_MEDICUS_REFERENCE_DOUBLE_STRAND_BREAK_SIGNALING,REFERENCE DOUBLE STRAND BREAK SIGNALING,2,19,KEGG_MEDICUS_REFERENCE_DOUBLE_STRAND_BREAK_SIGNALING; WP_SMC1SMC3_ROLE_IN_DNA_DAMAGE_CORNELIA_DE_LANGE_SYNDROME
SP_188_SIGNALING_BY_PDGF,188,REACTOME_SIGNALING_BY_PDGF,SIGNALING BY PDGF,24,197,KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_JNK_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_PI3K_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_RALGDS_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_RASSF1_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_FLT3LG_FLT3_RAS_PI3K_SIGNALING_PATHWAY; KEGG_MEDICUS_VARIANT_DUPLICATION_OR_MUTATION_ACTIVATED_FLT3_TO_RAS_PI3K_SIGNALING_PATHWAY; PID_EPO_PATHWAY; PID_ERBB1_INTERNALIZATION_PATHWAY; PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY; PID_TCPTP_PATHWAY
SP_189_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,189,REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,AEROBIC RESPIRATION AND RESPIRATORY ELECTRON TRANSPORT,13,316,KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I; KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS; KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I; KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I; KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I; KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I; KEGG_OXIDATIVE_PHOSPHORYLATION; REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT; REACTOME_COMPLEX_I_BIOGENESIS; REACTOME_RESPIRATORY_ELECTRON_TRANSPORT
SP_190_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB,190,WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB,16P122 COPY NUMBER VARIATION SYNDROME 520KB,5,71,KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_III; KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_ELECTRON_TRANSFER_IN_COMPLEX_III; REACTOME_COMPLEX_III_ASSEMBLY; WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB; WP_MITOCHONDRIAL_COMPLEX_III_ASSEMBLY
SP_191_SIGNALING_BY_FGFR,191,REACTOME_SIGNALING_BY_FGFR,SIGNALING BY FGFR,42,176,KEGG_MEDICUS_REFERENCE_FGF_FGFR_PI3K_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_FGF_FGFR_RAS_ERK_SIGNALING_PATHWAY; PID_FGF_PATHWAY; REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR1; REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR2; REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR3; REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR4; REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION; REACTOME_FGFR1C_LIGAND_BINDING_AND_ACTIVATION; REACTOME_FGFR2_LIGAND_BINDING_AND_ACTIVATION
SP_192_TP53_REGULATES_METABOLIC_GENES,192,REACTOME_TP53_REGULATES_METABOLIC_GENES,TP53 REGULATES METABOLIC GENES,9,157,KEGG_MEDICUS_REFERENCE_FLCN_MTORC1_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_GATOR1_MTORC1_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_TSC1_2_MTORC1_SIGNALING_PATHWAY; PID_MTOR_4PATHWAY; REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK; REACTOME_MTOR_SIGNALLING; REACTOME_MTORC1_MEDIATED_SIGNALLING; REACTOME_TP53_REGULATES_METABOLIC_GENES; WP_TARGET_OF_RAPAMYCIN_SIGNALING
SP_193_MAPK_FAMILY_SIGNALING_CASCADES,193,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,MAPK FAMILY SIGNALING CASCADES,9,521,KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_PI3K_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL; KEGG_MEDICUS_REFERENCE_RTK_PLCG_ITPR_SIGNALING_PATHWAY; REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS; REACTOME_MAPK_FAMILY_SIGNALING_CASCADES; REACTOME_MAPK1_MAPK3_SIGNALING; REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK
SP_194_GLUTATHIONE_METABOLISM,194,WP_GLUTATHIONE_METABOLISM,GLUTATHIONE METABOLISM,2,23,KEGG_MEDICUS_REFERENCE_GLUTATHIONE_BIOSYNTHESIS; WP_GLUTATHIONE_METABOLISM
SP_195_GPR143_IN_MELANOCYTES_AND_RETINAL_PIGMENT_EPITHELIUM_CELLS,195,WP_GPR143_IN_MELANOCYTES_AND_RETINAL_PIGMENT_EPITHELIUM_CELLS,GPR143 IN MELANOCYTES AND RETINAL PIGMENT EPITHELIUM CELLS,12,77,KEGG_MEDICUS_REFERENCE_GNRH_GNRHR_PLCB_PKC_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_KISS1_KISS1R_PLCB_PKC_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_MGLUR1_TRPC3_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_TAC3_TACR3_PLC_PKC_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_TRH_TRHR_PLCB_PKC_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_TSH_DUOX2_TG_SIGNALING_PATHWAY; KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_PRKCG_TO_MGLUR1_TRPC3_SIGNALING_PATHWAY; KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SPTBN2_TO_MGLUR1_TRPC3_SIGNALING_PATHWAY; REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION; REACTOME_FREE_FATTY_ACIDS_REGULATE_INSULIN_SECRETION
SP_196_JAKSTAT_SIGNALING_IN_THE_REGULATION_OF_BETA_CELLS,196,WP_JAKSTAT_SIGNALING_IN_THE_REGULATION_OF_BETA_CELLS,JAKSTAT SIGNALING IN THE REGULATION OF BETA CELLS,6,63,KEGG_MEDICUS_REFERENCE_HORMONE_LIKE_CYTOKINE_TO_JAK_STAT_SIGNALING_PATHWAY; REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING; REACTOME_PROLACTIN_RECEPTOR_SIGNALING; REACTOME_SIGNALING_BY_LEPTIN; WP_JAKSTAT_SIGNALING_IN_THE_REGULATION_OF_BETA_CELLS; WP_LEPTININSULIN_SIGNALING_OVERLAP
SP_197_RALA_DOWNSTREAM_REGULATED_GENES,197,WP_RALA_DOWNSTREAM_REGULATED_GENES,RALA DOWNSTREAM REGULATED GENES,2,19,KEGG_MEDICUS_REFERENCE_IGG_FCGR_RAC_SIGNALING_PATHWAY; WP_RALA_DOWNSTREAM_REGULATED_GENES
SP_198_IL23_PATHWAY,198,PID_IL23_PATHWAY,IL23 PATHWAY,3,45,KEGG_MEDICUS_REFERENCE_IL12_23_TO_JAK_STAT_SIGNALING_PATHWAY; PID_IL23_PATHWAY; WP_PSORIASIS_MECHANISMS_AND_THERAPIES
SP_199_REFERENCE_IL6_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY,199,KEGG_MEDICUS_REFERENCE_IL6_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY,REFERENCE IL6 FAMILY TO JAK STAT SIGNALING PATHWAY,8,52,KEGG_MEDICUS_REFERENCE_IL6_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY; PID_IL27_PATHWAY; REACTOME_IL_6_TYPE_CYTOKINE_RECEPTOR_LIGAND_INTERACTIONS; REACTOME_INTERLEUKIN_27_SIGNALING; REACTOME_INTERLEUKIN_35_SIGNALLING; REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING; REACTOME_INTERLEUKIN_6_SIGNALING; REACTOME_MAPK3_ERK1_ACTIVATION
SP_200_REFERENCE_LECTIN_PATHWAY_OF_COMPLEMENT_CASCADE_C4_C2_TO_C3_C,200,KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COMPLEMENT_CASCADE_C4_C2_TO_C3_CONVERTASE_FORMATION,REFERENCE LECTIN PATHWAY OF COMPLEMENT CASCADE C4 C2 TO C3 CONVERTASE FORMATION,2,14,KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_FIBRINOGEN_TO_FIBRIN; KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COMPLEMENT_CASCADE_C4_C2_TO_C3_CONVERTASE_FORMATION
SP_201_REFERENCE_LESION_BYPASS_BY_TLS_AND_DSB_FORMATION,201,KEGG_MEDICUS_REFERENCE_LESION_BYPASS_BY_TLS_AND_DSB_FORMATION,REFERENCE LESION BYPASS BY TLS AND DSB FORMATION,1,15,KEGG_MEDICUS_REFERENCE_LESION_BYPASS_BY_TLS_AND_DSB_FORMATION
SP_202_REFERENCE_LOADING_OF_THE_SMC5_SMC6_COMPLEX,202,KEGG_MEDICUS_REFERENCE_LOADING_OF_THE_SMC5_SMC6_COMPLEX,REFERENCE LOADING OF THE SMC5 SMC6 COMPLEX,1,11,KEGG_MEDICUS_REFERENCE_LOADING_OF_THE_SMC5_SMC6_COMPLEX
SP_203_REFERENCE_VGCC_CA2_APOPTOTIC_PATHWAY,203,KEGG_MEDICUS_REFERENCE_VGCC_CA2_APOPTOTIC_PATHWAY,REFERENCE VGCC CA2 APOPTOTIC PATHWAY,17,55,KEGG_MEDICUS_REFERENCE_MACHR_CA2_APOPTOTIC_PATHWAY; KEGG_MEDICUS_REFERENCE_MGLUR5_CA2_APOPTOTIC_PATHWAY; KEGG_MEDICUS_REFERENCE_VGCC_CA2_APOPTOTIC_PATHWAY; KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABBERANT_ATXN2_3_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY; KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_MACHR_CA2_APOPTOTIC_PATHWAY; KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY; KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_TRANSPORT_OF_CALCIUM; KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_VGCC_CA2_APOPTOTIC_PATHWAY_N01004; KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_VGCC_CA2_APOPTOTIC_PATHWAY_N01006; KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY
