gs_name,cluster_id,n_fg_genes,cluster_label,figure
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,119,3,REGULATION OF INSULIN LIKE GROWTH FACTOR IGF TRANS,F3
REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION,120,2,REGULATION OF PLK1 ACTIVITY AT G2 M TRANSITION,F3
REACTOME_RESPONSE_TO_METAL_IONS,121,2,RESPONSE TO METAL IONS,F3
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,122,15,SIGNALING BY RHO GTPASES MIRO GTPASES AND RHOBTB3,F3
REACTOME_SMOOTH_MUSCLE_CONTRACTION,123,3,SMOOTH MUSCLE CONTRACTION,F3
REACTOME_RHOBTB_GTPASE_CYCLE,124,2,RHOBTB GTPASE CYCLE,F3
REACTOME_RHOD_GTPASE_CYCLE,125,5,RHOD GTPASE CYCLE,F3
REACTOME_RHOV_GTPASE_CYCLE,126,2,RHOV GTPASE CYCLE,F3
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL,127,2,RRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL,F3
REACTOME_SARS_COV_2_ACTIVATES_MODULATES_INNATE_AND_ADAPTIVE_IMMUNE_RESPONSES,128,2,SARS COV 2 ACTIVATES MODULATES INNATE AND ADAPTIVE,F3
REACTOME_SENSORY_PERCEPTION,129,2,SENSORY PERCEPTION,F3
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX,130,2,SIGNALING BY TGF BETA RECEPTOR COMPLEX,F3
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,131,3,SLC MEDIATED TRANSMEMBRANE TRANSPORT,F3
REACTOME_SPHINGOLIPID_METABOLISM,132,2,SPHINGOLIPID METABOLISM,F3
REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY,133,2,TYPE I HEMIDESMOSOME ASSEMBLY,F3
SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES,134,4,SIG REGULATION OF THE ACTIN CYTOSKELETON BY RHO GT,F3
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME,135,2,17Q12 COPY NUMBER VARIATION SYNDROME,F3
WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME,136,2,22Q112 COPY NUMBER VARIATION SYNDROME,F3
WP_7Q1123_COPY_NUMBER_VARIATION_SYNDROME,137,3,7Q1123 COPY NUMBER VARIATION SYNDROME,F3
WP_8P231_COPY_NUMBER_VARIATION_SYNDROME,138,2,8P231 COPY NUMBER VARIATION SYNDROME,F3
WP_ADHD_AND_AUTISM_ASD_PATHWAYS,139,6,ADHD AND AUTISM ASD PATHWAYS,F3
WP_ADIPOGENESIS,140,3,ADIPOGENESIS,F3
WP_AFFECTED_PATHWAYS_IN_DUCHENNE_MUSCULAR_DYSTROPHY,141,2,AFFECTED PATHWAYS IN DUCHENNE MUSCULAR DYSTROPHY,F3
WP_AFLATOXIN_B1_METABOLISM,142,2,AFLATOXIN B1 METABOLISM,F3
WP_ALLOGRAFT_REJECTION,143,2,ALLOGRAFT REJECTION,F3
WP_AMINO_ACID_METABOLISM,144,8,AMINO ACID METABOLISM,F3
WP_ANDROGEN_RECEPTOR_SIGNALING,145,3,ANDROGEN RECEPTOR SIGNALING,F3
WP_ARSENIC_METABOLISM_AND_REACTIVE_OXYGEN_SPECIES_GENERATION,146,2,ARSENIC METABOLISM AND REACTIVE OXYGEN SPECIES GEN,F3
WP_PROLACTIN_SIGNALING,147,4,PROLACTIN SIGNALING,F3
WP_CAMKK2_PATHWAY,148,2,CAMKK2 PATHWAY,F3
WP_CARDIOMYOCYTE_SIGNALING_CONVERGING_ON_TITIN,149,2,CARDIOMYOCYTE SIGNALING CONVERGING ON TITIN,F3
WP_CILIARY_LANDSCAPE,150,6,CILIARY LANDSCAPE,F3
WP_CIRCADIAN_RHYTHM_GENES,151,2,CIRCADIAN RHYTHM GENES,F3
WP_CLOCKCONTROLLED_AUTOPHAGY_IN_BONE_METABOLISM,152,2,CLOCKCONTROLLED AUTOPHAGY IN BONE METABOLISM,F3
WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY,153,3,COMPLEMENT SYSTEM IN NEURONAL DEVELOPMENT AND PLAS,F3
WP_COPPER_HOMEOSTASIS,154,2,COPPER HOMEOSTASIS,F3
WP_DISORDERS_OF_MITOCHONDRIAL_HOMEOSTATIS_DYNAMICS_PROTEIN_IMPORT_AND_QUALITY_CONTROL,155,5,DISORDERS OF MITOCHONDRIAL HOMEOSTATIS DYNAMICS PR,F3
WP_ENVELOPE_PROTEINS_AND_THEIR_POTENTIAL_ROLES_IN_EDMD_PHYSIOPATHOLOGY,156,4,ENVELOPE PROTEINS AND THEIR POTENTIAL ROLES IN EDM,F3
WP_EXERCISEINDUCED_CIRCADIAN_REGULATION,157,2,EXERCISEINDUCED CIRCADIAN REGULATION,F3
WP_FATTY_ACID_AND_LIPOPROTEIN_TRANSPORT_IN_HEPATOCYTES,158,11,FATTY ACID AND LIPOPROTEIN TRANSPORT IN HEPATOCYTE,F3
WP_FEMALE_STEROID_HORMONES_IN_CARDIOMYOCYTE_ENERGY_METABOLISM,159,2,FEMALE STEROID HORMONES IN CARDIOMYOCYTE ENERGY ME,F3
WP_FERROPTOSIS,160,3,FERROPTOSIS,F3
WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING,161,2,FOCAL ADHESION PI3KAKTMTORSIGNALING,F3
WP_TRANSSULFURATION_ONECARBON_METABOLISM_AND_RELATED_PATHWAYS,162,4,TRANSSULFURATION ONECARBON METABOLISM AND RELATED ,F3
WP_G13_SIGNALING,163,4,G13 SIGNALING,F3
WP_GABA_METABOLISM_AKA_GHB,164,3,GABA METABOLISM AKA GHB,F3
WP_GLYCINE_METABOLISM_INCLUDING_IMDS,165,2,GLYCINE METABOLISM INCLUDING IMDS,F3
WP_HDAC6_INTERACTIONS_IN_THE_CENTRAL_NERVOUS_SYSTEM,166,2,HDAC6 INTERACTIONS IN THE CENTRAL NERVOUS SYSTEM,F3
WP_HIPPO_SIGNALING_REGULATION,167,2,HIPPO SIGNALING REGULATION,F3
WP_IL18_SIGNALING,168,6,IL18 SIGNALING,F3
WP_LUNG_FIBROSIS,169,2,LUNG FIBROSIS,F3
WP_MESODERMAL_COMMITMENT_PATHWAY,170,2,MESODERMAL COMMITMENT PATHWAY,F3
WP_MIRTARGETED_GENES_IN_ADIPOCYTES,171,2,MIRTARGETED GENES IN ADIPOCYTES,F3
WP_MIRTARGETED_GENES_IN_LYMPHOCYTES,172,14,MIRTARGETED GENES IN LYMPHOCYTES,F3
WP_MRNA_PROCESSING,173,2,MRNA PROCESSING,F3
WP_PRIMARY_FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_FSGS,174,3,PRIMARY FOCAL SEGMENTAL GLOMERULOSCLEROSIS FSGS,F3
WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING,175,6,NETWORK MAP OF SARSCOV2 SIGNALING,F3
WP_NUCLEAR_RECEPTORS_METAPATHWAY,176,11,NUCLEAR RECEPTORS METAPATHWAY,F3
WP_PHOTODYNAMIC_THERAPYINDUCED_NFE2L2_NRF2_SURVIVAL_SIGNALING,177,3,PHOTODYNAMIC THERAPYINDUCED NFE2L2 NRF2 SURVIVAL S,F3
WP_OPIOID_RECEPTOR_PATHWAYS,178,3,OPIOID RECEPTOR PATHWAYS,F3
WP_OSTEOARTHRITIC_CHONDROCYTE_HYPERTROPHY,179,2,OSTEOARTHRITIC CHONDROCYTE HYPERTROPHY,F3
WP_OVERLAP_BETWEEN_SIGNAL_TRANSDUCTION_PATHWAYS_CONTRIBUTING_TO_LMNA_LAMINOPATHIES,180,3,OVERLAP BETWEEN SIGNAL TRANSDUCTION PATHWAYS CONTR,F3
WP_OXIDATIVE_DAMAGE_RESPONSE,181,2,OXIDATIVE DAMAGE RESPONSE,F3
WP_PATHWAYS_INTO_METHIONINE_AND_FOLATE_CYCLES,182,2,PATHWAYS INTO METHIONINE AND FOLATE CYCLES,F3
WP_SELENIUM_METABOLISM_AND_SELENOPROTEINS,183,3,SELENIUM METABOLISM AND SELENOPROTEINS,F3
WP_SLC25A46_PATHWAY,184,4,SLC25A46 PATHWAY,F3
WP_SPINAL_CORD_INJURY,185,2,SPINAL CORD INJURY,F3
WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS,186,8,SUDDEN INFANT DEATH SYNDROME SIDS SUSCEPTIBILITY P,F3
WP_THERMOGENESIS,187,2,THERMOGENESIS,F3
WP_TRANSLATION_FACTORS,188,2,TRANSLATION FACTORS,F3
WP_TRYPTOPHAN_METABOLISM,189,3,TRYPTOPHAN METABOLISM,F3
WP_VEGFAVEGFR2_SIGNALING,190,12,VEGFAVEGFR2 SIGNALING,F3
