gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
CILP,0.243,0.8355,0.626583,0.69598,NS
NT5C1A,0.2614,0.7707,0.628823,0.725071,NS
MRPL21,-0.2976,0.6748,0.629725,0.76455,NS
ACSS2,-0.1664,1.2069,0.629821,0.558081,NS
PHPT1,-0.1651,1.2156,0.629855,0.555842,NS
EWSR1,-0.1685,1.191,0.629951,0.559534,NS
S100A9,0.3434,0.5842,0.630061,0.829313,NS
TSNAX,-0.2332,0.8601,0.630155,0.684804,NS
PEX11B,-0.2542,0.788,0.630559,0.719452,NS
RPL35,0.2439,0.8133,0.63335,0.704773,NS
LYRM7,-0.2111,0.9366,0.634312,0.661154,NS
NEXN,0.2798,0.7048,0.635006,0.756765,NS
H1-0,-0.2363,0.8328,0.635632,0.69598,NS
SNRPD3,0.1735,1.1294,0.636895,0.591956,NS
PPP1R3A,0.1811,1.0787,0.637692,0.60643,NS
UBE2I,-0.2243,0.8698,0.638183,0.683065,NS
CMBL,-0.2064,0.942,0.639076,0.661154,NS
PACSIN3,0.1915,1.011,0.640333,0.635411,NS
PPP3CB,-0.1774,1.0882,0.641155,0.603549,NS
CAPRIN1,0.2791,0.6857,0.643585,0.756765,NS
MAOB,-0.1829,1.0443,0.644192,0.624496,NS
SGCB,-0.1493,1.2773,0.644522,0.547798,NS
AAMP,0.24,0.792,0.645533,0.71432,NS
NTMT1,0.228,0.8331,0.645745,0.69598,NS
DDOST,-0.1582,1.1978,0.64648,0.558081,NS
GDI1,-0.1341,1.4116,0.646668,0.511287,NS
TXNRD1,-0.1479,1.2785,0.64695,0.547798,NS
FTL,0.4101,0.4573,0.649323,0.860359,NS
GPX1,-0.1422,1.3182,0.649439,0.537797,NS
PRDX3,0.1362,1.3669,0.651294,0.517433,NS
HUWE1,0.2152,0.8645,0.651616,0.683065,NS
EPB41,0.2647,0.6971,0.653867,0.756765,NS
VDAC3,-0.1926,0.9572,0.654127,0.654846,NS
LANCL2,-0.1744,1.0543,0.654915,0.623669,NS
MRPL9,0.3128,0.5874,0.655045,0.828935,NS
TMLHE,0.277,0.6628,0.655238,0.767674,NS
PTGR1,0.2729,0.6708,0.656122,0.766587,NS
HBS1L,0.1658,1.1026,0.656466,0.600497,NS
SNU13,-0.1857,0.9823,0.656987,0.648997,NS
HYOU1,0.1829,0.9974,0.657008,0.645573,NS
HK1,0.1464,1.2408,0.658154,0.552906,NS
TMCO1,-0.1788,1.0096,0.659949,0.635411,NS
CCT3,0.1339,1.3462,0.660239,0.52909,NS
ENO2,0.1923,0.9367,0.660536,0.661154,NS
FHL3,-0.2043,0.8782,0.66163400000000006,0.683065,NS
SUOX,-0.1836,0.9737,0.662548,0.654382,NS
GSK3A,-0.1916,0.9316,0.662974,0.661154,NS
CLIC5,-0.1707,1.0438,0.663534,0.624496,NS
ABCE1,0.1935,0.914,0.665408,0.673048,NS
RNF7,-0.159,1.1112,0.665701,0.59869000000000006,NS
CAMK2A,0.2271,0.7754,0.666667,0.725071,NS
GNB1,-0.1522,1.1527,0.667608,0.581404,NS
JUP,0.2504,0.6974,0.668949,0.756765,NS
TMEM43,0.2012,0.8652,0.669788,0.683065,NS
RPL19,0.2165,0.8012,0.670743,0.712617,NS
FKBP5,-0.175,0.9898,0.67104,0.64815,NS
SORD,-0.2185,0.7929,0.67108,0.71432,NS
SCARB2,-0.1806,0.9566,0.671752,0.654846,NS
MYH3,-0.4081,0.4229,0.672077,0.870328,NS
HSPA14,0.1949,0.8851,0.672175,0.683065,NS
SOD1,-0.1617,1.0638,0.672938,0.615081,NS
TPM4,0.201,0.8549,0.67318,0.687785,NS
TMEM109,-0.1844,0.9293,0.67394,0.661154,NS
PFDN5,-0.1542,1.1079,0.674717,0.599614,NS
HSPB7,0.2023,0.8391,0.676398,0.69598,NS
ALDH9A1,-0.1663,1.0195,0.676738,0.635411,NS
CALM1,0.1591,1.0652,0.67685,0.615081,NS
SHMT1,-0.2462,0.6867,0.677552,0.756765,NS
USP47,-0.1732,0.9708,0.678963,0.654574,NS
HSPBP1,-0.1952,0.8615,0.679021,0.684804,NS
ARPC1A,-0.1536,1.0935,0.679229,0.603062,NS
PPP1CC,-0.2235,0.7507,0.679583,0.729744,NS
QKI,0.2432,0.6883,0.68019,0.756765,NS
TXNDC17,0.1452,1.1486,0.681078,0.581404,NS
GPHN,-0.1922,0.8648,0.681995,0.683065,NS
CD47,-0.189,0.8766,0.682806,0.683065,NS
CHCHD2,0.2379,0.6924,0.684319,0.756765,NS
CTSD,-0.1574,1.0432,0.68522400000000006,0.624496,NS
SLC29A1,-0.1834,0.8938,0.685595,0.683065,NS
RTCB,0.1373,1.1939,0.685662,0.558081,NS
TUBA1B,0.1551,1.0534,0.686523,0.623669,NS
ARPC5L,0.2134,0.7643,0.686856,0.726995,NS
RDH13,0.2226,0.7298,0.687902,0.74412,NS
CACNA1S,-0.1726,0.9387,0.688604,0.661154,NS
NAA10,0.1727,0.9274,0.691586,0.661154,NS
SSR4,0.2299,0.6961,0.691759,0.756765,NS
ENO3,0.1459,1.0968,0.691844,0.603062,NS
TOR1AIP1,-0.2102,0.7572,0.693209,0.726995,NS
DHCR24,0.2211,0.7189,0.693556,0.751811,NS
WDR77,-0.1765,0.8912,0.696217,0.683065,NS
MYOZ2,-0.414,0.3778,0.697585,0.881884,NS
RPS15A,0.1582,0.9867,0.698082,0.64815,NS
CPT1A,-0.22,0.7058,0.699397,0.756765,NS
TUBA4A,0.1649,0.9412,0.699481,0.661154,NS
MAOA,-0.1941,0.7988,0.69977,0.714061,NS
FAM120A,0.1685,0.9195,0.699935,0.668177,NS
PDIA3,0.135,1.1468,0.700117,0.581404,NS
RABGGTA,0.159,0.9736,0.700121,0.654382,NS
GALK1,-0.187,0.8266,0.700551,0.697215,NS
MT-ND4,-0.2174,0.7108,0.700618,0.756765,NS
ACTN4,0.3669,0.4207,0.700902,0.870328,NS
RAB5B,-0.1537,1.0024,0.701268,0.642046,NS
FH,0.1233,1.2482,0.70157,0.552906,NS
ANK1,0.2465,0.6232,0.7021,0.800231,NS
ANXA1,0.2386,0.6438,0.702115,0.781612,NS
RBP4,-0.2665,0.5762,0.702177,0.829313,NS
