module,uniprot_id,gene,kME,kME_ci_lo,kME_ci_hi,kME_p,GS_pheno,GS,GS_ci_lo,GS_ci_hi,GS_p,GS_n
green,P17661,DES,0.8597,0.7767,0.9134,3.69085624260274e-19,VL Thickness,0.376,0.1393,0.572,0.002597603337704641,62
green,P10828,THRB,0.856,0.7712,0.911,7.58849037966698e-19,VL Thickness,0.3492,0.1089,0.5509,0.005407460907220098,62
green,Q5TDH0,DDI2,0.8504,0.7626,0.9074,2.2038854230706362e-18,VL Thickness,0.316,0.072,0.5244,0.012335476717573611,62
green,P68133,ACTA1,0.8501,0.7621,0.9072,2.3534814098636795e-18,VL Thickness,0.2372,-0.0133,0.4598,0.06337737056736116,62
green,P02461,COL3A1,0.8444,0.7535,0.9036,6.609979340633357e-18,VL Thickness,0.2774,0.0296,0.493,0.02907038350360295,62
green,P54296,MYOM2,0.8361,0.7412,0.8983,2.7345723205438812e-17,VL Thickness,0.3173,0.0733,0.5254,0.011976658405946404,62
green,P02452,COL1A1,0.8252,0.7249,0.8913,1.5991161021604425e-16,VL Thickness,0.2337,-0.0171,0.4568,0.06759043076009622,62
green,Q9NR12,PDLIM7,0.8242,0.7234,0.8906,1.875308816134643e-16,VL Thickness,0.4407,0.2146,0.622,3.3678768405359113e-4,62
green,Q6PK04,CCDC137,0.8174,0.7133,0.8862,5.279591357282955e-16,VL Thickness,0.1965,-0.056,0.4254,0.1258292605391091,62
green,P08123,COL1A2,0.8086,0.7003,0.8806,1.8888753547935193e-15,VL Thickness,0.1978,-0.0546,0.4265,0.12322142342903064,62
green,P28289,TMOD1,0.795,0.6803,0.8717,1.2082910735195716e-14,VL Thickness,0.3949,0.161,0.5868,0.0014915505179616015,62
green,P17948,FLT1,0.7935,0.6781,0.8707,1.4710745124572136e-14,VL Thickness,0.1608,-0.0927,0.3947,0.21183028987217828,62
black,P62750,RPL23A,0.9151,0.8625,0.9482,2.3980870649083413e-25,Age,-0.47,-0.6442,-0.2496,1.1587091020406235e-4,62
black,P18621,RPL17,0.9081,0.8515,0.9438,2.3029218406063935e-24,Age,-0.4783,-0.6504,-0.2595,8.428388255060959e-5,62
black,P61513,RPL37A,0.887,0.8186,0.9306,8.4538488776695565e-22,Age,-0.3849,-0.579,-0.1495,0.002009658646327874,62
black,P35268,RPL22,0.8611,0.7788,0.9142,2.830592383642479e-19,Age,-0.3861,-0.5799,-0.1509,0.0019401127062050197,62
black,P84098,RPL19,0.8555,0.7703,0.9106,8.514579356184823e-19,Age,-0.3269,-0.5332,-0.084,0.009496195937839891,62
black,P46777,RPL5,0.8554,0.7701,0.9106,8.645673397697215e-19,Age,-0.2874,-0.5012,-0.0406,0.023492258504334628,62
black,P46779,RPL28,0.849,0.7605,0.9066,2.8498673798543662e-18,Age,-0.4306,-0.6143,-0.2026,4.7715715870373215e-4,62
black,Q92614,MYO18A,0.847,0.7575,0.9053,4.127479574476856e-18,Age,-0.2867,-0.5006,-0.0398,0.023881664421333493,62
black,O75569,PRKRA,0.8443,0.7535,0.9036,6.63851872029799e-18,Age,-0.1273,-0.3654,0.1265,0.32414110797972695,62
black,Q9UQ80,PA2G4,0.8433,0.7519,0.9029,7.970641467210704e-18,Age,-0.1238,-0.3623,0.13,0.33790317026139616,62
black,P62906,RPL10A,0.8369,0.7423,0.8988,2.4031857466673016e-17,Age,-0.2237,-0.4484,0.0276,0.08051451271624517,62
black,P05387,RPLP2,0.8368,0.7422,0.8987,2.4384167556060727e-17,Age,-0.2034,-0.4313,0.0488,0.11274206061763413,62
black,P05388,RPLP0,0.8367,0.742,0.8987,2.4970014462597145e-17,Age,-0.2699,-0.4868,-0.0216,0.03388483652428707,62
black,P62269,RPS18,0.8229,0.7214,0.8898,2.311167180993977e-16,Age,-0.1824,-0.4133,0.0706,0.155896276422911,62
black,Q14444,CAPRIN1,0.8183,0.7146,0.8868,4.631660799548283e-16,Age,-0.4281,-0.61240000000000006,-0.1997,5.185115950303477e-4,62
black,P18124,RPL7,0.8127,0.7063,0.8832,1.0580402600961023e-15,Age,-0.1471,-0.3828,0.1065,0.25375922740260265,62
black,P40429,RPL13A,0.811,0.7038,0.8821,1.3463947229115686e-15,Age,-0.2752,-0.4912,-0.0273,0.030396710454053278,62
black,P27635,RPL10,0.8096,0.7017,0.8812,1.6505465851819038e-15,Age,-0.3701,-0.5675,-0.1326,0.0030644167486003305,62
black,P63244,RACK1,0.8034,0.6927,0.8772,3.890577933884534e-15,Age,-0.1292,-0.3671,0.1246,0.31693323791618216,62
black,P62424,RPL7A,0.7923,0.6764,0.8699,1.714986220934997e-14,Age,-0.3724,-0.5692,-0.1352,0.002880296604872622,62
black,Q86TC9,MYPN,0.7922,0.6762,0.8698,1.7397709103704345e-14,Age,-0.241,-0.4629,0.0093,0.059174409605141726,62
black,P61247,RPS3A,0.7877,0.6696,0.8669,3.086909942608814e-14,Age,-0.4074,-0.5965,-0.1755,0.001015429615108362,62
black,P50914,RPL14,0.7871,0.6688,0.8665,3.324374548759618e-14,Age,-0.30620000000000003,-0.5165,-0.0611,0.015502623419428738,62
black,Q02878,RPL6,0.7787,0.6567,0.861,9.273690478110367e-14,Age,-0.3253,-0.5318,-0.0822,0.00989176186621368,62
black,P26373,RPL13,0.7687,0.6423,0.8544,2.9835150709840973e-13,Age,-0.2588,-0.4777,-0.0097,0.04224612199341037,62
black,P36578,RPL4,0.7649,0.6368,0.8519,4.592738694744257e-13,Age,-0.1783,-0.4098,0.0748,0.16566892843799447,62
black,P30050,RPL12,0.7632,0.6344,0.8508,5.545416659336527e-13,Age,-0.1437,-0.3798,0.1101,0.26531301531874,62
black,Q9Y3I0,RTCB,0.7595,0.6291,0.8484,8.307942257024638e-13,Age,-0.3786,-0.5741,-0.1423,0.002408796678881479,62
black,P47914,RPL29,0.7545,0.6219,0.845,1.4292995533402102e-12,Age,-0.3025,-0.5135,-0.0571,0.01685120094664617,62
black,Q13061,TRDN,0.75,0.6156,0.8421,2.280279449751374e-12,Age,-0.3268,-0.5331,-0.0839,0.009525370474417783,62
pink,P01024,C3,0.9327,0.8904,0.9591,2.865800419732922e-28,Age,0.3757,0.139,0.5718,0.0026165878738126447,62
pink,P01011,SERPINA3,0.8686,0.7903,0.919,5.947482787036468e-20,Age,0.3468,0.1063,0.549,0.005753195694127849,62
pink,Q14624,ITIH4,0.8668,0.7875,0.9178,8.735714346685313e-20,Age,0.371,0.1337,0.5682,0.0029880577669782163,62
pink,P02768,ALB,0.8643,0.7837,0.9163,1.4595295145436843e-19,Age,0.3059,0.0607,0.5162,0.01562130605802758,62
pink,P69905,HBA1,0.8521,0.7651,0.9085,1.6185706106194217e-18,Age,0.2175,-0.0341,0.4432,0.08943070658843032,62
pink,P10909,CLU,0.8469,0.7573,0.9052,4.200990562334734e-18,Age,0.3832,0.1476,0.5777,0.0021088990614620035,62
pink,P00450,CP,0.8361,0.741,0.8983,2.7747935566597247e-17,Age,0.6149,0.4313,0.7495,1.0566986508490458e-7,62
pink,P00751,CFB,0.8357,0.7405,0.898,2.9604279211628924e-17,Age,0.4061,0.174,0.5955,0.0010554860421983538,62
pink,P05155,SERPING1,0.8332,0.7368,0.8964,4.458277934762381e-17,Age,0.4196,0.1898,0.6059,6.859288007147224e-4,62
pink,P68871,HBB,0.8306,0.7328,0.8947,6.848541265904625e-17,Age,0.215,-0.0367,0.4411,0.09329773073646638,62
pink,P02787,TF,0.8279,0.7289,0.893,1.0468279147560476e-16,Age,0.236,-0.0146,0.4587,0.06477203548071044,62
pink,P01009,SERPINA1,0.8174,0.7132,0.8862,5.320334371976391e-16,Age,0.3282,0.0854,0.5342,0.009209907630912131,62
pink,O95218,ZRANB2,0.8141,0.7084,0.8841,8.560906502457171e-16,Age,0.2668,0.0182,0.4843,0.03609912490450386,62
pink,P08603,CFH,0.807,0.698,0.8795,2.361972211363883e-15,Age,0.5259,0.3179,0.6856,1.1331860970353795e-5,62
pink,P04040,CAT,0.7982,0.6851,0.8738,7.854051942374965e-15,Age,0.1123,-0.1415,0.3521,0.3850497384185323,62
pink,Q7Z698,SPRED2,0.7859,0.6671,0.8658,3.8348206633122e-14,Age,0.3831,0.1475,0.5776,0.002115944642953049,62
pink,O15056,SYNJ2,0.7839,0.6642,0.8644,4.912222999495778e-14,Age,0.0466,-0.2056,0.2929,0.7193110976177073,62
pink,P00738,HP,0.7829,0.6628,0.8638,5.557868287747005e-14,Age,0.367,0.1291,0.565,0.0033418467775015435,62
pink,Q14767,LTBP3,0.7659,0.6382,0.8526,4.0960334403216245e-13,Age,0.3135,0.0691,0.5223,0.013108505244861453,62
pink,P49427,CDC34,0.7647,0.6365,0.8518,4.679849112680395e-13,Age,-0.0065,-0.2559,0.2437,0.9599921264532869,62
pink,P33992,MCM5,0.7629,0.634,0.8506,5.720632146445929e-13,Age,0.3633,0.1249,0.5621,0.0037027343221817896,62
pink,Q99487,PAFAH2,0.7593,0.6287,0.8482,8.551459500544691e-13,Age,0.0207,-0.2302,0.2691,0.8729382580439649,62
pink,P16157,ANK1,0.7401,0.6015,0.8354,6.270739109392621e-12,Age,0.2017,-0.0507,0.4298,0.11601146070633496,62
pink,P01857,IGHG1,0.7397,0.6009,0.8352,6.5436636483598286e-12,Age,0.2849,0.0378,0.4992,0.024796275632639815,62
pink,P37840,SNCA,0.738,0.5986,0.834,7.729508580732853e-12,Age,0.1084,-0.1453,0.3487,0.40182490078490174,62
pink,P01876,IGHA1,0.7245,0.5796,0.825,2.811852396244112e-11,Age,0.325,0.0819,0.5316,0.009953588254865689,62
pink,P25311,AZGP1,0.7219,0.5761,0.8233,3.55458575288499e-11,Age,0.2833,0.036,0.4978,0.025690344741973185,62
pink,P0DOY3,IGLC3,0.7061,0.5541,0.8126,1.4447280482571248e-10,Age,0.0951,-0.1584,0.3369,0.46215140609859184,62
pink,P29317,EPHA2,0.7007,0.5466,0.8089,2.2932267694733323e-10,Age,0.101,-0.1527,0.3421,0.4349492051660747,62
pink,P27105,STOM,0.6884,0.5297,0.8005,6.277854710278017e-10,Age,0.285,0.0379,0.4992,0.02477005803339015,62
