gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
SLMAP,-0.2393,0.8748,0.61754,0.736786,NS
USP5,-0.1837,1.1386,0.617838,0.717279,NS
HSPA2,-0.339,0.6154,0.61859,0.803195,NS
MFN2,-0.2262,0.9179,0.619942,0.73165,NS
RAB1B,-0.254,0.8168,0.620175,0.752056,NS
YWHAZ,-0.1891,1.097,0.620237,0.728864,NS
PRKAA2,-0.192,1.0779,0.621004,0.728864,NS
CAVIN1,-0.1975,1.038,0.623668,0.728864,NS
EHD4,0.319,0.6409,0.624543,0.79774,NS
SSPN,-0.2129,0.9589,0.624946,0.73165,NS
CTSZ,-0.2776,0.7347,0.625239,0.778541,NS
GABARAPL2,0.2944,0.6886,0.627069,0.785124,NS
DMAC2L,-0.2756,0.7347,0.627393,0.778541,NS
PLIN3,-0.2045,0.9884,0.627891,0.73039,NS
FGGY,0.3737,0.5401,0.628251,0.837369,NS
TAPBP,0.3822,0.527,0.628917,0.841189,NS
MAP3K20,-0.3293,0.6104,0.629517,0.80562,NS
UBE2I,0.2758,0.727,0.630168,0.778541,NS
MT-ND4,0.2942,0.6796,0.631068,0.785503,NS
MAOB,0.226,0.8753,0.634058,0.736786,NS
EIF3A,0.1866,1.0528,0.636162,0.728864,NS
SF1,0.3654,0.5369,0.636531,0.841189,NS
TMCO1,-0.2251,0.8691,0.637377,0.742627,NS
USP47,-0.2433,0.8034,0.637568,0.752617,NS
PRKG1,-0.2636,0.7394,0.638425,0.778541,NS
CYC1,0.2053,0.9488,0.638504,0.73165,NS
NEXN,0.342,0.5681,0.639352,0.823894,NS
IMPDH2,0.1954,0.9934,0.639634,0.73039,NS
TPSB2,0.3175,0.6099,0.640242,0.80562,NS
KRT10,0.3935,0.4907,0.64105,0.852535,NS
SH3BGRL3,0.2516,0.7667,0.64129,0.770714,NS
PRKDC,-0.2054,0.9367,0.642033,0.73165,NS
