pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast
GOBP_B_CELL_MEDIATED_IMMUNITY,0.8459794983414901,-0.897896268885452,16,TFRC;CLU;IGHG2;C3;IGHA1;IGHG3,GO:BP,0.5889515219842164,-0.29976961958168735,0.02426674332520501,Interaction
GOBP_ORGANELLE_MEMBRANE_FUSION,0.8480199065705767,-0.9141380591817522,26,SNAP29;EEA1;ANXA1;ARL8B;ATL2;ANXA2;VPS4A;CHMP2A;STX7,GO:BP,0.5909407665505226,-0.26683120506748437,0.02470187266967142,Interaction
GOBP_REGULATION_OF_STEM_CELL_DIFFERENTIATION,0.8485318880606479,0.8916527793962103,10,OCIAD1;STAT3;HSPA9;RBBP7;GSK3B,GO:BP,0.5918666422421689,0.353940566029365,0.020884454741677994,Interaction
GOBP_CELLULAR_RESPONSE_TO_TYPE_II_INTERFERON,0.850117035745561,-0.9054386151680279,22,EPRS1;MYO1C;CD47;SYNCRIP;ASS1;ACTR2;FLNB,GO:BP,0.59354247767346,-0.27561823645102557,0.02439314902879975,Interaction
GOBP_NEGATIVE_REGULATION_OF_TOR_SIGNALING,0.851732970203936,-0.9019435427148753,20,PRKAA2;YWHAZ;YWHAG;UBE2D1;SAR1A;PRKAA1,GO:BP,0.5954825462012321,-0.2825863943731699,0.02427932613562514,Interaction
GOBP_RESPONSE_TO_METAL_ION,0.851732970203936,-0.9369028860122511,83,AKR1C3;PRKAA2;MAPT;CALR;PPP5C;ATP1A2;TFRC;MT2A;TIGAR;TSPO;PRKAA1;PLN;ADD1;AHCYL1;ASS1;ATP5F1D;HSP90B1;PARK7;CPNE3;FABP4;CACYBP;CASQ2;ANXA7;GSK3A;TF;SOD1;CUTA,GO:BP,0.5958132045088567,-0.21110252045989308,0.02701181770763379,Interaction
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE,0.853448275862069,0.9004269754542222,13,CTSG;H2BC4,GO:BP,0.5975855130784709,0.3328298668724394,0.020713758292995318,Interaction
GOBP_TELOMERE_ORGANIZATION,0.8539221642425776,0.913257147707777,32,RPA2;LMNA;PARP1;H3-3A;HNRNPA2B1;MAPK1;RPA3;XRCC6,GO:BP,0.5984900480439259,0.26757659347344465,0.01971501494481146,Interaction
GOBP_VIRAL_LIFE_CYCLE,0.8613761726355759,-0.9273322097618516,68,MAVS;TSG101;SCARB2;RAD23A;DDB1;JPT2;RAB1B;TFRC;DYNLT1;EEF1A1;HSP90AB1;ARL8B;SPCS1;P4HB;VCP;PPIA;VPS28,GO:BP,0.6042920701387071,-0.21683195792404794,0.026334093659862997,Interaction
GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS,0.8615122119109415,0.8950810634902963,14,KRT18;DES;KRT2;MTM1;KRT19;KRT10;KRT1;VIM,GO:BP,0.6049653158086893,0.3246465426034201,0.020494430452646113,Interaction
