"gene","cv_pre","cv_post","delta_cv","age"
"ABHD16A",42.0808793279181,20.272923919213,-21.8079554087052,"Young"
"TXNDC12",50.1346026905616,8.06148573886711,-42.0731169516945,"Young"
"NUDT3",20.7605901837132,18.3122320830521,-2.44835810066107,"Young"
"NDUFB10",37.2581459161676,34.574766455733,-2.68337946043465,"Young"
"CLPTM1",48.0207359146255,32.3553415900202,-15.6653943246053,"Young"
"MOCS2",18.3891500260098,30.9825842329792,12.5934342069695,"Young"
"TOMM40",22.3949960395062,34.798886076713,12.4038900372068,"Young"
"PEX11B",29.7873443119069,33.7642715358581,3.97692722395117,"Young"
"CYB5A",30.5183934282258,30.1447033295416,-0.373690098684229,"Young"
"ADH1B",63.8538428402803,66.3293748509116,2.47553201063126,"Young"
"LDHA",21.8923239380541,19.2249449409562,-2.66737899709784,"Young"
"ALDH1A1",18.3023491002618,35.1283479963132,16.8259988960513,"Young"
"GLUD1",22.4281478866558,19.6127034469381,-2.81544443971775,"Young"
"CYB5R3",17.0368762808843,21.9030252706834,4.86614898979909,"Young"
"GSR",13.3019519535238,12.8176781249865,-0.484273828537333,"Young"
"MT-CO1",48.6531161287458,42.5484417900574,-6.10467433868838,"Young"
"MT-CO2",25.5796635419414,34.4124862992236,8.83282275728223,"Young"
"MT-CO3",21.612084540692,49.0278971070592,27.4158125663672,"Young"
"SOD1",15.2149477362148,16.0693061456061,0.854358409391331,"Young"
"CP",23.9885344281148,23.4182132483652,-0.57032117974963,"Young"
"F13A1",28.2963818515868,101.023321076851,72.726939225264,"Young"
"HPRT1",22.7646354071758,21.8118742104963,-0.952761196679461,"Young"
"GOT2",16.308332917701,14.9601802315102,-1.34815268619082,"Young"
"PGK1",12.754517994661,13.4353969570663,0.680878962405322,"Young"
"AK1",23.5804913416824,15.3947627797437,-8.18572856193871,"Young"
"HP",65.336699091458,53.89190211058,-11.444796980878,"Young"
"CFB",44.7011786264743,24.9691361619027,-19.7320424645716,"Young"
"MT-ATP6",35.4797554402555,37.882681190176,2.40292574992052,"Young"
"CA2",32.5617654793802,24.9722114081883,-7.5895540711919,"Young"
"ASS1",69.3386841383546,44.0820254128357,-25.2566587255189,"Young"
"SERPINA1",35.6853845149253,33.6344786177842,-2.05090589714111,"Young"
"SERPINA3",41.3926426726053,21.8750465454634,-19.517596127142,"Young"
"AGT",23.9754029014317,17.7709022154964,-6.20450068593532,"Young"
"A2M",54.9850991862398,53.0667216663164,-1.91837751992346,"Young"
"C3",45.3340618727364,43.7709281934764,-1.56313367926007,"Young"
"CST3",31.9430610835107,31.3801698605746,-0.562891222936095,"Young"
"CSTA",44.34145397512,148.724652469428,104.383198494308,"Young"
"JCHAIN",35.1184213594394,41.812208123273,6.69378676383366,"Young"
"IGKV3-20",36.4707519342827,62.9383202623943,26.4675683281116,"Young"
"IGHV3-7",43.7410624819068,46.934342225634,3.19327974372717,"Young"
"IGKC",51.4440597581608,45.9876309312943,-5.45642882686646,"Young"
"IGHG1",41.2031678364459,35.9917751981942,-5.2113926382517,"Young"
"IGHG2",47.2248415032444,59.7968925457549,12.5720510425105,"Young"
"IGHG3",61.1158748467914,40.5378099477727,-20.5780648990187,"Young"
"IGHM",60.8566024506073,48.9855633189385,-11.8710391316687,"Young"
"IGHA1",59.2164834470269,57.3163467562111,-1.90013669081583,"Young"
"HLA-B",22.3841097420654,59.1936355221678,36.8095257801023,"Young"
"HLA-DRB1",42.3159915693161,53.5231636171177,11.2071720478016,"Young"
"MB",19.4847423301167,18.1483432039068,-1.33639912620995,"Young"
"COL1A1",115.747290921211,159.762848570124,44.0155576489126,"Young"
"COL3A1",110.307115536174,153.349480016886,43.0423644807119,"Young"
"COL4A1",92.86527018572,90.9631143283702,-1.90215585734978,"Young"
"CRYAB",29.4107756118251,32.2670775439304,2.8563019321053,"Young"
"KRT14",86.7662047359406,166.405988073502,79.6397833375613,"Young"
"LMNA",39.1860872712638,40.7046440002517,1.51855672898795,"Young"
"TNNC2",56.1059551944193,74.5016206937365,18.3956654993171,"Young"
"APOE",38.1969382335856,55.3879712855788,17.1910330519933,"Young"
"APOC2",61.7252322318999,49.776407337168,-11.9488248947318,"Young"
"LRG1",40.7707162415331,33.4783515352527,-7.29236470628039,"Young"
"FN1",28.2644478085427,61.60766196658,33.3432141580373,"Young"
"RBP4",37.560039280127,42.5026055307903,4.94256625066325,"Young"
"ORM1",50.4260322641326,55.2902813861903,4.86424912205771,"Young"
"TTR",43.605195812957,38.9966177287744,-4.60857808418258,"Young"
"ALB",28.7158097217496,31.2920736083619,2.5762638866123,"Young"
"TFRC",64.7313216222366,73.9423687192537,9.21104709701706,"Young"
"TF",35.3979697012792,36.6740637612113,1.27609405993208,"Young"
"FTL",113.58053560259,158.800095155752,45.2195595531629,"Young"
"FTH1",69.6332942279516,88.9333477621829,19.3000535342313,"Young"
"MT2A",28.3920250739722,47.1885811299665,18.7965560559943,"Young"
"MT-ND1",23.528428205507,38.3931602346495,14.8647320291425,"Young"
"MT-ND2",36.4719662261823,52.1691262500384,15.6971600238561,"Young"
"MT-ND3",35.8522500568142,43.329177314811,7.47692725799687,"Young"
"MT-ND4",34.2089955528363,47.353310319645,13.1443147668087,"Young"
"MT-ND5",54.5607282939178,49.8833389717512,-4.67738932216668,"Young"
"MT-ATP8",31.5330298116837,31.6206754635441,0.0876456518603668,"Young"
"CAT",31.3387777525181,37.5165664655631,6.17778871304497,"Young"
"ALDOA",9.88548452113113,12.6526985945742,2.76721407344306,"Young"
"CSTB",20.1932126140684,53.5395763093466,33.3463636952782,"Young"
"ANXA1",23.1567584227893,181.895277949357,158.738519526568,"Young"
"SOD2",60.0136829605298,43.8756864038751,-16.1379965566547,"Young"
"KRT1",64.6874085717676,64.3399441307164,-0.347464441051159,"Young"
"VWF",25.8137830326793,38.7769225044799,12.9631394718006,"Young"
"GAPDH",15.9434042537923,17.7678486229993,1.82444436920709,"Young"
"HLA-A",34.6306937106222,30.9828447935593,-3.6478489170629,"Young"
"CAPNS1",10.6150877150828,8.32351071262886,-2.29157700245396,"Young"
"HSPB1",28.8416078449615,27.5842206013393,-1.25738724362214,"Young"
"RPN1",12.0283366697673,12.7292580233921,0.700921353624862,"Young"
"RPN2",34.5170246042278,27.7338697144058,-6.78315488982197,"Young"
"GNAI2",14.7851885598211,17.0467709648302,2.26158240500906,"Young"
"ATP1A1",19.1526524013423,13.389746840755,-5.76290556058731,"Young"
"ATP1B1",24.7653381361186,20.9109250911344,-3.85441304498419,"Young"
"APOD",43.0741942679111,132.931579289751,89.8573850218399,"Young"
"ALDH2",39.5931783504753,47.0688904448529,7.47571209437753,"Young"
"S100A8",59.0864187319042,291.232316173576,232.145897441671,"Young"
"SLC25A5",16.1592542018009,14.1575035241681,-2.00175067763278,"Young"
"SERPING1",33.5307875401996,39.6821386520008,6.15135111180121,"Young"
"PCCA",21.1117592819837,26.5059500612725,5.39419077928877,"Young"
"PCCB",30.5831091622137,25.7266364136699,-4.85647274854382,"Young"
"EIF2S1",11.4959159231701,14.5802943009247,3.08437837775456,"Young"
"RPLP1",27.5511415021265,46.5169576099194,18.965816107793,"Young"
"RPLP2",25.2728848027692,34.8206662689251,9.54778146615594,"Young"
"RPLP0",27.6553711115581,32.683381480338,5.02801036877989,"Young"
"FABP3",27.1003421792645,27.2239372067746,0.123595027510081,"Young"
"CLEC3B",32.1333568402493,43.2261267263257,11.0927698860763,"Young"
"SSB",19.9928218675737,30.8550949526981,10.8622730851244,"Young"
"ITGB1",14.6893468126146,19.3346295034027,4.64528269078808,"Young"
"KRT18",61.0171503780934,76.5214601143386,15.5043097362453,"Young"
"KRT8",63.053992855162,100.304683089014,37.2506902338522,"Young"
"MYL1",37.7040063929032,67.0962094464612,29.392203053558,"Young"
"GSN",35.9586808643749,51.3051685726382,15.3464877082633,"Young"
"PTMA",38.2702482669762,35.1657278303489,-3.10452043662735,"Young"
"ATP5F1B",14.918222962264,15.6278192266564,0.70959626439239,"Young"
"S100A9",46.9058347526084,273.172870597919,226.267035845311,"Young"
"S100A6",49.574837713099,67.8974301727904,18.3225924596913,"Young"
"EIF4E",15.0738592496248,13.6544402701716,-1.41941897945321,"Young"
"CKM",18.0935927044317,15.4682923473339,-2.62530035709775,"Young"
"ENO1",29.7871526947486,25.3231519974874,-4.46400069726124,"Young"
"PYGL",44.9038174812113,30.0621740219915,-14.8416434592199,"Young"
"GPI",13.4149255021542,10.1730481944387,-3.24187730771541,"Young"
"NPM1",29.4429684467285,25.9472694169294,-3.49569902979907,"Young"
"TPM3",56.7929658405319,67.3401766004438,10.5472107599119,"Young"
"EPHX1",30.108379768131,38.5714617661793,8.46308199804823,"Young"
"DBI",24.6949314438548,31.6191029403853,6.92417149653053,"Young"
"LDHB",40.0144729443218,47.7444779487794,7.73000500445762,"Young"
"GPX1",11.2814145818613,20.0112821061045,8.72986752424322,"Young"
"P4HB",11.098460184662,14.9531058671311,3.85464568246912,"Young"
"H1-0",33.6936400672906,33.5939261703993,-0.0997138968912665,"Young"
"CTSD",17.0501250489885,28.6207849033651,11.5706598543766,"Young"
"ANXA2",21.5967064942557,30.8529069337504,9.25620043949464,"Young"
"CAPN1",11.4685291112651,9.43851979339467,-2.03000931787046,"Young"
"TUBB",15.2254926706471,20.0174296723469,4.79193700169981,"Young"
"CA3",25.7088992664044,27.926460803354,2.21756153694965,"Young"
"DCN",33.2218178995309,42.7962105653512,9.5743926658203,"Young"
"PSAP",27.6109475512132,30.1536711423863,2.54272359117307,"Young"
"PFN1",13.1396633849515,13.1131093539241,-0.0265540310273717,"Young"
"BPGM",26.9055395461395,29.68608516964,2.78054562350052,"Young"
"APRT",15.2466056722718,22.1564730902834,6.90986741801169,"Young"
"EPRS1",10.4508327398245,15.3416639007724,4.89083116094789,"Young"
"CTSB",14.8230172012986,27.5283993497142,12.7053821484156,"Young"
"HSP90AA1",17.1421049150105,18.1710111072285,1.02890619221802,"Young"
"UQCRH",14.4988544933168,18.7386550132199,4.2398005199031,"Young"
"TPM2",50.2792696689302,74.455068391392,24.1757987224618,"Young"
"FH",12.7024769723423,10.3174931369357,-2.38498383540662,"Young"
"COL1A2",121.961169254208,162.375565731449,40.4143964772409,"Young"
"ANXA6",14.0502383084764,15.1108774446073,1.06063913613093,"Young"
"PFKM",18.591638312582,15.4776928728937,-3.1139454396883,"Young"
"HSP90AB1",16.5739312618241,17.0506493895054,0.476718127681288,"Young"
"SOD3",35.1330903441592,49.061953917093,13.9288635729339,"Young"
"PDHA1",11.3100125655662,7.4186883459572,-3.891324219609,"Young"
"COL4A2",87.1149159632161,89.6312146886963,2.51629872548018,"Young"
"CYC1",16.4051173204277,19.997371746001,3.5922544255733,"Young"
"MYL3",50.3195187901312,60.459855390519,10.1403366003879,"Young"
"CFH",24.6371290482781,44.074998837486,19.4378697892079,"Young"
"NFIC",20.0663530735642,31.0040572928918,10.9377042193276,"Young"
