uniprot_id,contrast,max_rank_shift,min_rank,max_rank,sensitive,gene
O60662,Training_Young,356,219,575,TRUE,KLHL41
O95721,Training_Young,404,34,438,TRUE,SNAP29
O43813,Training_Young,1718,381,2099,TRUE,LANCL1
Q8WW22,Training_Young,109,273,382,TRUE,DNAJA4
P43686,Training_Young,270,113,383,TRUE,PSMC4
Q86YB7,Training_Young,1619,382,2001,TRUE,ECHDC2
Q14232,Training_Young,306,363,669,TRUE,EIF2B1
Q5JTJ3,Training_Young,1668,386,2054,TRUE,COA6
P01889,Training_Young,1097,372,1469,TRUE,HLA-B
P62899,Training_Young,1528,388,1916,TRUE,RPL31
Q5VST9,Training_Young,387,148,535,TRUE,OBSCN
Q9BZL1,Training_Young,1698,390,2088,TRUE,UBL5
Q8N0U4,Training_Young,698,371,1069,TRUE,FAM185A
P09525,Training_Young,92,300,392,TRUE,ANXA4
P00352,Training_Young,1264,306,1570,TRUE,ALDH1A1
P21810,Training_Young,1418,394,1812,TRUE,BGN
O14744,Training_Young,334,61,395,TRUE,PRMT5
P78356,Training_Young,1664,396,2060,TRUE,PIP4K2B
Q96HN2,Training_Young,191,206,397,TRUE,AHCYL2
P01859,Training_Young,311,254,565,TRUE,IGHG2
Q9HBL0,Training_Young,1460,399,1859,TRUE,TNS1
O43237,Training_Young,232,270,502,TRUE,DYNC1LI2
Q9H0W9,Training_Young,1674,401,2075,TRUE,C11orf54
P62993,Training_Young,1710,402,2112,TRUE,GRB2
Q8NE86,Training_Young,1559,403,1962,TRUE,MCU
Q9UHP9,Training_Young,335,299,634,TRUE,SMPX
Q00872,Training_Young,479,292,771,TRUE,MYBPC1
P15954,Training_Young,893,258,1151,TRUE,COX7C
P60520,Training_Young,1548,407,1955,TRUE,GABARAPL2
O15143,Training_Young,101,333,434,TRUE,ARPC1B
O75663,Training_Young,140,369,509,TRUE,TIPRL
P59998,Training_Young,312,98,410,TRUE,ARPC4
P53985,Training_Young,125,383,508,TRUE,SLC16A1
P15531,Training_Young,263,149,412,TRUE,NME1
Q14444,Training_Young,266,379,645,TRUE,CAPRIN1
P61088,Training_Young,1702,286,1988,TRUE,UBE2N
Q9H1R3,Training_Young,905,415,1320,TRUE,MYLK2
O75822,Training_Young,289,258,547,TRUE,EIF3J
Q9HCP6,Training_Young,1062,393,1455,TRUE,HHATL
P55268,Training_Young,393,406,799,TRUE,LAMB2
P54284,Training_Young,1642,419,2061,TRUE,CACNB3
Q8NBF2,Training_Young,429,417,846,TRUE,NHLRC2
O95782,Training_Young,102,319,421,TRUE,AP2A1
P82914,Training_Young,158,308,466,TRUE,MRPS15
O60925,Training_Young,1208,423,1631,TRUE,PFDN1
P51553,Training_Young,240,184,424,TRUE,IDH3G
Q8IUZ5,Training_Young,409,130,539,TRUE,PHYKPL
P27816,Training_Young,330,224,554,TRUE,MAP4
P20472,Training_Young,678,427,1105,TRUE,PVALB
O14818,Training_Young,576,266,842,TRUE,PSMA7
Q9Y235,Training_Young,905,269,1174,TRUE,APOBEC2
O14732,Training_Young,1504,430,1934,TRUE,IMPA2
Q15124,Training_Young,1439,431,1870,TRUE,PGM5
P31689,Training_Young,272,402,674,TRUE,DNAJA1
Q14997,Training_Young,340,312,652,TRUE,PSME4
Q9BSH4,Training_Young,1575,434,2009,TRUE,TACO1
Q9NZU5,Training_Young,538,355,893,TRUE,LMCD1
P08311,Training_Young,45,408,453,FALSE,CTSG
O43414,Training_Young,1583,431,2014,TRUE,ERI3
Q9NZ08,Training_Young,192,246,438,TRUE,ERAP1
Q9H4G4,Training_Young,188,439,627,TRUE,GLIPR2
Q16836,Training_Young,1744,209,1953,TRUE,HADH
Q9NZA1,Training_Young,1648,441,2089,TRUE,CLIC5
P62807,Training_Young,601,354,955,TRUE,H2BC4
P03891,Training_Young,1068,443,1511,TRUE,MT-ND2
Q03154,Training_Young,346,98,444,TRUE,ACY1
P56181,Training_Young,1096,445,1541,TRUE,NDUFV3
Q12988,Training_Young,336,110,446,TRUE,HSPB3
P36873,Training_Young,342,435,777,TRUE,PPP1CC
P14866,Training_Young,1546,448,1994,TRUE,HNRNPL
P50213,Training_Young,753,195,948,TRUE,IDH3A
P49585,Training_Young,1577,386,1963,TRUE,PCYT1A
Q6H8Q1,Training_Young,934,396,1330,TRUE,ABLIM2
Q7Z434,Training_Young,244,208,452,TRUE,MAVS
P50895,Training_Young,1706,401,2107,TRUE,BCAM
P62333,Training_Young,264,226,490,TRUE,PSMC6
P07451,Training_Young,1538,455,1993,TRUE,CA3
Q9UJ70,Training_Young,234,338,572,TRUE,NAGK
Q99816,Training_Young,313,144,457,TRUE,TSG101
P68371,Training_Young,987,246,1233,TRUE,TUBB4B
O75438,Training_Young,981,445,1426,TRUE,NDUFB1
Q9Y3Z3,Training_Young,199,456,655,TRUE,SAMHD1
P0DP23,Training_Young,1460,102,1562,TRUE,CALM1
O94886,Training_Young,385,77,462,TRUE,TMEM63A
O14979,Training_Young,1663,439,2102,TRUE,HNRNPDL
